"ID","numberOfRealTrial","deviation","isUpPressed","timeBetweenDisp1stPress"
"06f2138e76d9ebca37cf1faabc","4","5","1","980"
"06f2138e76d9ebca37cf1faabc","5","8","1","876"
"06f2138e76d9ebca37cf1faabc","6","-5","0","1019"
"06f2138e76d9ebca37cf1faabc","10","0","1","1650"
"06f2138e76d9ebca37cf1faabc","11","-8","0","866"
"06f2138e76d9ebca37cf1faabc","12","-7","0","806"
"06f2138e76d9ebca37cf1faabc","16","0","0","1139"
"06f2138e76d9ebca37cf1faabc","17","-7","0","749"
"06f2138e76d9ebca37cf1faabc","18","-8","0","590"
"06f2138e76d9ebca37cf1faabc","22","-10","0","1013"
"06f2138e76d9ebca37cf1faabc","23","5","1","1042"
"06f2138e76d9ebca37cf1faabc","24","-6","0","866"
"06f2138e76d9ebca37cf1faabc","28","-10","0","686"
"06f2138e76d9ebca37cf1faabc","29","-10","0","567"
"06f2138e76d9ebca37cf1faabc","30","10","1","792"
"06f2138e76d9ebca37cf1faabc","34","0","1","969"
"06f2138e76d9ebca37cf1faabc","35","10","1","658"
"06f2138e76d9ebca37cf1faabc","36","-6","0","625"
"06f2138e76d9ebca37cf1faabc","40","-8","0","975"
"06f2138e76d9ebca37cf1faabc","41","-6","0","823"
"06f2138e76d9ebca37cf1faabc","42","5","1","1109"
"06f2138e76d9ebca37cf1faabc","46","0","1","1867"
"06f2138e76d9ebca37cf1faabc","47","10","1","698"
"06f2138e76d9ebca37cf1faabc","48","7","1","793"
"06f2138e76d9ebca37cf1faabc","52","6","1","883"
"06f2138e76d9ebca37cf1faabc","53","-5","0","1174"
"06f2138e76d9ebca37cf1faabc","54","10","1","1167"
"06f2138e76d9ebca37cf1faabc","58","0","1","1120"
"06f2138e76d9ebca37cf1faabc","59","-8","0","745"
"06f2138e76d9ebca37cf1faabc","60","7","1","909"
"06f2138e76d9ebca37cf1faabc","64","0","1","756"
"06f2138e76d9ebca37cf1faabc","65","-9","0","583"
"06f2138e76d9ebca37cf1faabc","66","8","1","1551"
"06f2138e76d9ebca37cf1faabc","70","-5","0","933"
"06f2138e76d9ebca37cf1faabc","71","9","1","1060"
"06f2138e76d9ebca37cf1faabc","72","-8","0","793"
"06f2138e76d9ebca37cf1faabc","76","0","1","1475"
"06f2138e76d9ebca37cf1faabc","77","10","1","608"
"06f2138e76d9ebca37cf1faabc","78","-9","0","652"
"06f2138e76d9ebca37cf1faabc","82","0","0","1016"
"06f2138e76d9ebca37cf1faabc","83","8","1","858"
"06f2138e76d9ebca37cf1faabc","84","-5","0","1014"
"06f2138e76d9ebca37cf1faabc","88","0","1","961"
"06f2138e76d9ebca37cf1faabc","89","-6","0","691"
"06f2138e76d9ebca37cf1faabc","90","6","1","892"
"06f2138e76d9ebca37cf1faabc","94","7","1","706"
"06f2138e76d9ebca37cf1faabc","95","7","1","675"
"06f2138e76d9ebca37cf1faabc","96","7","1","811"
"06f2138e76d9ebca37cf1faabc","100","-6","0","631"
"06f2138e76d9ebca37cf1faabc","101","5","1","866"
"06f2138e76d9ebca37cf1faabc","102","6","1","694"
"06f2138e76d9ebca37cf1faabc","106","0","0","2470"
"06f2138e76d9ebca37cf1faabc","107","-10","0","656"
"06f2138e76d9ebca37cf1faabc","108","6","1","1082"
"06f2138e76d9ebca37cf1faabc","112","-8","0","706"
"06f2138e76d9ebca37cf1faabc","113","7","1","947"
"06f2138e76d9ebca37cf1faabc","114","-6","1","3108"
"06f2138e76d9ebca37cf1faabc","118","0","1","667"
"06f2138e76d9ebca37cf1faabc","119","10","1","651"
"06f2138e76d9ebca37cf1faabc","120","-9","0","840"
"06f2138e76d9ebca37cf1faabc","124","0","1","860"
"06f2138e76d9ebca37cf1faabc","125","6","1","660"
"06f2138e76d9ebca37cf1faabc","126","-7","0","844"
"06f2138e76d9ebca37cf1faabc","130","6","1","849"
"06f2138e76d9ebca37cf1faabc","131","10","1","618"
"06f2138e76d9ebca37cf1faabc","132","-6","0","916"
"06f2138e76d9ebca37cf1faabc","136","-7","0","696"
"06f2138e76d9ebca37cf1faabc","137","6","1","684"
"06f2138e76d9ebca37cf1faabc","138","-5","0","1442"
"06f2138e76d9ebca37cf1faabc","142","7","1","617"
"06f2138e76d9ebca37cf1faabc","143","9","1","528"
"06f2138e76d9ebca37cf1faabc","144","-6","0","649"
"06f2138e76d9ebca37cf1faabc","148","0","1","856"
"06f2138e76d9ebca37cf1faabc","149","6","1","601"
"06f2138e76d9ebca37cf1faabc","150","8","1","627"
"06f2138e76d9ebca37cf1faabc","154","10","1","707"
"06f2138e76d9ebca37cf1faabc","155","-10","0","665"
"06f2138e76d9ebca37cf1faabc","156","7","1","726"
"06f2138e76d9ebca37cf1faabc","160","-5","0","834"
"06f2138e76d9ebca37cf1faabc","161","7","1","1175"
"06f2138e76d9ebca37cf1faabc","162","-5","0","1405"
"06f2138e76d9ebca37cf1faabc","166","0","1","848"
"06f2138e76d9ebca37cf1faabc","167","-5","0","942"
"06f2138e76d9ebca37cf1faabc","168","-5","1","1118"
"06f2138e76d9ebca37cf1faabc","172","9","1","620"
"06f2138e76d9ebca37cf1faabc","173","-8","0","714"
"06f2138e76d9ebca37cf1faabc","174","6","1","728"
"06f2138e76d9ebca37cf1faabc","178","0","1","922"
"06f2138e76d9ebca37cf1faabc","179","7","1","684"
"06f2138e76d9ebca37cf1faabc","180","-5","1","1225"
"06f2138e76d9ebca37cf1faabc","184","-7","0","892"
"06f2138e76d9ebca37cf1faabc","185","-8","0","592"
"06f2138e76d9ebca37cf1faabc","186","-9","0","577"
"06f2138e76d9ebca37cf1faabc","190","0","1","951"
"06f2138e76d9ebca37cf1faabc","191","-8","0","652"
"06f2138e76d9ebca37cf1faabc","192","-9","0","630"
"06f2138e76d9ebca37cf1faabc","196","7","1","847"
"06f2138e76d9ebca37cf1faabc","197","-10","0","694"
"06f2138e76d9ebca37cf1faabc","198","10","1","794"
"06f2138e76d9ebca37cf1faabc","202","0","1","1050"
"06f2138e76d9ebca37cf1faabc","203","9","1","619"
"06f2138e76d9ebca37cf1faabc","204","8","1","659"
"06f2138e76d9ebca37cf1faabc","208","9","1","703"
"06f2138e76d9ebca37cf1faabc","209","-8","0","590"
"06f2138e76d9ebca37cf1faabc","210","-8","0","893"
"06f2138e76d9ebca37cf1faabc","214","10","1","750"
"06f2138e76d9ebca37cf1faabc","215","9","1","785"
"06f2138e76d9ebca37cf1faabc","216","7","1","643"
"06f2138e76d9ebca37cf1faabc","220","0","1","776"
"06f2138e76d9ebca37cf1faabc","221","-8","0","1009"
"06f2138e76d9ebca37cf1faabc","222","6","1","807"
"06f2138e76d9ebca37cf1faabc","226","0","1","827"
"06f2138e76d9ebca37cf1faabc","227","-5","0","574"
"06f2138e76d9ebca37cf1faabc","228","-5","0","675"
"06f2138e76d9ebca37cf1faabc","232","0","1","936"
"06f2138e76d9ebca37cf1faabc","233","5","1","658"
"06f2138e76d9ebca37cf1faabc","234","6","1","660"
"06f2138e76d9ebca37cf1faabc","238","-10","0","705"
"06f2138e76d9ebca37cf1faabc","239","-7","0","509"
"06f2138e76d9ebca37cf1faabc","240","10","1","891"
"0707f015bff85fbe58d16f115a","4","7","1","806"
"0707f015bff85fbe58d16f115a","5","8","1","573"
"0707f015bff85fbe58d16f115a","6","-7","0","538"
"0707f015bff85fbe58d16f115a","10","0","1","675"
"0707f015bff85fbe58d16f115a","11","-9","0","835"
"0707f015bff85fbe58d16f115a","12","-10","0","459"
"0707f015bff85fbe58d16f115a","16","0","1","1153"
"0707f015bff85fbe58d16f115a","17","-10","0","533"
"0707f015bff85fbe58d16f115a","18","-9","0","469"
"0707f015bff85fbe58d16f115a","22","-9","0","908"
"0707f015bff85fbe58d16f115a","23","9","1","580"
"0707f015bff85fbe58d16f115a","24","-7","0","494"
"0707f015bff85fbe58d16f115a","28","-10","0","746"
"0707f015bff85fbe58d16f115a","29","-6","0","533"
"0707f015bff85fbe58d16f115a","30","7","1","683"
"0707f015bff85fbe58d16f115a","34","0","0","961"
"0707f015bff85fbe58d16f115a","35","8","1","894"
"0707f015bff85fbe58d16f115a","36","-7","0","753"
"0707f015bff85fbe58d16f115a","40","-10","0","749"
"0707f015bff85fbe58d16f115a","41","-6","0","581"
"0707f015bff85fbe58d16f115a","42","7","1","625"
"0707f015bff85fbe58d16f115a","46","0","0","1029"
"0707f015bff85fbe58d16f115a","47","7","1","856"
"0707f015bff85fbe58d16f115a","48","6","1","694"
"0707f015bff85fbe58d16f115a","52","9","1","875"
"0707f015bff85fbe58d16f115a","53","-7","0","860"
"0707f015bff85fbe58d16f115a","54","8","1","574"
"0707f015bff85fbe58d16f115a","58","0","0","861"
"0707f015bff85fbe58d16f115a","59","-5","0","476"
"0707f015bff85fbe58d16f115a","60","8","1","509"
"0707f015bff85fbe58d16f115a","64","0","1","2373"
"0707f015bff85fbe58d16f115a","65","-6","0","634"
"0707f015bff85fbe58d16f115a","66","5","1","655"
"0707f015bff85fbe58d16f115a","70","-5","0","728"
"0707f015bff85fbe58d16f115a","71","6","1","734"
"0707f015bff85fbe58d16f115a","72","-6","0","600"
"0707f015bff85fbe58d16f115a","76","0","1","865"
"0707f015bff85fbe58d16f115a","77","7","1","671"
"0707f015bff85fbe58d16f115a","78","-10","0","635"
"0707f015bff85fbe58d16f115a","82","0","0","4341"
