,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.40621044379,0.0278293114727,1.35354279711,1.38716419879,1.40589116078,1.42453270356,1.46258567704,0.000161332846571
a_std,0.188704904783,0.0276377668668,0.137412156978,0.169818496444,0.187687629945,0.206620473453,0.245585332756,0.000164502641199
a_subj.0,1.51630916283,0.144740127922,1.25402144854,1.4169558979,1.50823111212,1.6072934854,1.82384826767,0.000649258485966
a_subj.1,1.31358629382,0.145184888839,1.04246755015,1.21269005884,1.30901255978,1.40877211919,1.61148647163,0.000699009826699
a_subj.2,1.34969158565,0.145830903276,1.08352484966,1.24929701953,1.34203452351,1.4424469886,1.65612681567,0.000648761374981
a_subj.3,1.45195491117,0.137392156753,1.19696976064,1.35861576335,1.44733958931,1.53972925213,1.73681462509,0.000558556543841
a_subj.4,1.28126224075,0.114374735742,1.07077986395,1.20152995853,1.27610930244,1.35572124372,1.51965306883,0.000488385983557
a_subj.5,1.47318869077,0.139177067475,1.21859091857,1.37789781831,1.46641632606,1.56189424727,1.76472090841,0.000648852781463
a_subj.6,1.48293740578,0.1437850688,1.21353010717,1.38377556357,1.4794899378,1.57694138273,1.77670509841,0.000781069527661
a_subj.7,1.47236580564,0.135024621035,1.22656892917,1.37943319666,1.46579721299,1.55786827367,1.75687331465,0.000631128967316
a_subj.8,1.21419482328,0.128338692631,0.986406581245,1.12425717483,1.20659114531,1.29493533634,1.49112556929,0.000698178649374
a_subj.9,1.28544037444,0.121712516357,1.06267113678,1.20094478639,1.27994883415,1.36345182706,1.54016679039,0.000543264599585
a_subj.10,1.37044335557,0.129857279125,1.13273463256,1.28106173371,1.36432939083,1.4541350364,1.64136438244,0.000558696774939
a_subj.11,1.4841044099,0.15462170931,1.19102540855,1.38008849427,1.47952567088,1.58332462523,1.800898232,0.000644888711674
a_subj.12,1.54069999748,0.135777586173,1.29648519655,1.44604847444,1.53245426579,1.62675574364,1.83172884407,0.000575474694961
a_subj.13,1.21929745489,0.116894794699,1.00516322664,1.13766144747,1.21414660446,1.29493743285,1.46233990562,0.000549227339536
a_subj.14,1.57231799647,0.147828079115,1.3040134331,1.47029392382,1.56464976424,1.66691540267,1.88210463466,0.000725160026129
a_subj.15,1.35249425538,0.128796353633,1.11277092431,1.26471890262,1.34728394399,1.43575721475,1.6196790758,0.000562815755794
a_subj.16,1.36362439669,0.127933220031,1.12862240798,1.27508398937,1.35784077488,1.44624804174,1.62937810874,0.000588991468407
a_subj.17,1.40260260191,0.143316614792,1.1462794044,1.30309738026,1.39435274026,1.49215962199,1.7103683201,0.00065220663872
a_subj.18,1.44973602676,0.142070561741,1.18587553406,1.35158556885,1.44407848118,1.54088559688,1.74308305172,0.000679890036617
a_subj.19,1.33414168236,0.145886164594,1.07058721268,1.23306631865,1.32687136612,1.42665117414,1.64179282486,0.000657293389764
a_subj.20,1.54221007829,0.1441160045,1.28147339017,1.44196805411,1.53492098554,1.63318854204,1.84790474958,0.000735774687079
a_subj.21,1.63629939022,0.137291085467,1.38523226458,1.54097502856,1.62995002174,1.72368524616,1.92385809164,0.000785547054074
a_subj.22,1.4870205309,0.174431136626,1.17911840079,1.36553287988,1.47544795956,1.59519255008,1.86594710311,0.000878447949326
a_subj.23,1.36373630015,0.122996006339,1.14104453684,1.27801257293,1.35713388149,1.44263708449,1.62328065623,0.00067759830893
a_subj.24,1.51674711411,0.152459845336,1.24479251681,1.41163117621,1.50669391298,1.61194601373,1.84295694326,0.000789312597064
a_subj.25,1.43357161202,0.13558058618,1.18868471457,1.33890205739,1.42720086241,1.51926922728,1.72123962195,0.00069172706417
a_subj.26,1.34479074102,0.123776917178,1.11834451137,1.25878408122,1.3395339486,1.42428667207,1.60370593772,0.000586731740571
