,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.40594414478,0.0275923468132,1.35379594355,1.38707017195,1.40540067688,1.42411203656,1.46160768184,0.000167711784817
a_std,0.188478902985,0.0277899039326,0.136803812275,0.169573563673,0.187545185522,0.206568945023,0.245708821043,0.000187748925696
a_subj.0,1.51576492768,0.144599428688,1.2557392422,1.41555044173,1.5072920036,1.60639387259,1.82177263762,0.000638796908291
a_subj.1,1.31441502444,0.14573786723,1.0410168931,1.2131264291,1.31018015706,1.41029540556,1.61185271808,0.000621846876505
a_subj.2,1.35102227473,0.146540046063,1.08600916434,1.24927487881,1.34368681937,1.44458091177,1.66307109894,0.000663346782166
a_subj.3,1.45254679107,0.135914727927,1.19656113773,1.36022102474,1.44802508596,1.54040725591,1.73561325958,0.000566534815321
a_subj.4,1.28166746719,0.114122422534,1.07048272854,1.2022960235,1.27701337938,1.35563650119,1.51831424299,0.000556707272543
a_subj.5,1.47268178844,0.139542541839,1.21646245807,1.37667257019,1.46559168461,1.56128328999,1.76682927667,0.000644858280658
a_subj.6,1.48086471656,0.14362360969,1.21309109327,1.38151084475,1.47627904889,1.57421674714,1.77717062044,0.000950586082258
a_subj.7,1.47330292695,0.134998891438,1.22820947722,1.38047109847,1.46576583727,1.55842439997,1.75864593611,0.000610429646554
a_subj.8,1.21468552071,0.128425482086,0.986829131114,1.12522200059,1.20607410988,1.29548469311,1.49114497745,0.000711551987603
a_subj.9,1.28413786061,0.120578938681,1.06389165473,1.20070123146,1.27862893981,1.36106069761,1.53816857994,0.000532951504032
a_subj.10,1.37080191443,0.129501483754,1.13095766595,1.28155573728,1.36598399496,1.45372223876,1.64404217031,0.000593998746255
a_subj.11,1.48465880376,0.154689965981,1.19304287441,1.38033082032,1.48083406351,1.58352304582,1.80276617736,0.000804533192175
a_subj.12,1.54021860997,0.135740542777,1.29500709129,1.44630457376,1.53259838031,1.62600971701,1.8279263492,0.000627473049475
a_subj.13,1.21935985958,0.116814326322,1.00718394542,1.1377856332,1.21368355833,1.29500412834,1.46422224482,0.000540619590468
a_subj.14,1.57142114156,0.147144655652,1.30483733599,1.46982766089,1.56370218237,1.6646299795,1.88183519417,0.000720753596796
a_subj.15,1.35273946476,0.129231170257,1.11280154874,1.26339101889,1.34774044039,1.43626126491,1.62080707257,0.000557397796364
a_subj.16,1.36357084841,0.128501079765,1.1284397281,1.27400926177,1.35763053346,1.44655229429,1.63013369893,0.000656199362243
a_subj.17,1.40321504216,0.142543053708,1.14456837645,1.30456143158,1.39492856391,1.49278675778,1.70517701267,0.000614084707195
a_subj.18,1.4486582314,0.142535268826,1.18551786312,1.35007347345,1.44294472781,1.54052286192,1.74354803974,0.00073501304864
a_subj.19,1.33436533322,0.146085867922,1.06957895938,1.2325831549,1.32670384884,1.42740124745,1.64392048194,0.000733332593378
a_subj.20,1.54148140328,0.144217297371,1.28053903182,1.44065422831,1.53301264232,1.63339169663,1.84686979914,0.000660580599553
a_subj.21,1.63511990363,0.136594323861,1.38456909742,1.54129391202,1.62868766228,1.722220659,1.92249534108,0.000744533099959
a_subj.22,1.48943898444,0.175002674316,1.17922059661,1.36795946578,1.47807464061,1.59810630696,1.86625102846,0.000799291851261
a_subj.23,1.36445879942,0.122288179891,1.14285861583,1.27890857607,1.35832314422,1.44365863955,1.62009750463,0.000519297315326
a_subj.24,1.51705665156,0.152155195529,1.24277029051,1.41308732785,1.50880085414,1.61114122344,1.84313810112,0.0006532314928
a_subj.25,1.43412929035,0.136103157718,1.18779148602,1.34030434583,1.42734309673,1.52082470101,1.72235697868,0.000650881806297
a_subj.26,1.34546750438,0.124264155521,1.11656215805,1.25935272337,1.34062694871,1.42576584437,1.60445020874,0.000541450466139
a_subj.27,1.36894887236,0.122303615166,1.14816684168,1.2837442832,1.36232568558,1.44773099593,1.62691730351,0.000553111679853
a_subj.28,1.50801201132,0.166693517998,1.21580092934,1.39174502223,1.49583678222,1.61160371716,1.87124790891,0.000731488551097
a_subj.29,1.51228454614,0.137560875794,1.26534293816,1.41651943566,1.50486651954,1.59877604691,1.80647093679,0.000615181786591
a_subj.30,1.347509157,0.122187302493,1.12076856132,1.26368174812,1.34303925645,1.42663797349,1.6033149123,0.000576248615341
a_subj.31,1.54018623514,0.148690092871,1.27434053001,1.43682923079,1.53110802503,1.63303649968,1.85799747134,0.00067563764245
a_subj.32,1.42776136331,0.164295287882,1.12001271131,1.31697624135,1.42097137459,1.53187122133,1.77049013497,0.000687899931276
a_subj.33,1.46201065767,0.127558707037,1.23324734381,1.37207942631,1.4549059445,1.54453787065,1.72917029822,0.000624170874156
a_subj.34,1.32729255336,0.140214167292,1.06526294666,1.23106550833,1.32280618021,1.41909289987,1.61374534189,0.00068982224276
a_subj.35,1.37470059131,0.123695004257,1.15069750992,1.28897942982,1.36851302242,1.45340381807,1.63709976162,0.000554398104668
a_subj.36,1.20948191594,0.115903149405,0.999251559111,1.1293843005,1.20348736828,1.28403312127,1.45251478588,0.000549291184602
a_subj.37,1.57788982738,0.142810984855,1.32372991732,1.47866592779,1.56870132378,1.6667210441,1.88353880912,0.000650408732496
a_subj.38,1.44434734168,0.127708864182,1.21117788893,1.3557626215,1.43837315779,1.52553412256,1.71294763772,0.000564092767126
a_subj.39,1.26386995168,0.116858002467,1.04911014719,1.18305450082,1.25837609574,1.33943358795,1.50712051123,0.00056898812479
a_subj.40,1.40453923149,0.133309961227,1.15285340554,1.31397342792,1.40112566569,1.49005035619,1.67647510243,0.000653235337437
a_subj.41,1.46909217627,0.158127003302,1.18320700652,1.35849278509,1.46020557245,1.56985539324,1.80222484312,0.000788419445145
a_subj.42,1.33145234858,0.13707456076,1.08260334149,1.23669732215,1.32445445326,1.41811828283,1.6198770241,0.000645728987966
a_subj.43,1.38070716469,0.130902412676,1.14306400826,1.28977574658,1.37359596599,1.46456677333,1.65805617362,0.00066865032602
a_subj.44,1.30502852824,0.123216108012,1.07794293047,1.22075657014,1.30004759579,1.38425144235,1.56038316134,0.000562418304568
a_subj.45,1.54587393828,0.153809617453,1.2750007042,1.43880654137,1.53477319249,1.64078746307,1.87967073421,0.000653255661261
a_subj.46,1.33213649649,0.121418568123,1.10755545926,1.24781343378,1.32691172866,1.41035401489,1.58461488378,0.000584588419042
a_subj.47,1.25273854512,0.117786418587,1.03411561811,1.17151412749,1.24854329202,1.32892411786,1.49614762178,0.000553294989577
a_subj.48,1.59831789193,0.141607920453,1.33769564709,1.50081622579,1.59316380444,1.69010036273,1.89115964236,0.000707164440118
a_subj.49,1.32266714838,0.115020861994,1.11299566765,1.24252613972,1.317467267,1.39758566726,1.56183502698,0.000549466987679
a_subj.50,1.19197988043,0.127153541931,0.956068201185,1.10353369598,1.18738494567,1.27499503111,1.45345947686,0.000631530372581
a_subj.51,1.22549427872,0.119353018879,1.00866859253,1.14263797608,1.22038772219,1.30233383388,1.47556406924,0.000567578976656
a_subj.52,1.24448058923,0.11814040572,1.0285213789,1.16269113028,1.23865858461,1.32097503234,1.49081276122,0.000564496542665
a_subj.53,1.36844623912,0.143668883006,1.11298201479,1.26820360159,1.36008762275,1.45879658614,1.67734286011,0.000596399152076
a_subj.54,1.39295453509,0.136857716845,1.14020449611,1.29900571244,1.38701159159,1.48071603143,1.67928708306,0.000620723562082
a_subj.55,1.58528516195,0.141844651986,1.32964764403,1.48668476232,1.57710780061,1.67564619195,1.88818094509,0.000749306716779
a_subj.56,1.65581808754,0.132050741051,1.4173975805,1.56358275743,1.64878611769,1.7391079177,1.9359237937,0.000756793112806
a_subj.57,1.36599128204,0.134151227057,1.1232188939,1.27294255672,1.35942454434,1.45121323849,1.64979733886,0.000584344380154
a_subj.58,1.29240740024,0.139221351669,1.03920754225,1.19651371417,1.28554060034,1.38144282128,1.58637952955,0.000595477882449
a_subj.59,1.44149515362,0.13271678207,1.19453335756,1.35037818904,1.43744623602,1.52723368002,1.71528205268,0.000583491647368
a_subj.60,1.31078957784,0.130781335295,1.06752247089,1.22168412261,1.30514239288,1.39419504123,1.58379064903,0.000683256018558
a_subj.61,1.23819822197,0.116930338335,1.01562966165,1.15865577258,1.23604998117,1.31464923775,1.47446571711,0.000561709415062
a_subj.62,1.39179183709,0.118725643613,1.17652953228,1.3090434763,1.38537215686,1.46790369698,1.64281956897,0.000606503312938
a_subj.63,1.40958863927,0.141708757837,1.1511877589,1.3129453613,1.40254688387,1.49950017891,1.70645934267,0.00073300511667
