,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.40635567762,0.0277858240133,1.35303289072,1.38747646473,1.40596721741,1.42469635796,1.46233556729,0.000137985029942
a_std,0.188737037548,0.0274801475028,0.137379141914,0.170059973126,0.187844052343,0.206491024574,0.244854463616,0.000178036560481
a_subj.0,1.51694395972,0.144729580764,1.2570491162,1.41645899498,1.50838628994,1.60906480314,1.82346519139,0.000670178416256
a_subj.1,1.31395094403,0.146172712225,1.04095836421,1.21254668721,1.30951210168,1.41049003639,1.61327246072,0.00066900292276
a_subj.2,1.35066535051,0.146651706233,1.08560769368,1.2489345348,1.34267683885,1.4438027557,1.66068285969,0.000703620641888
a_subj.3,1.45304582804,0.137092603817,1.19761718211,1.35975204133,1.44762092875,1.54152690015,1.73540716638,0.000571805669057
a_subj.4,1.28112402453,0.113731578342,1.07253470081,1.20198877714,1.27607062107,1.35486457037,1.51853288919,0.000497216541358
a_subj.5,1.47334363781,0.139251680769,1.21877180138,1.37738154236,1.46713130304,1.56191987707,1.76682319658,0.000612117499066
a_subj.6,1.4832817294,0.144030660418,1.21243769307,1.38441118997,1.4786382125,1.57716995907,1.77921594781,0.000835127904391
a_subj.7,1.47365869564,0.134512899144,1.22767698352,1.38084115079,1.46723282108,1.55959253394,1.7558662596,0.000571226899478
a_subj.8,1.21439927995,0.128937723003,0.986056482187,1.12484920337,1.20587323917,1.29535532896,1.49209582715,0.000675629007482
a_subj.9,1.28461199763,0.121877245711,1.06359019304,1.19975095278,1.27889516,1.36246483245,1.54215424633,0.000549475088581
a_subj.10,1.36956093008,0.128548769055,1.13488739834,1.2813990346,1.3633253527,1.45154744268,1.63849841631,0.00053707984127
a_subj.11,1.48413965203,0.155243461587,1.19128792989,1.37995568663,1.47985063777,1.58278651857,1.80715241812,0.00083972475811
a_subj.12,1.54013414702,0.135108503268,1.29767510447,1.445708801,1.53188421385,1.62642109168,1.82691596041,0.000687917153387
a_subj.13,1.21956997806,0.116921534862,1.00553821435,1.13827196498,1.21466605918,1.29534716985,1.46205040654,0.000559803697971
a_subj.14,1.57144576633,0.147827850061,1.30472145756,1.46894410209,1.56342378007,1.66522448875,1.8831718486,0.000579675529082
a_subj.15,1.3523292316,0.129448596967,1.11070752949,1.26447633456,1.34766075808,1.43552340693,1.62018553369,0.000609923122606
a_subj.16,1.36337288111,0.128509360338,1.12834330435,1.27394455298,1.35760962966,1.44686899841,1.63037507069,0.000620063263977
a_subj.17,1.4026807465,0.143187228419,1.14660686733,1.30367712845,1.39413044507,1.49217872627,1.71127716609,0.000554755555699
a_subj.18,1.44969566267,0.142798639198,1.18572011248,1.35095420348,1.44420392861,1.54195535343,1.74424239662,0.000662444638973
a_subj.19,1.33464149897,0.147205412774,1.06857442609,1.23247432914,1.32637159561,1.42781155022,1.6457885461,0.000773526787086
a_subj.20,1.54130517598,0.143960647684,1.28261643013,1.44122141329,1.53338425158,1.63287852729,1.8483937191,0.000726655348727
a_subj.21,1.63623557928,0.135787190595,1.38628890915,1.54304879738,1.63032424415,1.72291222044,1.92093204756,0.000683474847052
a_subj.22,1.48952364309,0.174370560622,1.17905366952,1.36897724855,1.47848767388,1.59717880435,1.86659434072,0.000824721703402
a_subj.23,1.36420710614,0.122188600354,1.14323738038,1.27933391703,1.35774238039,1.44268181904,1.6195965504,0.000533499918941
a_subj.24,1.51746854282,0.152057137764,1.24302877079,1.41231546529,1.50819274572,1.61272660592,1.84572118931,0.000692944302759
a_subj.25,1.43420159351,0.135800867656,1.1873203692,1.34017943631,1.42633937874,1.52108487438,1.72049254412,0.00058189886278
a_subj.26,1.34411164982,0.12342932644,1.11645112617,1.25868359798,1.33869620229,1.42345814366,1.60077227568,0.000599507402211
a_subj.27,1.36962250036,0.122817366462,1.14692097668,1.2850001411,1.36307187983,1.44770265054,1.62982200998,0.000509459627317
a_subj.28,1.50642956311,0.166691972682,1.2145869806,1.38919132727,1.494214826,1.60976727846,1.86814253749,0.000831908623297
a_subj.29,1.51241629669,0.136797883234,1.26785933679,1.41713195357,1.50371515619,1.59874152725,1.80455795595,0.000578112002538
a_subj.30,1.34803863712,0.121886801222,1.1218071065,1.2643221677,1.34326412982,1.42636637397,1.6010311205,0.000511683715747
a_subj.31,1.54120949757,0.147992119695,1.27748753653,1.43789842883,1.53172222121,1.63462176174,1.85617655496,0.000706771945124
a_subj.32,1.42715242989,0.165103134013,1.11950180111,1.31565976153,1.42051916228,1.53258328689,1.76904562234,0.000816190522401
a_subj.33,1.46239663164,0.12843224557,1.23055866983,1.37311766703,1.45541035185,1.544360657,1.73200704714,0.000607271196603
a_subj.34,1.32646045226,0.140584082672,1.06467206362,1.22916271015,1.3220690387,1.41818709021,1.61421211575,0.000709583438113
a_subj.35,1.37403016361,0.123319908068,1.14982986115,1.28848597098,1.36883830094,1.45295972423,1.63302021908,0.000637464978494
a_subj.36,1.20944396789,0.116893066863,0.997269721499,1.12719109469,1.20449737046,1.28487736897,1.45342203191,0.000590236571221
a_subj.37,1.57890347806,0.14302474168,1.32559480045,1.47879240909,1.56957847054,1.66915259679,1.88428927197,0.00062310889498
a_subj.38,1.44331421948,0.128112738373,1.20885064108,1.35385192417,1.43803028068,1.52621192772,1.7094749782,0.000488656370337
a_subj.39,1.26359187335,0.115771456679,1.05074115843,1.18287624685,1.25877545454,1.33815567642,1.50492373778,0.000527022142444
a_subj.40,1.40579429028,0.133310460894,1.15209599805,1.3157475528,1.40237379129,1.49247183263,1.67732657123,0.000558405174081
a_subj.41,1.47036645986,0.158412072461,1.18148560415,1.360538147,1.46271975449,1.57039794365,1.80571280467,0.000674980890007
a_subj.42,1.3315347855,0.137218837451,1.08272388893,1.23650798899,1.32432739733,1.41884003098,1.6189698965,0.000673441363567
a_subj.43,1.38143493841,0.130835915072,1.14274495093,1.29086146936,1.37491431023,1.4650802452,1.65754327424,0.000636653423385
a_subj.44,1.30563581427,0.123593208436,1.07616082393,1.22105224639,1.30112461526,1.38520913121,1.56264675051,0.000626969315864
a_subj.45,1.54753197821,0.153618274294,1.2752192378,1.44044634742,1.53634592201,1.64339973321,1.87519544377,0.000701016841914
a_subj.46,1.33298709091,0.121967308147,1.10995566218,1.24820543879,1.32735067619,1.41109445598,1.5859661568,0.000551057267242
a_subj.47,1.25179004777,0.117915840334,1.03194141841,1.1704495445,1.24838897882,1.32834353708,1.49659324367,0.000560649705137
a_subj.48,1.59896078937,0.141855821415,1.3374084906,1.50221229351,1.59294198884,1.68848671521,1.8972583544,0.00062177846448
a_subj.49,1.32129363788,0.11489464087,1.11139461475,1.24127921904,1.31615360203,1.39541572798,1.56158022966,0.000538523636913
a_subj.50,1.19170309064,0.127630435038,0.955571781892,1.10247786988,1.18729824485,1.27550509496,1.4550567318,0.000615293860404
a_subj.51,1.22539703573,0.119593514977,1.00682664554,1.14230607165,1.21991870382,1.30258639962,1.47501864291,0.000533475608943
a_subj.52,1.24434345832,0.119876816773,1.02577555876,1.16137196817,1.23818685065,1.32116427383,1.49658617312,0.000559453690253
a_subj.53,1.36860482163,0.144051846763,1.10830597457,1.26817500364,1.36130895556,1.46015689245,1.67266304798,0.000734781560406
a_subj.54,1.3926583526,0.136741033814,1.14058040629,1.29767964412,1.38613936263,1.48167454834,1.677339916,0.000695604463915
a_subj.55,1.58584444452,0.142315439042,1.3303298832,1.48618061551,1.57796155358,1.67557054702,1.88892208143,0.000705921010697
a_subj.56,1.65705969472,0.132697977617,1.41596481984,1.56402663935,1.65030307016,1.74143849328,1.93545417747,0.000723405433152
a_subj.57,1.36562778015,0.134574343,1.12160702444,1.27287807415,1.35867388638,1.45182174406,1.64968040639,0.0006433109323
a_subj.58,1.29159510751,0.139274654576,1.03614408054,1.19466215303,1.2849209109,1.3812135751,1.58237952089,0.000626999679844
a_subj.59,1.44175118363,0.132945599055,1.19495391856,1.35064412015,1.43747681964,1.52701344098,1.71769959297,0.000596886312596
a_subj.60,1.31176581433,0.130951736632,1.07039258601,1.22253137087,1.30614235242,1.39427785011,1.58598367778,0.000664339809947
