,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.39951218078,0.0273654807424,1.34727914661,1.38089808939,1.39883120644,1.41751166972,1.45434625064,0.000142534991645
a_std,0.184541437704,0.0274809886021,0.133099801356,0.165842338699,0.183674283077,0.202312450501,0.240599433562,0.000177635088218
a_subj.0,1.5044557347,0.142261995843,1.24636301567,1.40660221745,1.49567096367,1.5944882377,1.80660651421,0.000575488970901
a_subj.1,1.31241930727,0.144565292858,1.04270476206,1.21267408303,1.30717668804,1.40813056703,1.60533716543,0.000689651990685
a_subj.2,1.34071185394,0.144561843223,1.07890090394,1.24078485019,1.33284703803,1.431275286,1.64842670892,0.000678548838701
a_subj.3,1.45427559744,0.134801698227,1.20323999906,1.36221039897,1.44957929491,1.54141375432,1.73076513669,0.000577652971314
a_subj.4,1.28645752231,0.11312800257,1.07778053694,1.20817693906,1.28170013283,1.35970301827,1.52230697182,0.00045467806874
a_subj.5,1.46733050283,0.13686476982,1.21743532053,1.37242482731,1.46039925972,1.55405119135,1.75529023753,0.000531841937407
a_subj.6,1.45407284394,0.142394720863,1.1928532875,1.35465632598,1.44861802165,1.54624838435,1.75036838606,0.000693674817983
a_subj.7,1.46125973532,0.132617471317,1.22074472067,1.36967778564,1.45418208383,1.5457897192,1.73992562058,0.000587535029622
a_subj.8,1.22198653502,0.131543644687,0.990837376032,1.12988099155,1.21270199028,1.30503691512,1.50409737884,0.000817527733326
a_subj.9,1.27926927752,0.119867433186,1.05995940012,1.19592186552,1.27390375435,1.35568287435,1.53110210882,0.000583908176446
a_subj.10,1.36607284848,0.126100585125,1.13259106058,1.27898420877,1.36118576215,1.44747850332,1.62693515243,0.000546515420358
a_subj.11,1.47628931964,0.151827614589,1.18823668869,1.37422799438,1.47108991154,1.57347969739,1.78851875357,0.00057584461881
a_subj.12,1.52710588758,0.131177654076,1.29160056902,1.43626155364,1.51974984178,1.6100537236,1.80506949601,0.000501421360401
a_subj.13,1.2203504419,0.115708212212,1.00767221386,1.14045490434,1.21549771993,1.295542076,1.46059024021,0.00055400480445
a_subj.14,1.56439056915,0.145178660535,1.3001956044,1.46357535044,1.55643827256,1.65713250342,1.87140430896,0.000635748680636
a_subj.15,1.34887263907,0.128582318934,1.11012687099,1.26068446597,1.3433358537,1.43152979117,1.61732670662,0.000576115069357
a_subj.16,1.36337280415,0.126810078666,1.13001770676,1.27555011053,1.35805821815,1.44407400002,1.62911020732,0.000565697626581
a_subj.17,1.3906876918,0.139447844176,1.14009393433,1.29442155602,1.38226119956,1.47839828351,1.68607324761,0.000695962812748
a_subj.18,1.42295402387,0.133558142566,1.17575807299,1.33063203606,1.41799013882,1.50885558651,1.70388366621,0.000669960348454
a_subj.19,1.33128748583,0.145065563263,1.06743681426,1.23069046032,1.3240081723,1.42370881711,1.63815827947,0.000630164388445
a_subj.20,1.52975522843,0.142560964135,1.27256028949,1.43111458634,1.52085768444,1.62046685453,1.83137759379,0.000702456281695
a_subj.21,1.615883896,0.135544436664,1.36854496848,1.52231634621,1.60881894966,1.70220140173,1.90201917417,0.000647896456475
a_subj.22,1.47884234242,0.169963785386,1.1803852319,1.36077160657,1.46759927648,1.58322079509,1.84719896892,0.000790822657859
a_subj.23,1.35620003377,0.120882565401,1.13709025129,1.27215458669,1.35056554704,1.43328084867,1.61177694968,0.000545989602169
a_subj.24,1.5090177623,0.149308002445,1.24092272659,1.40534256196,1.50030005571,1.60249074693,1.82485236936,0.000674977903271
a_subj.25,1.42853345862,0.13404072412,1.18514622514,1.33587176846,1.42159869195,1.51344466151,1.7129820665,0.00056002098882
a_subj.26,1.33790723379,0.120835325315,1.11514959617,1.25455653923,1.33282003832,1.41572990955,1.5878851122,0.000523261590071
a_subj.27,1.36954217906,0.122249760103,1.14674999198,1.2848706472,1.36327886184,1.44815643732,1.62600130887,0.000636509379652
a_subj.28,1.49759134016,0.16536054142,1.20755744147,1.38140625454,1.48645809821,1.59932281891,1.85742822451,0.000792668952922
a_subj.29,1.5047784779,0.135742486118,1.26018265613,1.41101418683,1.49720950905,1.59111450563,1.7921189697,0.000632661980908
a_subj.30,1.34471885989,0.121632553255,1.11919702918,1.26159063927,1.33955841074,1.42346576408,1.59901319809,0.000556123064597
a_subj.31,1.53365429674,0.146441865936,1.26978638095,1.43212998813,1.52459774207,1.62605151824,1.84450124103,0.000662322036301
a_subj.32,1.41887376646,0.164035818826,1.11219009454,1.30757104714,1.41249295039,1.52367159303,1.75974989617,0.000851394781147
a_subj.33,1.45796784022,0.125929827436,1.22929042477,1.37080890141,1.45103247363,1.53764830277,1.72478741938,0.000516156654577
a_subj.34,1.32404645546,0.138793601451,1.06653255666,1.22940223529,1.31918624932,1.41415135141,1.60981339376,0.000642514191351
a_subj.35,1.37569439882,0.122609695854,1.15423580256,1.29134339915,1.36915607793,1.45430128254,1.634983013,0.000587255001809
a_subj.36,1.20451608934,0.114762712083,0.996706787165,1.12442436885,1.1986153842,1.27899290388,1.44411422369,0.000543115616482
a_subj.37,1.56889171475,0.141483140882,1.31682579924,1.47049116185,1.56072893259,1.6576421673,1.87173953349,0.000661438063847
a_subj.38,1.43778241715,0.124643937327,1.20928656148,1.35138805751,1.4321087917,1.51744190059,1.69909412619,0.000566846095512
