,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.39915932726,0.0271816831158,1.34798522436,1.38066877252,1.39852577168,1.41691854353,1.45481020021,0.000137939119336
a_std,0.183926149918,0.0272527720802,0.133288165055,0.165464549065,0.183081483021,0.201481140738,0.240213869281,0.000195596594115
a_subj.0,1.50367074818,0.142845453305,1.24548488757,1.40507745129,1.49568494501,1.59398433227,1.80938212439,0.000721702781705
a_subj.1,1.31384520065,0.144570627724,1.04407581,1.21345076299,1.30979544767,1.409168749,1.61083823498,0.000715227699429
a_subj.2,1.34065462984,0.144446278881,1.07837473575,1.24148520502,1.33284394147,1.43303950121,1.64421511344,0.000627277127913
a_subj.3,1.45358514302,0.133862465343,1.20315098019,1.36234829621,1.4497305899,1.54042296749,1.72728416023,0.000612589619978
a_subj.4,1.28663712984,0.113647452735,1.07867120718,1.20808148315,1.28187962726,1.35948484286,1.52287665204,0.000542307613171
a_subj.5,1.46600049558,0.136844591653,1.21644494362,1.37139589821,1.45952857811,1.55287367697,1.75272594379,0.000628198235319
a_subj.6,1.45347866848,0.142334262553,1.19042916977,1.35427270617,1.44886862099,1.54489931329,1.74766967944,0.000772600289107
a_subj.7,1.46135060784,0.132401396657,1.21925797196,1.37047100331,1.4548877014,1.54453828994,1.74159985516,0.000686248263579
a_subj.8,1.22201720997,0.130671777038,0.990923376314,1.12997188938,1.21306701605,1.30350747353,1.50216522126,0.000861066335978
a_subj.9,1.28072791666,0.120010774922,1.06260903126,1.19697030833,1.27492769997,1.35728149221,1.53171018694,0.000534726707703
a_subj.10,1.36720082583,0.126725551993,1.13118542276,1.28040180538,1.36187221439,1.44871690936,1.63124421331,0.000567744587511
a_subj.11,1.47424006189,0.151413652006,1.18799924843,1.37325899544,1.46951376569,1.57004982751,1.7862136467,0.000778976757091
a_subj.12,1.52623475538,0.131608199142,1.2896129349,1.43431218219,1.51864445654,1.60981887802,1.80643587497,0.000592829780971
a_subj.13,1.22205483715,0.116009473708,1.01120128736,1.14133106522,1.21642648841,1.29775970128,1.46534070999,0.000516377830249
a_subj.14,1.56359591614,0.144727409692,1.30373703461,1.46442453402,1.55495549173,1.65418644503,1.87433985891,0.000642467486996
a_subj.15,1.34936584817,0.12817487743,1.11022615372,1.26135839894,1.34454978584,1.43194540501,1.61331697716,0.000585143483827
a_subj.16,1.36341694532,0.126262892403,1.13275478093,1.27594868225,1.35776180841,1.44421499523,1.62822243465,0.000538837481026
a_subj.17,1.38977737382,0.139046531654,1.14118780089,1.29252783382,1.38178343328,1.47714104498,1.68572919693,0.00068469110302
a_subj.18,1.42117303195,0.133777647707,1.17376533907,1.3279371352,1.41537441729,1.50832946814,1.69934523922,0.00069157109376
a_subj.19,1.33217445543,0.144719714757,1.07171563439,1.23137140106,1.32457759971,1.42433849547,1.63576603632,0.000692043844986
a_subj.20,1.52821951021,0.142138301343,1.27280656963,1.42881908804,1.52053709655,1.6188463243,1.82945324122,0.000646344856958
a_subj.21,1.6147170797,0.135763494994,1.36611247156,1.52092930437,1.60853941541,1.70098226626,1.89695297407,0.000622923852862
a_subj.22,1.47869046189,0.168650147808,1.17897074972,1.36338640349,1.46717094973,1.58253648764,1.84523688883,0.000817555553967
a_subj.23,1.35616215746,0.120816021934,1.13694681107,1.27221712646,1.34962100208,1.43334814411,1.61216135423,0.000610416440819
a_subj.24,1.50836893374,0.149928826801,1.23657719813,1.40538790088,1.49961766146,1.60255381543,1.82554145259,0.000697266213603
a_subj.25,1.42855945935,0.133827931864,1.1864023621,1.33551567072,1.42259505079,1.5138745822,1.70866790973,0.000598316797239
a_subj.26,1.33836648476,0.120441256497,1.11842122211,1.25480968587,1.33312677768,1.4158176664,1.59012202113,0.000622650926947
a_subj.27,1.36872091422,0.121655237388,1.14916068307,1.2840155098,1.36242058035,1.44647377841,1.62560500115,0.000529281016562
a_subj.28,1.49736108127,0.163651110246,1.20935686885,1.38352379001,1.48522112273,1.59778018298,1.85573690791,0.000892975179826
a_subj.29,1.50278146685,0.135202354773,1.26083677104,1.40870499989,1.49451937306,1.58735045281,1.79194842954,0.000582868372153
a_subj.30,1.34478586609,0.121879354426,1.11712214935,1.26098673562,1.34013598643,1.4231952023,1.59778175919,0.00053793244161
a_subj.31,1.53203797194,0.145625370065,1.26866821604,1.43137851111,1.52393726522,1.62425952393,1.84082150271,0.000620597583969
a_subj.32,1.41813662144,0.162956006173,1.11406954285,1.30639566825,1.41286677869,1.52263841465,1.75523778248,0.000768215577879
a_subj.33,1.45697639314,0.126582375837,1.22684171225,1.36913552876,1.44990410216,1.53738231134,1.72473185927,0.00056515079278
a_subj.34,1.3247941135,0.138050754561,1.06738630518,1.22983659664,1.32118475713,1.41487561391,1.60670936113,0.000641946830265
a_subj.35,1.37443307058,0.121480109142,1.15449539357,1.2905063686,1.36813682635,1.45187485388,1.6310159536,0.000438651859805
a_subj.36,1.20673504691,0.11507682182,0.997202418793,1.12652673196,1.20122371064,1.28067949955,1.44767331254,0.000542306294555
a_subj.37,1.56778258812,0.140292342073,1.31999034549,1.47047549687,1.559150401,1.65507393365,1.86973911257,0.000704076396771
a_subj.38,1.43765799003,0.12527389788,1.20741970286,1.35069134125,1.4315602358,1.51723870431,1.69966603483,0.000514223659303
a_subj.39,1.25749458704,0.114632852402,1.04756164454,1.17790403352,1.25222625921,1.33137908575,1.49787550005,0.000544897280118
a_subj.40,1.3980141345,0.13273239278,1.14589717529,1.30812967714,1.39475392691,1.48395768291,1.6707403713,0.000656038984306
a_subj.41,1.44748216772,0.153113640795,1.17132164245,1.34171764061,1.43905841112,1.5441249677,1.7715112967,0.000772130452318
a_subj.42,1.32085298861,0.135719517032,1.07694113617,1.22677398868,1.31458449961,1.40712315431,1.60976511681,0.000566249716741
a_subj.43,1.37941787108,0.131265617877,1.1403216458,1.28807229765,1.37244059784,1.46346924162,1.65710066461,0.000586042739976
a_subj.44,1.30675292362,0.122164934699,1.08169490961,1.22298883245,1.30163058698,1.3860881297,1.5607136803,0.000515083234554
a_subj.45,1.53937740518,0.151582083636,1.27004376016,1.43333563293,1.5288617912,1.63422310576,1.86515121306,0.000710870044017
a_subj.46,1.33095957949,0.120749818027,1.10657157998,1.24812162669,1.32594613071,1.40814399716,1.58179720847,0.000608724931782
a_subj.47,1.25449310164,0.118946883531,1.03023879489,1.17329315566,1.25061459019,1.33304400261,1.4983433169,0.000540225834671
a_subj.48,1.58028016301,0.137514772275,1.32829630757,1.48556640483,1.57413581109,1.66869559065,1.86561089021,0.000652079443603
a_subj.49,1.31042430583,0.11513274566,1.09996777883,1.23093553121,1.30514137438,1.38468463028,1.54949472829,0.000416397357256
a_subj.50,1.19406970921,0.125215228637,0.961822519592,1.10786354199,1.18964676074,1.27618720708,1.45236456289,0.00053892222848
a_subj.51,1.22485370561,0.116956050243,1.01231955347,1.14339718625,1.21948216079,1.29996400448,1.46963752963,0.000557597461143
a_subj.52,1.23916547644,0.116202718791,1.02507384976,1.15882817774,1.23445756179,1.31356100367,1.48210137722,0.000524014939003
a_subj.53,1.3630412754,0.13993886859,1.11219489246,1.26606924517,1.3552251017,1.45126221556,1.66084785745,0.000672795416906
a_subj.54,1.3873343772,0.135631742815,1.13921511988,1.29335427745,1.38066407892,1.47352887327,1.67325846853,0.000632093761717
a_subj.55,1.58249572643,0.141139454444,1.32983325339,1.48415116331,1.57383248069,1.67066912643,1.88483735843,0.000694687383414
a_subj.56,1.63775553944,0.12875844727,1.4050806313,1.54755388225,1.63117211331,1.72084019412,1.9075500526,0.000572325021823
a_subj.57,1.36077028121,0.133134303294,1.11980071202,1.2690537793,1.35372955002,1.44483943481,1.64370112932,0.000635569790584
a_subj.58,1.29084621658,0.136936598537,1.04385415207,1.19498791814,1.28363886629,1.37934922253,1.57781237591,0.000612757398368
a_subj.59,1.42632734531,0.131846701189,1.18315127369,1.33566835553,1.42141133894,1.51173006434,1.69969998875,0.000610604149442
a_subj.60,1.30905643948,0.128196873523,1.07090668542,1.22183628673,1.30398175223,1.39056851849,1.57315375233,0.000702577233881
a_subj.61,1.23502697793,0.118520356981,1.00817811264,1.15459232538,1.23244255525,1.31266024865,1.47518388394,0.000570037376472
a_subj.62,1.38451513879,0.118055973712,1.17056445751,1.30208190833,1.37870879433,1.46030298306,1.6341900228,0.000454383989828
a_subj.63,1.40568053862,0.141019741432,1.14752728552,1.30898450611,1.39901665754,1.49597466496,1.70206073221,0.000770918162405
a_subj.64,1.29318706713,0.118535381902,1.07725114063,1.21142318494,1.28727229203,1.36895389913,1.54099840246,0.000589202315418
a_subj.65,1.72618696223,0.141728329214,1.47284252028,1.62660630644,1.7184712709,1.81524886356,2.02579060007,0.000752899360163
a_subj.66,1.35426806858,0.122777190993,1.1308479547,1.26911174965,1.34887300942,1.43245621265,1.60996380793,0.000466578300378
a_subj.67,1.65519148609,0.151054696641,1.38371081807,1.55014499685,1.64696015764,1.75144942404,1.97589586248,0.00082021517487
a_subj.68,1.38976916251,0.130234136974,1.14957743062,1.29923334528,1.38404665203,1.4737748079,1.66020270184,0.000686916302593
a_subj.69,1.4137619355,0.146258552492,1.15262402151,1.3121511166,1.40471355906,1.50408278987,1.72549582745,0.000690773974082
a_subj.70,1.36864909438,0.154020348181,1.07242131219,1.26461508507,1.36620105583,1.46970651429,1.68089592473,0.000807225145194
a_subj.71,1.28817790093,0.125375933932,1.06028374107,1.20093974162,1.28228452105,1.36872436558,1.55149973523,0.00065961743286
a_subj.72,1.08690312387,0.110324522356,0.884821976962,1.01004087607,1.0818865,1.15878625912,1.31749210475,0.000534154793033
a_subj.73,1.20081795626,0.119857902202,0.980554798356,1.11763499825,1.19583315671,1.27861282834,1.44710781396,0.000577061904374
a_subj.74,1.50638195424,0.141009820574,1.24845856588,1.40877134305,1.50116689769,1.59747512794,1.80057459382,0.000687888940054
a_subj.75,1.33467605146,0.124948888425,1.10485891216,1.24816877548,1.32957369652,1.41524432204,1.59627308517,0.000508236146869
a_subj.76,1.56477727898,0.155954258251,1.27761965235,1.45826660734,1.55647938533,1.66437717363,1.88976586793,0.000756706450119
a_subj.77,1.45078493838,0.135881108934,1.19677312992,1.35787269486,1.44621265108,1.53824182487,1.73100875407,0.000677490120492
a_subj.78,1.32780507373,0.136902731695,1.07848119811,1.23310809509,1.32200243695,1.41517858949,1.61328992973,0.000591619563337
a_subj.79,1.59339409301,0.155591600959,1.3174792405,1.48491252588,1.58264526922,1.68970978584,1.93120904047,0.000745199676344
a_subj.80,1.59466220312,0.133084282652,1.35260930893,1.50253078055,1.58792381664,1.68030227846,1.87390230434,0.000580772367043
a_subj.81,1.28496051706,0.119795998268,1.06459999474,1.20236117015,1.27965403059,1.36201761675,1.53688849938,0.000540410312223
a_subj.82,1.50501916253,0.148554760328,1.24112265021,1.40171189741,1.49537215879,1.59809184164,1.82417623133,0.000590544457977
a_subj.83,1.25537706386,0.121391909167,1.02694346527,1.17182086343,1.25197080199,1.3340118011,1.50431403854,0.000621604934805
a_subj.84,1.25080592328,0.117671168804,1.03518133571,1.16962390587,1.24465530378,1.32651142989,1.49659430515,0.000589073907688
a_subj.85,1.41249458616,0.127417956152,1.18051072422,1.32447385988,1.4066418087,1.49410502432,1.68167223117,0.000626809858145
a_subj.86,1.41299543125,0.125858949191,1.18154397817,1.32683321067,1.40678950928,1.49313934019,1.67810119023,0.000601482022807
a_subj.87,1.26489187718,0.127219353435,1.03272340437,1.17662370615,1.25903269042,1.34751354942,1.53122170178,0.000559172691119
a_subj.88,1.6333723958,0.145907126996,1.36516417389,1.53398253299,1.62640980276,1.72441653846,1.94258353721,0.00136638824511
a_subj.89,1.34468574745,0.123815292858,1.11801790314,1.25934485367,1.33857623467,1.4237231336,1.60286868096,0.000625390735517
a_subj.90,1.40992743789,0.122167809756,1.18803928422,1.32511441475,1.40320277543,1.48720919431,1.6690788062,0.00053299121264
a_subj.91,1.32937115121,0.119379364706,1.10956103069,1.24701436102,1.32373056072,1.40646008342,1.57853137788,0.000465295998463
a_subj.92,1.38002996277,0.165045296428,1.08160828118,1.26593753641,1.37072829244,1.48395031827,1.73304087787,0.000802504857172
a_subj.93,1.46901630157,0.166770230342,1.17369474884,1.3535875175,1.4568909417,1.57273792158,1.8284177175,0.000858245348868
a_subj.94,1.66516629042,0.175008348008,1.36538120457,1.54295542896,1.64971218645,1.77035948714,2.05227782922,0.000775888582955
a_subj.95,1.51735080607,0.126430449693,1.28565542512,1.43007621645,1.51147323382,1.59838496423,1.78313570434,0.000540147766199
a_subj.96,1.29141084846,0.121910717218,1.06986705365,1.20687433363,1.28481909964,1.36917015052,1.54811833348,0.000640569094515
a_subj.97,1.38892145123,0.123737462888,1.16524678352,1.30260680426,1.38247540504,1.46798670083,1.65029799596,0.000589237582411
a_subj.98,1.52843431168,0.153750044267,1.25480552547,1.42205205486,1.51911209534,1.6258669479,1.85276217254,0.000631419703724
a_subj.99,1.12393685753,0.132841784441,0.889248825684,1.02988920969,1.11523833974,1.20781228734,1.40857296578,0.0008381793592
v,0.0612664501576,0.115121572661,-0.165200201186,-0.0152992466723,0.06194613218,0.13827876325,0.286979217287,0.000525947552577
v_std,1.0802359616,0.0926342078352,0.914019831786,1.0156939737,1.0753197138,1.13919887512,1.27637815659,0.000416058457589
v_subj.0,1.11502047286,0.359436051113,0.434067629357,0.866625727467,1.10659784459,1.35359001503,1.84169012624,0.00177511623439
v_subj.1,-0.843707545001,0.417657062985,-1.70979526277,-1.11245938352,-0.827139264162,-0.557487488757,-0.0615325108902,0.00197035550929
v_subj.2,2.03156478437,0.468706441445,1.14046902584,1.71235631624,2.02052244978,2.33739588129,2.98082811313,0.00203117703533
v_subj.3,-0.138107371193,0.304943096995,-0.743496057617,-0.337973767746,-0.137440296186,0.0653619989223,0.45341899506,0.00126824252999
v_subj.4,0.000257303442008,0.350599028142,-0.687016475703,-0.237430802912,0.000274508852538,0.238022396897,0.688286513036,0.00162612765039
v_subj.5,-0.72875383136,0.353904688218,-1.44958385615,-0.959854856419,-0.720323542356,-0.489532744733,-0.0556267389631,0.00155771069019
v_subj.6,-0.158998576818,0.312186478427,-0.785542531722,-0.364499348405,-0.154972514827,0.051867828748,0.442881659978,0.00151362488619
v_subj.7,-0.649236585771,0.312869460491,-1.26558217441,-0.859331265988,-0.647966863775,-0.438617898693,-0.040870630465,0.00120410047146
v_subj.8,-0.46867533989,0.402134625328,-1.26203965979,-0.737414711998,-0.467557583981,-0.200810543255,0.318349339211,0.00178450895518
