,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.39932262252,0.0273089998348,1.34733995571,1.38083926119,1.39880943352,1.41716424121,1.45481800694,0.000151450171683
a_std,0.183502952272,0.0275633100235,0.131796856358,0.164611387488,0.182591848285,0.201422908641,0.240262002597,0.000205305708392
a_subj.0,1.50367975697,0.14205132361,1.24700676813,1.40484115891,1.49549844759,1.5933754046,1.80380749132,0.000649652727451
a_subj.1,1.31252179241,0.144820750937,1.04285892339,1.21238793372,1.30864405714,1.40737125568,1.61089623849,0.00071043800614
a_subj.2,1.34003772079,0.144098224948,1.07815033656,1.24082695109,1.33267203478,1.43091120173,1.64547859807,0.000679686278858
a_subj.3,1.45491464013,0.135127691472,1.20338523562,1.36249324975,1.44976269905,1.54127318671,1.73693447785,0.000582054409909
a_subj.4,1.2862547293,0.11344330723,1.07674075622,1.20762000358,1.28201693873,1.35920060262,1.52218667061,0.000519626736276
a_subj.5,1.46604508894,0.136407514178,1.21535874775,1.37276595937,1.46024825532,1.55343082453,1.7497721225,0.000685003614082
a_subj.6,1.45226302516,0.141700766738,1.19017528906,1.35340356318,1.44723668681,1.54460823815,1.74464571954,0.000765870873839
a_subj.7,1.46086229378,0.131299503478,1.22019214907,1.37034977014,1.45479462699,1.54467261253,1.73527157258,0.000545927925678
a_subj.8,1.22331172033,0.130513917212,0.99234693018,1.13305328733,1.21379045124,1.30490454343,1.50626129696,0.000726882323384
a_subj.9,1.27857805596,0.119273824234,1.05872040352,1.19561787671,1.27286926699,1.35586817825,1.52821242392,0.000525790005251
a_subj.10,1.36688785952,0.12765889325,1.13110896113,1.27872550974,1.36179504378,1.44954613235,1.63250406627,0.000532059926748
a_subj.11,1.47590372235,0.150872800427,1.18974989511,1.3752046665,1.47127164573,1.57255063896,1.78732704696,0.000628490200212
a_subj.12,1.52660902856,0.131443770808,1.29123696239,1.43431765175,1.5188280637,1.60999119588,1.80601709879,0.000597294897126
a_subj.13,1.22251585182,0.11567136028,1.0094919021,1.14242963493,1.21807758848,1.29723371298,1.46217540931,0.000541125204655
a_subj.14,1.56324145008,0.144723753863,1.30106515651,1.46252455751,1.55506557742,1.65408395884,1.87257721869,0.000705267455153
a_subj.15,1.34844088615,0.127292408308,1.11281573464,1.2598454303,1.34417806166,1.43048071692,1.61308316249,0.000617891006814
a_subj.16,1.3630938867,0.126066376455,1.13235718783,1.27544413118,1.3573633081,1.44453973336,1.62502763628,0.00059801620585
a_subj.17,1.39066166031,0.139421783593,1.14160612849,1.29415194543,1.38254478826,1.4782339577,1.69138317197,0.000652023894182
a_subj.18,1.42286502894,0.132990449504,1.17547187855,1.33131506636,1.41756926931,1.50868164232,1.69799226031,0.00061407734857
a_subj.19,1.33209864546,0.14359860325,1.06938099659,1.2326777465,1.32530540497,1.42410578082,1.63338740248,0.000663770279277
a_subj.20,1.5294253174,0.142151581621,1.27247458999,1.43102880081,1.52216018084,1.61902218846,1.82899350348,0.000675271906489
a_subj.21,1.61458774476,0.135594093523,1.36584198831,1.52042656706,1.60833992429,1.70214088017,1.89661458763,0.000746579358763
a_subj.22,1.47711118352,0.166976384136,1.18025509884,1.36092505758,1.46674751366,1.58168405446,1.83452071465,0.000820677067996
a_subj.23,1.35701548304,0.120938193478,1.13586355988,1.27310568986,1.35155894182,1.43376031929,1.60965864064,0.000493639631131
a_subj.24,1.50863129665,0.149283107715,1.24008740535,1.40519314083,1.4994158186,1.60212412774,1.82648530534,0.000698643941224
a_subj.25,1.42792409397,0.132765091103,1.18527084604,1.33598150559,1.4209471531,1.51306442475,1.70727793154,0.000595902867649
a_subj.26,1.33882310421,0.120563135347,1.11599951482,1.25593081857,1.33315790578,1.41678935793,1.59009086176,0.000497822174813
a_subj.27,1.37002860931,0.121730783556,1.14849712363,1.28518309025,1.36403611809,1.44826031836,1.62497383017,0.000503868861777
a_subj.28,1.49602158911,0.164025906121,1.20788330507,1.38154110801,1.48404853549,1.59665427893,1.85297360421,0.000780075626755
a_subj.29,1.5026410032,0.13463781351,1.26295050108,1.40870361521,1.49478867591,1.58770227874,1.78999416464,0.000591082442895
a_subj.30,1.34586093765,0.121883720041,1.11961939618,1.26237721761,1.3411658807,1.4248189359,1.59714823725,0.000588620400625
a_subj.31,1.53346260853,0.146641893505,1.27150279386,1.43219338948,1.52434339368,1.62579838754,1.84498094514,0.000697250221714
a_subj.32,1.41774105839,0.163165097633,1.11522470924,1.30708821733,1.41132042501,1.5206237398,1.76106196989,0.000881070141871
a_subj.33,1.45803143905,0.126020851914,1.23049458227,1.37061833795,1.45092282103,1.53819029385,1.7248210694,0.000599924864712
a_subj.34,1.32535349169,0.138316365762,1.06668846994,1.23042516045,1.32112241269,1.41471020734,1.61060144856,0.00068290192639
a_subj.35,1.37584088861,0.121353559146,1.15549649407,1.29183838861,1.3699489876,1.45350110219,1.63124101614,0.000509205818799
a_subj.36,1.20709518525,0.115819898513,0.996681770054,1.12713469706,1.20249203203,1.2826099135,1.44681232946,0.000532267758754
a_subj.37,1.56739913784,0.140397844348,1.31834751686,1.46916040265,1.55813181282,1.65509559015,1.86971750068,0.000727752264889
a_subj.38,1.43677885367,0.124748106149,1.20856122695,1.35039870549,1.43087731224,1.51746618724,1.69802329127,0.000657362230717
a_subj.39,1.25872107773,0.115257236319,1.04777039354,1.17810053465,1.25408706893,1.33327796523,1.49639045737,0.000493013950667
a_subj.40,1.39730030349,0.132448649338,1.14598599023,1.30739626457,1.39386299134,1.4839180754,1.66755603656,0.000644511220946
a_subj.41,1.44696253253,0.153250489556,1.1697753927,1.34011888412,1.43907845561,1.54463727801,1.77373392303,0.000781391022806
a_subj.42,1.32175105864,0.134059833011,1.08117122574,1.22888522466,1.31432962786,1.40722444971,1.60539261028,0.000657888516905
a_subj.43,1.37938888755,0.129886412975,1.14261148188,1.28946727823,1.37415073776,1.46240292415,1.65013284653,0.000579089089603
a_subj.44,1.3064927905,0.121295419488,1.08184980496,1.22267692486,1.30235433499,1.38422670005,1.56008073676,0.000578492751052
a_subj.45,1.53844426942,0.15152479688,1.27201642625,1.43355120332,1.52847255566,1.63135918752,1.86886124138,0.000734627280311
