,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.36762526463,0.0256673362759,1.31777809173,1.35029729427,1.36726991716,1.38468876996,1.41909401535,0.000132700142852
a_std,0.171662169341,0.025538434971,0.123451877007,0.154351463825,0.171017103926,0.188230963289,0.223848713984,0.000193524861135
a_subj.0,1.48746058764,0.135903499127,1.24430940754,1.39302584488,1.47993981813,1.57332774609,1.7752622711,0.000621896541218
a_subj.1,1.30465109603,0.135620191682,1.0471386447,1.21177343674,1.30281180946,1.39451501879,1.5765438354,0.000661763481254
a_subj.2,1.28486721109,0.135749519579,1.03158131796,1.19158854776,1.2799858682,1.37230569295,1.56506121821,0.000683546604093
a_subj.3,1.43082428128,0.128701338248,1.18863770132,1.34412668371,1.42647780055,1.51342108851,1.6973408091,0.000605486973998
a_subj.4,1.26616808057,0.108649426622,1.06436908045,1.19090128985,1.26186961099,1.33621611405,1.49059135331,0.000506650116633
a_subj.5,1.45207619214,0.129785722749,1.21390855048,1.36323788039,1.44570551408,1.53568863127,1.72364411746,0.000551309154774
a_subj.6,1.4506342774,0.135147779163,1.19906176896,1.3580206699,1.44735282401,1.53904047136,1.72695646887,0.000759617462455
a_subj.7,1.40142196291,0.121477110216,1.17745523237,1.31760676363,1.39580538758,1.47928074133,1.65700513691,0.000559295850221
a_subj.8,1.20203524576,0.12611734248,0.980371153438,1.11375299384,1.19255906701,1.28173271282,1.4737583041,0.000823582618152
a_subj.9,1.2727381137,0.115806469758,1.0603301421,1.19230959032,1.26852977482,1.34797326894,1.51297799381,0.000486810689814
a_subj.10,1.34691824114,0.120148151535,1.12174480285,1.26483818448,1.34289596506,1.42503667419,1.59546630571,0.000636733849142
a_subj.11,1.43361011891,0.13853915814,1.16812172395,1.34181301509,1.42970784366,1.52199762383,1.71665566477,0.000590435134303
a_subj.12,1.51344531164,0.13173324303,1.2757934904,1.42186957231,1.50588946875,1.59647723315,1.79301865452,0.000640936815376
a_subj.13,1.20415489956,0.110991953626,1.00009203218,1.12694763631,1.199437415,1.27694425204,1.43459588704,0.000522324594422
a_subj.14,1.49003666058,0.130646963794,1.2536296561,1.40009378384,1.48290715251,1.57309334968,1.76554121243,0.000551905166325
a_subj.15,1.3277989842,0.12207642491,1.09917189775,1.2440704618,1.32412059014,1.40697706434,1.57853190917,0.000475568127583
a_subj.16,1.33865390036,0.124749030043,1.10663871042,1.25256607182,1.33439753319,1.41935513968,1.59484268095,0.000604289109409
a_subj.17,1.28960822881,0.119263407244,1.0719009535,1.20704964802,1.28371836814,1.36582703022,1.53932552226,0.000564801366274
a_subj.18,1.43265501377,0.144651867197,1.16513799246,1.33267092778,1.42615680901,1.52720739212,1.7321843561,0.000836115536537
a_subj.19,1.26346678409,0.132742214664,1.01671887255,1.17183621103,1.25795472182,1.34892090893,1.53873558465,0.000577318955081
a_subj.20,1.45865593357,0.129091267484,1.22560622886,1.36953076481,1.45196398609,1.54085889017,1.73061598363,0.000659405442373
a_subj.21,1.58602431627,0.126854286085,1.35322916858,1.49868831814,1.58073471011,1.66707612205,1.85134793768,0.000690767566957
a_subj.22,1.32562781523,0.154633643945,1.04904855831,1.21873404952,1.31704615498,1.42188861466,1.65306930339,0.000698195951623
a_subj.23,1.3288498163,0.113984439144,1.12010902681,1.25008700908,1.32369344559,1.40212755008,1.56741390117,0.000528939347749
a_subj.24,1.40951237592,0.145107893695,1.14251493115,1.30949264267,1.40331270728,1.50046235891,1.7147740597,0.00100965949239
a_subj.25,1.36665253871,0.120081571864,1.14709069263,1.28354335189,1.36104585975,1.44364295728,1.61917018521,0.000519849967766
a_subj.26,1.31043508886,0.113884978118,1.09792547526,1.2319024733,1.3066807057,1.38444528483,1.54665762039,0.000463714358406
a_subj.27,1.3300987103,0.114660531496,1.12205209171,1.25006184488,1.32448002556,1.40323072935,1.57121391693,0.000511451650241
a_subj.28,1.37398255251,0.145302385036,1.11550977448,1.27287772532,1.3645807045,1.46402767475,1.68786707632,0.000705926187646
a_subj.29,1.44550382684,0.124221853581,1.22193967675,1.35879338925,1.43790294975,1.52398324662,1.71092645013,0.000504804828735
a_subj.30,1.33357413429,0.114868912156,1.12125918165,1.25449742421,1.32948386382,1.40810027496,1.57062688058,0.00053040157458
a_subj.31,1.46065805288,0.13626940586,1.21159471808,1.36704549352,1.45380052449,1.54660872848,1.74801131091,0.00060861652772
a_subj.32,1.27621285573,0.138959028191,1.02144644221,1.18057304941,1.26977523535,1.36559533728,1.5642951158,0.000664520951515
a_subj.33,1.44034759306,0.120712960586,1.22234104146,1.35635084744,1.43384671078,1.51723979267,1.6956417191,0.000567107764934
a_subj.34,1.31070774475,0.132897512987,1.06120993816,1.21997467361,1.30643640795,1.39733306629,1.58338989565,0.000650945330996
a_subj.35,1.35391042075,0.117024171983,1.14171856666,1.273102702,1.34761983559,1.42881472712,1.60083038567,0.000466705445028
a_subj.36,1.19491389705,0.110149761622,0.991298641258,1.11878528941,1.19061050995,1.26617058721,1.4218891218,0.000557086416912
a_subj.37,1.52324403654,0.133586741106,1.28492394891,1.43055391903,1.51392047843,1.6081737525,1.80912498002,0.000665878992822
a_subj.38,1.41841582246,0.120232947826,1.19765838543,1.33541283507,1.41259217317,1.49506545615,1.67198031198,0.000584637332548
a_subj.39,1.25555965856,0.111934479722,1.04971258941,1.17791811372,1.25061466793,1.32834361624,1.48968443276,0.000532289649752
a_subj.40,1.38631144599,0.125644848998,1.14614864462,1.30185256175,1.38292303422,1.46860546175,1.64026081305,0.000549274915165
a_subj.41,1.48431544377,0.154468682594,1.20191103175,1.37723313544,1.47650766319,1.58277936068,1.80796964074,0.000805480102982
a_subj.42,1.3018945878,0.134194272006,1.05717696516,1.20873080874,1.29576850694,1.38790093771,1.58270166057,0.000625822132962
a_subj.43,1.36214715589,0.123844668804,1.136307228,1.27672977511,1.35607952112,1.44172914583,1.62156844399,0.000569120914364
a_subj.44,1.25792581995,0.112630725834,1.04685770818,1.18086077463,1.25454676616,1.33075722933,1.49095258224,0.000527758125633
a_subj.45,1.45163688361,0.135431297696,1.20905674184,1.35707354256,1.44326771254,1.53729370426,1.73747462752,0.000680767434608
a_subj.46,1.32206538606,0.114705230165,1.10976252276,1.24200136238,1.31816836088,1.39642038635,1.55935621615,0.000536250489666
a_subj.47,1.24324054749,0.112305155709,1.03264131605,1.16570086816,1.2396623998,1.3159762064,1.47325551916,0.000512555506063
a_subj.48,1.57077168206,0.136064873702,1.32046360411,1.47658954163,1.56464617855,1.65834281858,1.85474057118,0.00070494775299
a_subj.49,1.29664758793,0.10794034419,1.09758164214,1.22154087782,1.291590636,1.36624367425,1.52168285215,0.000505263829241
a_subj.50,1.19956934452,0.125255966968,0.963414214876,1.113680132,1.1966235451,1.28220513268,1.45162260069,0.000604459896495
a_subj.51,1.21779649755,0.112816081003,1.01109572821,1.13940538768,1.21312995603,1.29021899923,1.45272134053,0.000605611406842
a_subj.52,1.23504980314,0.112875014549,1.02764768389,1.15588868115,1.23051870298,1.30804291255,1.46847346152,0.000569574853602
a_subj.53,1.32563136834,0.136080911594,1.07857823006,1.23143670341,1.31803594216,1.41199188931,1.61360329735,0.000644647119717
a_subj.54,1.39552381871,0.12906452511,1.1570428725,1.30666307518,1.39058287842,1.47887020831,1.6641606518,0.000552949826098
a_subj.55,1.52927560139,0.130115323869,1.29234338454,1.43938862347,1.52199150056,1.61207702036,1.80703154762,0.000576255396204
a_subj.56,1.63024439153,0.127509517119,1.40004059102,1.54119208051,1.62288656658,1.71217502685,1.89756354035,0.000581041022254
a_subj.57,1.31039442282,0.120759747206,1.08660610516,1.22701139432,1.30625751669,1.38844110378,1.56219901283,0.000504486971038
a_subj.58,1.2317199506,0.127322218695,0.996033925615,1.14394230323,1.22640747863,1.31381650529,1.49542718065,0.000655653130376
a_subj.59,1.42966404263,0.126304931563,1.19555908436,1.34407912879,1.42467289496,1.51098043692,1.69167449642,0.000561924927753
a_subj.60,1.29433796371,0.120094333476,1.06748188933,1.21285180757,1.29073326889,1.37188645024,1.54270685697,0.000591485214204
a_subj.61,1.2268602442,0.111599308163,1.0131878908,1.15147219948,1.22372802358,1.30000417167,1.45275449337,0.000495295018316
a_subj.62,1.38066792997,0.112916439939,1.17359510884,1.30286136842,1.37518169612,1.45340665054,1.61649390698,0.000556813224371
a_subj.63,1.31779206735,0.128392923665,1.08024444325,1.23034242468,1.31270583504,1.39923274511,1.58485000258,0.000647974050449
a_subj.64,1.28677682934,0.11254854544,1.07957804795,1.2088498756,1.28240156571,1.35992133451,1.52187294323,0.000521568722046
a_subj.65,1.70075545281,0.138217337305,1.45509981005,1.60320721719,1.69286701458,1.78779345948,1.99432837178,0.000703207956357
a_subj.66,1.34137111512,0.118566257586,1.12573073489,1.25921379959,1.33549904311,1.41658811061,1.59238001773,0.000542568724202
