,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.36751379469,0.0256141911395,1.31806179747,1.35016931816,1.36712536987,1.38433691685,1.41915615115,0.000125994816565
a_std,0.171457388354,0.0255554566885,0.123121220225,0.154117201121,0.170816780972,0.188197617292,0.223183782871,0.000191957014806
a_subj.0,1.48655179558,0.136383350463,1.2407018427,1.39100517748,1.47946426962,1.57454112657,1.7723245763,0.000578260280955
a_subj.1,1.30504791241,0.135477153417,1.04549945453,1.21312892339,1.30224837448,1.39425053408,1.57987958295,0.0005551010995
a_subj.2,1.28647280478,0.135818296887,1.03220584379,1.19354517004,1.28203482717,1.37435566013,1.5681602557,0.000611891424499
a_subj.3,1.42986778723,0.128889002536,1.18861160233,1.34204349108,1.42602476017,1.51287276115,1.69349082358,0.000511207610053
a_subj.4,1.26675917076,0.10875464597,1.06700288745,1.19058411604,1.26186334351,1.33683031174,1.49446997265,0.000547253814291
a_subj.5,1.45109107083,0.129210492354,1.21188430855,1.3616896041,1.4454628639,1.53429997621,1.72184254392,0.000616080173288
a_subj.6,1.45086013401,0.135332433825,1.19767358164,1.35752233129,1.44674368416,1.5396976095,1.72812692194,0.000754019732646
a_subj.7,1.40060058873,0.120989691339,1.17697948705,1.31685812839,1.39601756489,1.47809610231,1.65364779879,0.000577581103269
a_subj.8,1.2007335449,0.126024481572,0.978052461132,1.11223051245,1.19258699036,1.28021991568,1.47087098055,0.000757625469103
a_subj.9,1.27369775681,0.115609937754,1.06294118708,1.19330653003,1.26860553047,1.3488130625,1.51422248359,0.000514959749675
a_subj.10,1.34676819552,0.121235249775,1.12097869,1.26384842565,1.3429114288,1.42445344025,1.59849958289,0.000555683871358
a_subj.11,1.43318176739,0.138243116384,1.16989085955,1.34021591285,1.42897870522,1.52217472726,1.71754951204,0.00067247443341
a_subj.12,1.51131745678,0.130135483413,1.27924242511,1.42109561998,1.50328565195,1.59348288888,1.79072704642,0.000629639632569
a_subj.13,1.204032233,0.110690453927,1.00029732117,1.12703564675,1.19980675402,1.27599932516,1.43324686242,0.000521960361185
a_subj.14,1.48910606452,0.130541301182,1.25008556532,1.39941441837,1.4830506787,1.57226676587,1.76435306277,0.000610809144766
a_subj.15,1.32758940475,0.121716955843,1.09842451645,1.24495483085,1.32357792901,1.40621684125,1.57997562932,0.000531351555613
a_subj.16,1.33898036845,0.124787117468,1.1096260307,1.25243749675,1.33424012781,1.41930631038,1.5982951489,0.00056077762501
a_subj.17,1.29065587788,0.119558581507,1.07313964157,1.20760088938,1.28481341092,1.36759770357,1.54228985623,0.000537680263521
a_subj.18,1.43339106426,0.143993700598,1.16928226816,1.33367709941,1.42694077613,1.52629115475,1.73434756038,0.000828209060138
a_subj.19,1.2628240235,0.132871575593,1.01697324169,1.17069572742,1.25762683555,1.34846545053,1.53674093592,0.000585127956083
a_subj.20,1.45812441626,0.129023227649,1.22287279576,1.36827599789,1.4519379885,1.54068936241,1.72989332213,0.000615885207123
a_subj.21,1.58766123676,0.127160563219,1.35415542242,1.49996217999,1.58222170101,1.66866170163,1.85432735488,0.000686158711512
a_subj.22,1.32510766258,0.153707660392,1.04850732833,1.21846584655,1.31766040978,1.42188517851,1.65206495201,0.000778369664055
a_subj.23,1.32971459449,0.114543713355,1.11928625451,1.25095372558,1.32466845569,1.40329344429,1.57104890796,0.00055561373037
a_subj.24,1.41028602671,0.145406084941,1.1414854446,1.31140966108,1.40361321756,1.50223098648,1.71502180074,0.000961667996019
a_subj.25,1.36609114605,0.120503918624,1.14574368704,1.28245513615,1.36161731775,1.44232786605,1.61818358223,0.00051502860298
a_subj.26,1.31053503402,0.11418081538,1.10017061878,1.2317653509,1.30594609961,1.3846603106,1.54703575639,0.000538870053932
a_subj.27,1.3309502054,0.114988162068,1.12282047515,1.25091507395,1.32521777946,1.40470186309,1.57149763211,0.000529548053901
a_subj.28,1.37079740918,0.144979016346,1.11583402082,1.26976971177,1.36066711907,1.46001420946,1.68303810946,0.00062020482303
a_subj.29,1.44453058234,0.123724287254,1.22240844622,1.35896939197,1.43735386433,1.52323639213,1.7088846254,0.000535291648281
a_subj.30,1.33417139585,0.115201233751,1.12071082776,1.25524935094,1.33018226004,1.4084073311,1.57457744194,0.000483662256442
a_subj.31,1.45989685794,0.136387638665,1.21231304012,1.36568997738,1.45226907893,1.54609391283,1.74827670377,0.000637092864952
a_subj.32,1.2773271616,0.138969412987,1.02261173433,1.18123756259,1.27201154262,1.36646570087,1.57076850686,0.000684928796402
a_subj.33,1.44055853505,0.121026829554,1.22111716696,1.35624288613,1.43435690537,1.51742993134,1.69571138191,0.00057848825766
a_subj.34,1.31085647176,0.133592586942,1.06002698536,1.2191382712,1.30670715383,1.39859910689,1.58483163508,0.000679558488873
a_subj.35,1.35636594583,0.117973771896,1.14099211345,1.27398594252,1.35095577375,1.43167430448,1.60413515813,0.00051653853277
a_subj.36,1.19384455595,0.110108699801,0.991190954097,1.11769445084,1.18869484789,1.26546990067,1.42163714438,0.000527933122971
a_subj.37,1.52489043125,0.13333167702,1.28722844853,1.43207930179,1.51647150433,1.60899787873,1.80958409251,0.000694844215524
a_subj.38,1.41789003791,0.12148044975,1.19577511294,1.33362727944,1.41264612293,1.49524489232,1.67214813132,0.000573278757923
a_subj.39,1.25615887179,0.111003064337,1.0506134238,1.17975293084,1.25160651538,1.32838218021,1.486310448,0.000570492683122
a_subj.40,1.3863162193,0.125988632165,1.1491434522,1.30081552768,1.38283962317,1.4677321551,1.64483603311,0.000590137458436
a_subj.41,1.48417765151,0.154662172884,1.20069497906,1.37821166734,1.47689660405,1.58262363619,1.80904481303,0.000722492405254
a_subj.42,1.30267004061,0.133829149464,1.05688893645,1.21072551012,1.29598033474,1.38893844029,1.58226624752,0.000618430581116
a_subj.43,1.36270913825,0.123208446628,1.13778815154,1.27760974714,1.35719743076,1.44172582518,1.61965480273,0.000567920284675
a_subj.44,1.25825297413,0.112930228771,1.04789672464,1.18015636729,1.25494271947,1.33178647621,1.48925867553,0.000607044377506
a_subj.45,1.45203049063,0.135774387232,1.20954656113,1.35729407101,1.44379326718,1.53688551691,1.74502585912,0.000660402533634
a_subj.46,1.32110114882,0.113876481183,1.11077760923,1.24258659384,1.3159415059,1.39491426296,1.55922905917,0.000561896436701
a_subj.47,1.24343881893,0.111005350821,1.03416504351,1.16765020546,1.24062970965,1.31536356337,1.47219626696,0.000529984383023
a_subj.48,1.57012185642,0.136418193291,1.31942291383,1.4756229766,1.5639646429,1.6577441207,1.853259054,0.000633976564582
a_subj.49,1.29714207761,0.108243241002,1.09734987171,1.22214612839,1.29253815553,1.36693407409,1.52378747568,0.000470643234403
a_subj.50,1.19940165493,0.124703789182,0.964705312135,1.11396302404,1.19690496287,1.28113476825,1.45256743297,0.000529608128438
a_subj.51,1.21776308564,0.112713339258,1.01100297891,1.13983635927,1.21277147009,1.29049894535,1.45191409422,0.000520364323966
a_subj.52,1.234025727,0.112673327671,1.0272037514,1.15624756601,1.23021438652,1.30681122235,1.46945058747,0.000520516998728
a_subj.53,1.32488405011,0.135789792535,1.07792967184,1.23015554772,1.31785192971,1.41217989954,1.61188981602,0.000636808972878
a_subj.54,1.39612415197,0.128375021741,1.15734039247,1.30810947028,1.3920040528,1.47907280668,1.66194349218,0.000553438545177
a_subj.55,1.52894113565,0.130441408377,1.29179590123,1.43860046077,1.52231005338,1.61072383733,1.80504425016,0.000639473216898
a_subj.56,1.63062501777,0.127793202065,1.39929863631,1.54138926831,1.62393369036,1.712506215,1.90099562677,0.000634712572007
a_subj.57,1.30918859765,0.120738840401,1.08744760585,1.22555560876,1.30467625379,1.38757601542,1.55892609046,0.000538448654533
a_subj.58,1.23268249354,0.127779966995,0.997268746724,1.1445949835,1.22754255887,1.31560458726,1.49912750857,0.000589053704849
a_subj.59,1.42949067558,0.126407110129,1.19198974964,1.34312954141,1.42544568189,1.51060889538,1.6920151171,0.000536675395055
a_subj.60,1.29495973709,0.120701341959,1.06620042019,1.21376074923,1.29087441294,1.37279786888,1.54236060944,0.00057934396692
