,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.36744749605,0.0256683556465,1.31799761469,1.35006523523,1.36699885101,1.38443047237,1.41906967669,0.000144595127286
a_std,0.171147419914,0.0255768374506,0.122643726662,0.153818677994,0.170400521153,0.187924583357,0.223199454104,0.000187537512786
a_subj.0,1.48673874707,0.135762502128,1.24059520917,1.39255482986,1.47925327952,1.5730491924,1.775753055,0.00061383612314
a_subj.1,1.30384380256,0.134728969304,1.0441160028,1.21155792205,1.30235023065,1.39232603296,1.5753647699,0.000583443528512
a_subj.2,1.28703330775,0.136489179575,1.03502060714,1.19291950223,1.28150333535,1.3753079773,1.56930313614,0.00062057110332
a_subj.3,1.43120444005,0.12980595315,1.18840213066,1.34233133433,1.42674005991,1.51503052745,1.70011740944,0.000595135359449
a_subj.4,1.26593451626,0.108051319227,1.06752052467,1.19066774996,1.26120710998,1.33617489508,1.49051188082,0.000480081330447
a_subj.5,1.45104951808,0.12917448102,1.21676247133,1.36206452625,1.44486535706,1.53294648918,1.72434752299,0.000561043726925
a_subj.6,1.45037809593,0.134266177338,1.20098797407,1.35706014721,1.44668255652,1.53876660528,1.72440769477,0.000725660332376
a_subj.7,1.40161913424,0.121532370858,1.17720745445,1.31815875875,1.39695240582,1.47904086099,1.65480172537,0.000560654680817
a_subj.8,1.2021663006,0.125395263796,0.979645276905,1.11415863116,1.19432928011,1.2813212132,1.47119771483,0.000900332649785
a_subj.9,1.27422450239,0.116248519448,1.05979735839,1.19415382403,1.27002426271,1.3488273019,1.51651128814,0.000553291954441
a_subj.10,1.34558662544,0.12029972447,1.12240284216,1.26328878116,1.34053810626,1.42321836514,1.59469321449,0.000539886388766
a_subj.11,1.43213028955,0.138255245467,1.16726550166,1.33993746915,1.42926408138,1.52041583085,1.71693456377,0.000593857078232
a_subj.12,1.51199648221,0.131132487444,1.27800189191,1.42041543149,1.50465133137,1.59495933857,1.79307130774,0.00065469516037
a_subj.13,1.20556698568,0.110610377536,1.00038688631,1.12951480109,1.20144326198,1.27638880763,1.43617345833,0.000545972816083
a_subj.14,1.48808932009,0.129607767107,1.2545215255,1.39799140219,1.48117645628,1.57111674289,1.76283596145,0.000675379288814
a_subj.15,1.32780299241,0.12147752497,1.10158393922,1.24452007839,1.32391811836,1.40609332576,1.57786280615,0.000523792898373
a_subj.16,1.33959568007,0.124607796976,1.1081503236,1.25346719998,1.33490871922,1.41945661149,1.59776103084,0.000636808924203
a_subj.17,1.29099989272,0.118786124455,1.07346616926,1.20905655926,1.28574958727,1.36754868417,1.53640079722,0.000569973014164
a_subj.18,1.43442171163,0.14452021565,1.17011261405,1.33425181788,1.42784177503,1.52774994095,1.73540716008,0.000832715316244
a_subj.19,1.26191728875,0.131759997918,1.01603759442,1.17117991824,1.25740022336,1.34770359737,1.53382316225,0.000647753800821
a_subj.20,1.45824025167,0.128701106936,1.22399512733,1.36918142545,1.45182174958,1.54105292552,1.72710807042,0.000578950864822
a_subj.21,1.58525933986,0.126732079111,1.35454870577,1.49719538602,1.57966716163,1.66624766951,1.8501880515,0.000610558463814
a_subj.22,1.32538569707,0.153794111363,1.04643040953,1.21869115794,1.3175491123,1.42295599348,1.65009529997,0.000734025499137
a_subj.23,1.32953347938,0.11335634652,1.12254896544,1.25132522419,1.32425733879,1.40201333381,1.56751431106,0.00046399730344
