,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.2917306857,0.0241432352975,1.24528451593,1.27534866838,1.29151147693,1.30767935349,1.33978777166,0.000122140883701
a_std,0.178803653869,0.022907396612,0.135873757601,0.163179268293,0.178136966733,0.193528992679,0.225701678051,0.000129744103846
a_subj.0,1.37670904812,0.12328068455,1.14828443917,1.29233484669,1.37158615888,1.45555546632,1.6331259605,0.000560976575153
a_subj.1,1.22725256478,0.138712443106,0.969500271191,1.12950890395,1.22267229023,1.31982206642,1.51120898133,0.000611447958228
a_subj.2,1.09683262322,0.106840665703,0.899705751297,1.02256672464,1.09205613288,1.1664856433,1.31672961309,0.000512948655303
a_subj.3,1.40578943179,0.132392644015,1.15840672152,1.31449576266,1.40214396206,1.49179861338,1.67692516852,0.000524833966989
a_subj.4,1.2437723764,0.109199326239,1.04459473192,1.16827455921,1.23845877842,1.3137902328,1.47359845584,0.000519882970014
a_subj.5,1.38080527964,0.126523749164,1.14678873071,1.29388236686,1.37481495829,1.46242377835,1.64339637359,0.000529833147945
a_subj.6,1.40180231614,0.140977627063,1.14620478948,1.302530304,1.39584997622,1.49302118054,1.69451359353,0.000835256889719
a_subj.7,1.37417316119,0.12425772621,1.14691217435,1.28818835788,1.36876504656,1.45397594703,1.63620286514,0.000573055879971
a_subj.8,1.15554036403,0.118090876064,0.946659153059,1.07310432779,1.14717689369,1.22977895503,1.41144210857,0.000633729170308
a_subj.9,1.23222101614,0.114221732665,1.02529432656,1.15291516994,1.22692276826,1.305914746,1.47221240273,0.000487298884778
a_subj.10,1.29927474663,0.119895053406,1.07587794694,1.21687089648,1.29487552908,1.37716167592,1.54672914047,0.000585771171351
a_subj.11,1.38770649494,0.147057945293,1.09929289535,1.29033932939,1.38543736586,1.48287022184,1.68634450075,0.000707648793101
a_subj.12,1.42487234682,0.117619210508,1.21085011099,1.34376338732,1.41957888815,1.49928959353,1.67264129373,0.000574005950254
a_subj.13,1.17504970488,0.109689444832,0.975305162461,1.09925961078,1.16928326166,1.24576702638,1.4045355726,0.000604082576566
a_subj.14,1.46117623683,0.131499985296,1.22168569032,1.37014015297,1.45533415217,1.54478859713,1.73821681078,0.000608766140733
a_subj.15,1.25337560192,0.117795779248,1.0329071342,1.17243716626,1.24910664738,1.33028477699,1.49466246919,0.000477988284857
a_subj.16,1.29902218898,0.119970685607,1.07865326822,1.21599283929,1.29366324167,1.37628578744,1.5492051361,0.000572702125656
a_subj.17,1.20764735755,0.109995628294,1.0096746401,1.13111740474,1.20187550404,1.27785981477,1.43877240774,0.000467091297435
a_subj.18,1.31180840889,0.122853984924,1.08502257117,1.22646500359,1.30662590748,1.39263171026,1.56590533383,0.000566695659035
a_subj.19,1.08206881019,0.105369782271,0.886727891475,1.00872447204,1.07732755043,1.15054677796,1.30087682649,0.000506910215583
a_subj.20,1.42110431432,0.127414092011,1.191396195,1.33217189309,1.41485744765,1.50326489908,1.68920993094,0.000574704388983
a_subj.21,1.57065118801,0.132201269198,1.32849385034,1.47942472435,1.56482270266,1.65564342852,1.84674189157,0.000684537036296
a_subj.22,1.13393999824,0.11211895114,0.923688763268,1.0578051843,1.1304216863,1.20621154387,1.36557242824,0.000533999911265
a_subj.23,1.29954824582,0.114077948662,1.09417578011,1.21966107487,1.29318528282,1.37239519577,1.54033208818,0.000489157152171
a_subj.24,1.32240301668,0.121077887456,1.09037951284,1.24141364835,1.3194812476,1.40027010961,1.56928440121,0.000583994694702
a_subj.25,1.29725911081,0.116323655312,1.08454740462,1.21676572719,1.29223330867,1.37210594721,1.54203864095,0.000536285678505
a_subj.26,1.27777756712,0.115182596304,1.06679969128,1.19808322851,1.27233100273,1.35200202178,1.51982854396,0.000502538924518
a_subj.27,1.29828737832,0.113331444101,1.0923995042,1.21985495871,1.29183437928,1.37057298885,1.53854947264,0.00053695495791
a_subj.28,1.19641133818,0.109150274817,0.9981519144,1.12012105708,1.1913956415,1.26682625013,1.42556188939,0.000500123685442
a_subj.29,1.37376550482,0.115112420357,1.1674162499,1.2936578092,1.36734010424,1.44662991585,1.6181365243,0.000524914164809
a_subj.30,1.28003595154,0.114309181379,1.06813600407,1.20128231104,1.27575765922,1.35390466165,1.51609961353,0.000552565966831
a_subj.31,1.35889278568,0.119816351378,1.13718284975,1.27640207173,1.35498059868,1.43586937455,1.60573578927,0.000587510917368
a_subj.32,1.14499464676,0.127813294151,0.904911068615,1.05568490274,1.14302409185,1.23128422345,1.40186222738,0.000782698613531
a_subj.33,1.39073240053,0.117920663508,1.17639772239,1.30835565725,1.38390725327,1.46663544126,1.63788820788,0.000545775925764
a_subj.34,1.26786256166,0.13595802129,1.01823789463,1.17330230957,1.26214789898,1.35570925852,1.54815268657,0.000628900064855
a_subj.35,1.3300743529,0.118234612327,1.11775344758,1.24771221058,1.32462259774,1.40468276471,1.58131836356,0.000532807446045
a_subj.36,1.15450208253,0.107932192048,0.958834098959,1.07924050986,1.14908038661,1.22493585028,1.37968341577,0.000456017857367
a_subj.37,1.43976872642,0.120929811043,1.22240434576,1.35533376194,1.43328555851,1.51671008463,1.69545196706,0.000555453871592
a_subj.38,1.3937467485,0.121188367072,1.17313818682,1.30953645222,1.38763732106,1.47126885594,1.64995679255,0.000566135689002
a_subj.39,1.21115372472,0.109660565943,1.01054468005,1.13477183965,1.20623037763,1.28134557523,1.4398527596,0.000540636961666
a_subj.40,1.3401850989,0.131204266715,1.09031997259,1.2515163845,1.33652901629,1.42485359821,1.60880613269,0.000718622400261
a_subj.41,1.28791966129,0.132266347773,1.04374651344,1.19584699814,1.28256831187,1.37562869518,1.56109891226,0.000571903591629
a_subj.42,1.12824155379,0.103231546959,0.939406702952,1.05686979086,1.12363065907,1.19386757011,1.34537143475,0.000478600887548
a_subj.43,1.32465299519,0.126251039177,1.09630989659,1.23720678584,1.31826761285,1.40408367765,1.59242291257,0.000587336146568
a_subj.44,1.21583600726,0.110159709066,1.01176547939,1.14085597509,1.21207621058,1.28596720662,1.44476074668,0.000570467229503
a_subj.45,1.32838740668,0.117564755294,1.11404146624,1.24755435546,1.32326405673,1.40341058918,1.57613704801,0.00054007027808
a_subj.46,1.27287090602,0.114239271757,1.06481212381,1.19356742127,1.2676596614,1.34666268556,1.5108911128,0.000540452515612
a_subj.47,1.20553442166,0.113651220343,0.992961194133,1.12740435592,1.20151656699,1.27887592565,1.44149205509,0.00053624602487
a_subj.48,1.5325883592,0.136075074587,1.2785086285,1.43913413937,1.52721069678,1.6202611414,1.81622288865,0.00071260957206
a_subj.49,1.26762792087,0.110235980998,1.0672391337,1.1907397882,1.26229512029,1.33887825886,1.49945505645,0.000545999936645
a_subj.50,1.10842755283,0.116449519737,0.891700855588,1.02707989518,1.10528445344,1.18527538411,1.34596760072,0.000600816144118
a_subj.51,1.17164182042,0.11087508915,0.972047396348,1.09461074122,1.16610546907,1.24249766876,1.40530685287,0.000525015800289
a_subj.52,1.19432800803,0.11176838653,0.98982300574,1.11716131562,1.18885142269,1.26570379257,1.42881956934,0.000481631727537
a_subj.53,1.17096618692,0.1088969181,0.975781342261,1.09465195072,1.16549888193,1.24081103294,1.40003105965,0.000456854846122
a_subj.54,1.28505605781,0.126098303922,1.05114336545,1.19776108788,1.28011462776,1.36711017834,1.54647950463,0.000642463848603
a_subj.55,1.48420777723,0.129704539265,1.24774865467,1.39425549946,1.47802346624,1.56578930347,1.75799025692,0.000526792715594
a_subj.56,1.58895629349,0.12413782384,1.36294209534,1.50229766407,1.58296959488,1.66882528725,1.84833700412,0.00055216145476
a_subj.57,1.22030512121,0.113333958266,1.01106828858,1.14258492083,1.2151714452,1.29379236271,1.45635455615,0.000492336763335
a_subj.58,1.08838758919,0.105237557052,0.89778690864,1.01530648362,1.08250873846,1.15601580448,1.30741808531,0.000510800712726
a_subj.59,1.31867538336,0.121820561546,1.0904344107,1.23614429113,1.31549356838,1.39712419582,1.56975532025,0.000523746473323
a_subj.60,1.24457500803,0.122661366014,1.01675569663,1.16052221273,1.24031992714,1.32296425186,1.5013499391,0.000569369598398
a_subj.61,1.18795421755,0.116306645838,0.963747160094,1.1101991234,1.18612666933,1.26399313564,1.42318132036,0.000534879656975
a_subj.62,1.33495931538,0.112535021637,1.13175479424,1.25681291689,1.32869950454,1.40714791201,1.57140043923,0.000488101358564
a_subj.63,1.21130085206,0.114165782679,0.994491130564,1.13438938597,1.20762302478,1.28406996338,1.44600887207,0.000630716867209
a_subj.64,1.22211262515,0.109174494691,1.02309665623,1.14628709692,1.21689992398,1.29152394056,1.45196264936,0.000440968830365
a_subj.65,1.68354515294,0.138522934237,1.4344571926,1.58662948088,1.67611044814,1.77151619957,1.97763720432,0.000637422539418
a_subj.66,1.30782692025,0.117971620354,1.09600566257,1.22553964923,1.30152112471,1.3826261411,1.55821382333,0.000543178680358
a_subj.67,1.58970171241,0.143443196376,1.32781069739,1.49050957377,1.58277272319,1.68061856658,1.89307002238,0.000719252631094
a_subj.68,1.34072454309,0.127693864565,1.10718505531,1.25222412837,1.33496603695,1.4237647694,1.60798022956,0.000570236331443
a_subj.69,1.1773328053,0.10654694572,0.98215542403,1.10318811654,1.17288835238,1.24573733798,1.39976189442,0.000488635188115
a_subj.70,1.16332211414,0.132441147712,0.912347008236,1.07102564909,1.16158812432,1.25305543468,1.42572114843,0.000892322513356
a_subj.71,1.1979038742,0.112704518959,0.993287131872,1.11976746322,1.19309153072,1.26957727845,1.43455901108,0.000520062286097
a_subj.72,1.03528736303,0.101782788905,0.851826926723,0.963911088797,1.03007326191,1.10065785213,1.24983228645,0.000425466873002
a_subj.73,1.123481199,0.112990746788,0.920762630294,1.0439184842,1.11697620747,1.19696777746,1.36091860564,0.000558820056637
a_subj.74,1.44622417075,0.13758131704,1.19323100721,1.35041452892,1.44111842369,1.53503234569,1.73141379945,0.000643972558314
a_subj.75,1.21803394618,0.110406923655,1.01380216595,1.1431740166,1.21369016039,1.28861747093,1.4474429183,0.000612985235273
a_subj.76,1.47055291542,0.147479249279,1.19496589528,1.36968249637,1.46526837893,1.56634446771,1.77376748513,0.00065445487828
a_subj.77,1.38946108015,0.132052822856,1.14134996521,1.2985557476,1.38559545969,1.47539445564,1.66123037521,0.000594281290186
