,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.29138730155,0.0241647406397,1.24506647821,1.27495124169,1.29098189408,1.30736218791,1.33999566252,0.000136685576472
a_std,0.178849582341,0.0229492386675,0.135899983291,0.163147649168,0.177965082558,0.193664280512,0.226112132769,0.000153469992413
a_subj.0,1.37537091223,0.122807006401,1.14715051307,1.29175576381,1.37024125222,1.45432708138,1.62952021139,0.000477454409801
a_subj.1,1.22669948094,0.138590739175,0.970357844896,1.12936342499,1.22242800695,1.31776948533,1.50888913253,0.000586788614117
a_subj.2,1.09633316544,0.107166325218,0.89823930689,1.02192238827,1.0919426588,1.16629747228,1.31829181593,0.000548375259014
a_subj.3,1.40697480234,0.133256402325,1.15722998974,1.31655852718,1.40227121543,1.49267426619,1.6822336168,0.000593224640981
a_subj.4,1.24372744024,0.109568419868,1.04270177899,1.16745319455,1.23902973352,1.31405971818,1.47370711028,0.000496819994465
a_subj.5,1.3809785466,0.126577521793,1.14780621583,1.2937635468,1.37616060778,1.46251926444,1.64310382311,0.000618458007871
a_subj.6,1.40106470514,0.140707290143,1.14581648011,1.30108109553,1.39457976331,1.49328494294,1.69381811049,0.000866578703004
a_subj.7,1.37323698115,0.122785394124,1.14635474965,1.28880344976,1.36862098452,1.45222000438,1.62936725705,0.00058087089548
a_subj.8,1.15293571428,0.117183482133,0.946843367726,1.07084691672,1.14478183326,1.22568883103,1.40748402184,0.000659493342966
a_subj.9,1.23287338346,0.114987971596,1.02393556672,1.15194797014,1.22713775966,1.30754130724,1.47349555004,0.000503843458459
a_subj.10,1.29974901601,0.12011222042,1.07889206452,1.21663389472,1.29438756932,1.37787792786,1.54976403377,0.000519012508911
a_subj.11,1.3841633932,0.148414227834,1.09510379691,1.28556016244,1.382643511,1.48152520521,1.68221299404,0.000692475153781
a_subj.12,1.4235605778,0.117161302397,1.21071385511,1.34207907271,1.41781471164,1.49846712998,1.6709680221,0.000504892387032
a_subj.13,1.17531163288,0.110526547676,0.974647655202,1.09751055633,1.16974179195,1.24714223073,1.40538791798,0.000541171664242
a_subj.14,1.46192444769,0.131541506585,1.22142163422,1.37115627908,1.45561508523,1.54532801529,1.74048538549,0.000636409449328
a_subj.15,1.25413695621,0.118399820414,1.03392180274,1.1726182296,1.25036075258,1.33107760405,1.49764037034,0.000563790702087
a_subj.16,1.29873448894,0.120892599407,1.07620723733,1.2155832534,1.29293128362,1.37673609725,1.55099569492,0.000637632725457
a_subj.17,1.20663134645,0.109981122646,1.00787661622,1.13034505711,1.20107366393,1.27701536077,1.43952086466,0.000535610302823
a_subj.18,1.31252246392,0.122003173205,1.08665537652,1.22812560183,1.30818218056,1.3923571834,1.56239883031,0.000681105726962
a_subj.19,1.08216850111,0.105269912219,0.887916129914,1.01041340461,1.07725921041,1.14980886204,1.30175915336,0.000497466477871
a_subj.20,1.42199158395,0.129007675786,1.18992379784,1.33202282119,1.41489138779,1.50444128985,1.69360295283,0.000588058616524
a_subj.21,1.57064142662,0.132320657783,1.32743013262,1.47918338672,1.56555174077,1.65571304325,1.84627805562,0.000645351376244
a_subj.22,1.13282528643,0.111580717599,0.923359613905,1.0569134693,1.12909723417,1.20464991561,1.36293708125,0.000559741087561
a_subj.23,1.29822375636,0.11443095625,1.08980556038,1.21879801914,1.29232581358,1.37126929168,1.53906035271,0.000575870718158
a_subj.24,1.32295156819,0.121069550272,1.09194027165,1.24226056821,1.32011558012,1.40042799261,1.57039199546,0.000680422353623
a_subj.25,1.29682413808,0.116308692396,1.08366945931,1.21642339264,1.29140314674,1.37165913634,1.54135692879,0.00052143126168
a_subj.26,1.27791384621,0.115488842713,1.06571015335,1.19853330855,1.27287416319,1.35138970636,1.51875898086,0.00049722284777
a_subj.27,1.29817634125,0.113699475331,1.09381209032,1.21895827657,1.29191747,1.37031055889,1.5411543252,0.000532773333299
a_subj.28,1.19646036011,0.109474791484,0.996757406209,1.12009474946,1.19092212137,1.26691179977,1.42707453471,0.000548022540721
a_subj.29,1.3740995489,0.11559632361,1.16458982019,1.29368792542,1.36738440537,1.44746789135,1.61922664783,0.000559549237543
a_subj.30,1.28074280171,0.114542590105,1.06849910685,1.20152341486,1.27587967315,1.35525127844,1.51687718397,0.00055371604103
a_subj.31,1.35914396141,0.120738201141,1.13507010758,1.27595917372,1.35513182105,1.4372305404,1.60790183047,0.000562554602453
a_subj.32,1.14609800185,0.127917986045,0.908693695621,1.05629254406,1.14376290277,1.23239536844,1.4024896875,0.000711766127047
a_subj.33,1.3901385335,0.118702818581,1.17524933216,1.30716038005,1.38352123868,1.46589704337,1.64166145391,0.000525065000871
a_subj.34,1.26654987878,0.13543083225,1.0165191985,1.17269219575,1.26119867129,1.35351223346,1.54823783431,0.000665433169428
a_subj.35,1.33054731852,0.118823877472,1.11572945958,1.24763804685,1.32462078481,1.40535821839,1.58155859343,0.000565068492826
a_subj.36,1.15435548256,0.107723587,0.960422449625,1.07917970267,1.14911602013,1.22316720222,1.38094195658,0.000482384151881
a_subj.37,1.44045054279,0.121417022968,1.22086276599,1.35602844084,1.43446514138,1.51809304935,1.69518080967,0.000497336190623
a_subj.38,1.39306449209,0.120533326239,1.17401699674,1.3090657791,1.38667433751,1.4707964347,1.64672772352,0.000523266246294
a_subj.39,1.212422847,0.109394803684,1.01255739716,1.13645698925,1.20736196146,1.28321261951,1.44211475,0.000465444844814
a_subj.40,1.34009782885,0.13024978832,1.09414441322,1.25149737787,1.33688169871,1.42532792317,1.60271307013,0.00066419383273
a_subj.41,1.28645554987,0.132357248261,1.04246681864,1.19352480299,1.28170799977,1.37300930329,1.56102018959,0.000580878137808
a_subj.42,1.12803920376,0.10306420892,0.941248863602,1.05621519089,1.12302082529,1.19307794689,1.34657894277,0.000458975777231
a_subj.43,1.32393058035,0.125518303053,1.09645415381,1.2371602682,1.3174375876,1.40399347029,1.58759688531,0.000607063993907
a_subj.44,1.21577246083,0.109706702547,1.01324669558,1.14131101781,1.21120271956,1.28627646469,1.4449311822,0.000578424193402
a_subj.45,1.32595118919,0.116835651194,1.11220118654,1.24488637418,1.32067835411,1.40023961489,1.57171893568,0.000526316836284
a_subj.46,1.27246080077,0.114231011489,1.06442631154,1.19359559671,1.26691580173,1.34569351806,1.51232957334,0.000514894462204
a_subj.47,1.20447211586,0.113673481653,0.992171806451,1.1267082608,1.20059143654,1.27790644031,1.43923313015,0.000442279517308
a_subj.48,1.53141933869,0.135040002581,1.28009437127,1.43908828857,1.52592932476,1.61894248378,1.81230599883,0.00059968628271
a_subj.49,1.26669688969,0.110473681322,1.06551315095,1.19084372885,1.26102882909,1.33732150413,1.49967504157,0.000558661001582
a_subj.50,1.10868282308,0.115913977059,0.893947243809,1.02797470392,1.10463035608,1.1854403085,1.34595361883,0.000569743576799
a_subj.51,1.17136651045,0.110224087514,0.970720434477,1.09536571721,1.1661108769,1.24194617715,1.40200131635,0.00049308294804
a_subj.52,1.19394249345,0.110085939316,0.99231259422,1.11710959891,1.18858432882,1.26532318869,1.42358011882,0.000495387051728
a_subj.53,1.17107476837,0.109258673481,0.972202032513,1.09469217201,1.16544472289,1.24199521232,1.39872783647,0.00047723825896
a_subj.54,1.28428166025,0.124587685456,1.0529942193,1.1982375932,1.28003070959,1.36429177538,1.54423015177,0.000606244791543
a_subj.55,1.48313281773,0.129057507041,1.24922887418,1.39331677505,1.4771855496,1.56556783415,1.7544130101,0.000645809480292
a_subj.56,1.58790430124,0.123927955641,1.36057984033,1.50195033522,1.58247944175,1.66827659938,1.84770016009,0.000604051743953
a_subj.57,1.22072673211,0.113084995747,1.01254636982,1.14220817483,1.21583062867,1.2929794261,1.45811984824,0.000543114604373
a_subj.58,1.08831810321,0.104737122469,0.897441210334,1.01565332994,1.08309126565,1.15579888632,1.30792010461,0.000489840588427
a_subj.59,1.31860439962,0.121489820184,1.08750227694,1.23629310423,1.31495464812,1.39692511677,1.5689879711,0.000521623184064
a_subj.60,1.24332389445,0.122306026121,1.01628620265,1.16000498343,1.23853253976,1.32215728212,1.49628580629,0.000597709036958
a_subj.61,1.18724204312,0.11580752781,0.964998226872,1.10932922068,1.18512516204,1.26318669862,1.42285387226,0.000492758326067
a_subj.62,1.3353249462,0.113717435957,1.12818091477,1.25664461299,1.32996596249,1.40779129913,1.57336892854,0.000513922712115
a_subj.63,1.21011135158,0.113979202079,0.992057158013,1.13358322469,1.2071933652,1.28307125253,1.44267987738,0.000663674591963
a_subj.64,1.22139006221,0.10935294511,1.02354796218,1.14481673422,1.21626313019,1.29116970778,1.45040277667,0.000488647932776
