,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.55240290227,0.0191109584508,1.51550680744,1.53943406497,1.55216196152,1.56508380477,1.59061776966,0.000109224884484
a_std,0.252127922771,0.0143810983238,0.225643196987,0.242215590766,0.251508036883,0.261393055302,0.282138914598,8.5378413831e-05
a_subj.0,1.66691629181,0.0397729434723,1.59037659364,1.63978633487,1.66611853275,1.69345505275,1.7462717634,0.00018330933387
a_subj.1,1.72165126753,0.0458801135137,1.63364220339,1.69023076347,1.72083632589,1.75194259127,1.81410734622,0.000209956004958
a_subj.2,1.8146250183,0.123196462688,1.60099007092,1.72799400383,1.80528371445,1.89081636924,2.08290614737,0.000794029712755
a_subj.3,1.75659862275,0.0359581252636,1.68698511107,1.73213901776,1.75628086456,1.78038879384,1.82902131681,0.000158587890622
a_subj.4,1.42084445809,0.143776151563,1.18607262662,1.318965234,1.40600334416,1.50450799874,1.74195090508,0.00129490458951
a_subj.5,1.57568469101,0.201984613682,1.24020508405,1.42964817106,1.55530076864,1.6991082479,2.02428692525,0.00241379302994
a_subj.6,1.61468084502,0.190830063824,1.30383641018,1.47727735151,1.59295242162,1.72960068034,2.04362907193,0.00196919445252
a_subj.7,1.50095484237,0.0338650178578,1.43571041296,1.47784892755,1.50054676479,1.52348282599,1.56849115255,0.00014617945913
a_subj.8,1.37131483765,0.0429240709347,1.29049559193,1.34185048006,1.37002389035,1.39946618645,1.4583906684,0.000200968613806
a_subj.9,1.61897442112,0.0338725366786,1.55326373901,1.59603798196,1.61870997194,1.64145610576,1.68613894027,0.000155034954727
a_subj.10,1.75011331059,0.178686425829,1.45998650154,1.62183421495,1.73002997293,1.85689015233,2.15636798187,0.00188177096381
a_subj.11,1.72436456596,0.150717880494,1.47253907906,1.61643744382,1.70927227846,1.81531099051,2.06152978824,0.00124611637089
a_subj.12,1.49387825231,0.0609251740154,1.38315255605,1.45163488171,1.49108104092,1.53284523744,1.62225231916,0.000303906662631
a_subj.13,1.46578250985,0.0369746702384,1.39502169585,1.44048198304,1.46516010831,1.49025993717,1.54010579215,0.000158118200809
a_subj.14,1.86485604224,0.0683663053731,1.7381684642,1.81736739113,1.86214324573,1.90937455001,2.00599368222,0.000319849216078
a_subj.15,1.61648721897,0.0339987812464,1.55040497777,1.593416047,1.61619820668,1.63913879197,1.68389299091,0.000144592889084
a_subj.16,1.31823790577,0.0315035611029,1.25811062115,1.29666729765,1.31756011492,1.33933996319,1.38186187725,0.000145095135701
a_subj.17,1.93837814332,0.0883993362346,1.78901188721,1.87617708253,1.93030196818,1.99092588354,2.13599297896,0.000511993395099
a_subj.18,1.31312033311,0.0299928368426,1.25603678282,1.29256658998,1.31244994124,1.33311594227,1.37345091958,0.000133501382855
a_subj.19,1.54388166352,0.062251824323,1.4307395543,1.5006188368,1.54074160702,1.58403353594,1.67418270307,0.000330063727478
a_subj.20,1.34086788626,0.0315438133377,1.28089898347,1.31918526522,1.34006951929,1.36194461335,1.40450248851,0.000143415538947
a_subj.21,1.56461426807,0.201545846279,1.23983300847,1.41773676109,1.54224306138,1.687064922,2.01823958639,0.00219502317524
a_subj.22,1.42404045921,0.0507286129332,1.32906470133,1.38932274722,1.42251757199,1.45723959171,1.52776279251,0.000235128710216
a_subj.23,1.57126284548,0.0351874566031,1.50353423729,1.54720439574,1.5710741227,1.59483149426,1.64144459086,0.000168048138059
a_subj.24,1.58310196026,0.0644144506411,1.46433190952,1.5385454776,1.58075994109,1.62493707588,1.71627355416,0.000303312600606
a_subj.25,1.37924216727,0.0766916991083,1.24602174901,1.32506984548,1.37334438975,1.42661238184,1.54710991291,0.000430880858209
a_subj.26,1.29575007439,0.125011667917,1.08380221512,1.20656496035,1.28524850106,1.37230469032,1.57116454781,0.00111182834907
a_subj.27,2.04067391637,0.0540768454207,1.93844686827,2.00361286677,2.03940150722,2.07679030953,2.14938678049,0.000253565385701
a_subj.28,1.57495197811,0.0555059792903,1.47057432677,1.53681948693,1.57300835222,1.61143480941,1.6890776303,0.000238046237512
a_subj.29,2.0148180695,0.0567484315386,1.90797363659,1.97555621345,2.01347235989,2.05243917662,2.13032395385,0.000279540897292
a_subj.30,1.60285672546,0.0751070433774,1.46876253632,1.55054145743,1.59809368732,1.65039353375,1.76400317887,0.000367825202841
a_subj.31,1.91744883418,0.0464058401996,1.82797965715,1.88594069821,1.91714645714,1.9486517128,2.00986768288,0.000198928606356
a_subj.32,1.63813639057,0.034943964764,1.56999050531,1.61445857838,1.63807098658,1.66162782196,1.7078337394,0.000185214090197
a_subj.33,1.1132326446,0.0268675375098,1.06167529626,1.09493147785,1.11273346113,1.13099715892,1.16744550727,0.00012461965007
a_subj.34,1.42953972589,0.0316511089937,1.36867507177,1.40813901644,1.42908854161,1.45097251506,1.49203160417,0.000140744560513
a_subj.35,2.04678701054,0.165595047944,1.77111574508,1.92914885096,2.02982113351,2.14596168348,2.41801529172,0.00112742060779
a_subj.36,1.21624420168,0.0319278494725,1.15576371769,1.19441388162,1.21574126832,1.23735391003,1.28054958077,0.000154323992049
a_subj.37,1.56450043837,0.0915002978688,1.40405939735,1.5004302552,1.55800135531,1.62147949408,1.76258745516,0.000506685212255
a_subj.38,1.2374291063,0.0260919773518,1.18742586775,1.21958681779,1.23705300447,1.25498755208,1.28995749961,0.000117383368408
a_subj.39,1.25977243896,0.0338298074282,1.19578233194,1.23658402126,1.25906837053,1.28193332923,1.32930247418,0.000160910272924
a_subj.40,1.36587316392,0.0289320732616,1.31072463308,1.34617492159,1.36535308792,1.38529401403,1.42361952119,0.000131966987164
a_subj.41,1.39980368815,0.0448119527846,1.31692123499,1.36878362299,1.39811870045,1.42885964041,1.4928584203,0.000207462617289
a_subj.42,1.86693177178,0.0473498861191,1.77661044691,1.83457715778,1.86585294722,1.89799161489,1.96302054158,0.000223445114284
a_subj.43,1.18452722054,0.0377536366055,1.11371597512,1.15860493649,1.18334700663,1.20931707347,1.26175363764,0.000149395155021
a_subj.44,1.45190718701,0.031927160965,1.39028700435,1.43016523531,1.45162589914,1.47344531617,1.51518829508,0.000134001872743
a_subj.45,1.37356720687,0.103201262076,1.18965354703,1.30145722404,1.36755679894,1.43917203636,1.59343487222,0.000789796989569
a_subj.46,1.45015624163,0.0474763707275,1.3620949529,1.41737933486,1.44860549572,1.48108261098,1.54797218936,0.000207502943024
a_subj.47,1.61095020381,0.0652396727537,1.49011146861,1.56589690436,1.60842388219,1.65324886545,1.74572166166,0.000264779105853
a_subj.48,1.52537893849,0.212612628959,1.18265001589,1.3696666876,1.50145068971,1.6557057433,2.00546250818,0.00260645505939
a_subj.49,1.87472003125,0.158386191704,1.61164394892,1.76050805838,1.86006015938,1.97207972383,2.22278085026,0.00137805875277
a_subj.50,1.43343167821,0.0314457747419,1.37341263242,1.41214434294,1.43292155275,1.45426290807,1.49654537804,0.000140437919614
a_subj.51,1.86766840149,0.0442968961415,1.78336030186,1.83726118677,1.86680154666,1.89691432781,1.95642323717,0.000170991663924
a_subj.52,2.01400541783,0.081873758944,1.86651684253,1.95692730468,2.00962804193,2.06595763331,2.18597176062,0.000413661768965
a_subj.53,1.8579944158,0.0552074093349,1.75286983679,1.82024508322,1.85635358539,1.89452959838,1.97006650754,0.000236948734185
a_subj.54,1.32844634016,0.043048623664,1.24772109212,1.29877574035,1.32718435936,1.356663541,1.41606057933,0.000193948835444
a_subj.55,1.85011725258,0.0642305462281,1.73109432959,1.8054152199,1.84773488399,1.89209102271,1.98267036209,0.000279786887318
a_subj.56,1.59416430818,0.062656150346,1.48264231364,1.55046068258,1.5899703808,1.63345221675,1.72987722853,0.000290550866949
a_subj.57,1.28010094428,0.0681098302792,1.15968237404,1.23208918323,1.27563866835,1.32324547534,1.426006295,0.000416595939394
a_subj.58,1.54897956304,0.0326003306637,1.48605926032,1.52680661171,1.54850515054,1.5708979356,1.6141256972,0.000156910698315
a_subj.59,1.34647244643,0.0321349881913,1.28490287719,1.32457391326,1.34583662583,1.36797786933,1.41091220702,0.000136668246179
a_subj.60,1.51673727731,0.0773922301808,1.38166894051,1.46318326508,1.51064012203,1.56354995898,1.68629611081,0.000486472172442
a_subj.61,1.45362541472,0.232151002274,1.04735169873,1.28626465599,1.43856528121,1.60042977875,1.95340870461,0.00328770801305
a_subj.62,1.78427026018,0.13541283315,1.56684673741,1.68778558127,1.76782526295,1.86233845733,2.09394731881,0.000953369464164
a_subj.63,1.20372218648,0.0257796076312,1.15426905099,1.1862995795,1.20343356729,1.22082357498,1.25531018543,0.000110559919141
a_subj.64,2.03511651985,0.0427015512483,1.95261295355,2.00634095549,2.03466617982,2.06348150062,2.12009928868,0.000196338922746
a_subj.65,1.33871453362,0.0286177421266,1.28369826438,1.31935663967,1.33833248487,1.35774533679,1.39566562072,0.000121328098556
a_subj.66,1.29150711651,0.0429679662869,1.21038364633,1.2617648885,1.29032064015,1.32029159648,1.37838595083,0.000233456375303
