,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.852822129642,0.00421268222167,0.844622229534,0.849981993738,0.852792358562,0.85562367418,0.861163693059,2.01928094168e-05
a_std,0.0545028329169,0.00325322914314,0.0484707388601,0.0522546223599,0.0543952405643,0.0566018970237,0.0612816235274,1.58252101076e-05
a_subj.0,0.866960671257,0.0175970925269,0.833272882581,0.854902727532,0.866709187515,0.878704401239,0.90183385519,7.45205510481e-05
a_subj.1,0.895708675184,0.0195260613315,0.858116453761,0.882375410489,0.895427513876,0.908694851985,0.934525050012,9.64200101202e-05
a_subj.2,0.957102291633,0.0248933963822,0.909789069005,0.940007973469,0.956583050611,0.97353558774,1.00761260219,0.000110590730005
a_subj.3,0.879906657313,0.0173412089313,0.846327129311,0.868103451026,0.879795831196,0.891409148112,0.914388828254,8.37908887568e-05
a_subj.4,0.874054083608,0.0288926400268,0.819820938214,0.854081786521,0.873256624874,0.893219337362,0.932861163335,0.000140541859134
a_subj.5,0.859471819474,0.0298372379793,0.803412131878,0.838867189529,0.858613284844,0.878976965873,0.920695784192,0.000127057889084
a_subj.6,0.853075343623,0.0255904881918,0.804386829537,0.835646131577,0.852510165089,0.869941888822,0.904764508992,0.000114721175344
a_subj.7,0.813642948648,0.0164545840589,0.782035763905,0.802402229128,0.813521693923,0.824540436062,0.84661176322,7.34073980187e-05
a_subj.8,0.8322933139,0.0172818971088,0.799175230131,0.820606250239,0.832151425896,0.843745923175,0.86673940554,7.85891665771e-05
a_subj.9,0.845386956974,0.0169241824133,0.812797170437,0.833798654289,0.845225610913,0.856644908224,0.878995129703,7.4700386459e-05
a_subj.10,0.961918206655,0.0338829936131,0.898048891509,0.93866526471,0.960937549434,0.984175139641,1.03106704715,0.000148033401715
a_subj.11,0.909422579123,0.0252618169438,0.861407405477,0.892119270225,0.90908393943,0.926130592327,0.960474182382,0.000108498515905
a_subj.12,0.868855444787,0.0205628001057,0.829469705548,0.85486824002,0.868574613032,0.882583533407,0.910100892877,9.01858809202e-05
a_subj.13,0.795665028087,0.0159687830349,0.765025510258,0.784826404246,0.795377718938,0.806303845266,0.827782291444,7.76729279283e-05
a_subj.14,0.93186284395,0.0201134930803,0.893296725879,0.918084407502,0.93162603475,0.945248386019,0.972283577648,0.000100062592051
a_subj.15,0.859000062492,0.0176110968796,0.825104585083,0.84699388159,0.858880218489,0.870624898162,0.894210190526,7.57667578377e-05
a_subj.16,0.777419168094,0.016595117981,0.745453755092,0.766123115371,0.777221257778,0.788464235656,0.810654729353,8.13422733211e-05
a_subj.17,0.943914490834,0.020957723858,0.903535383989,0.929649031484,0.943638600965,0.957810123433,0.986140405873,9.02558636924e-05
a_subj.18,0.794643779887,0.0161177683472,0.763456580204,0.783661673693,0.794473397288,0.805478713222,0.826715667109,6.19889478887e-05
a_subj.19,0.821328307794,0.019478437685,0.784205657774,0.808118306206,0.820993073865,0.834236334379,0.86032715024,8.83933929577e-05
a_subj.20,0.802448781104,0.0167266114802,0.770017271219,0.791101340071,0.802322476448,0.81371090959,0.83566933259,7.36299827876e-05
a_subj.21,0.91102007455,0.035831435303,0.844962582518,0.886104136398,0.909621712652,0.934257525281,0.985249163283,0.000183271445507
a_subj.22,0.835160434813,0.0181415229948,0.800588951402,0.822817594216,0.834951943024,0.847268961269,0.87161536376,8.59514813474e-05
a_subj.23,0.856414545299,0.016952553004,0.823627017596,0.844930781708,0.85621955192,0.867775447335,0.890091386631,7.55818713439e-05
a_subj.24,0.875256130461,0.0201444776747,0.836653453901,0.861523425718,0.874822251071,0.888601659568,0.915967196352,9.5937105544e-05
a_subj.25,0.835436378455,0.0198082591616,0.797768287329,0.821960806488,0.835105720947,0.848579768608,0.875253820616,9.0990562221e-05
a_subj.26,0.816122161931,0.0287091543776,0.761537888316,0.796507203704,0.815466070879,0.834883942454,0.874905911134,0.000119167101602
a_subj.27,0.931521261642,0.0191578886763,0.894759929305,0.918446152988,0.93127193147,0.944272763878,0.969766548459,8.09485854175e-05
