stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4778299927711487,0.47783002257347107,0.2818685472011566,5.095615744201494e-16,0.07944987714290619,True,54.5,8.008510121726431e-08
mean_ub,0.20961949229240417,0.2243536412715912,0.03957623988389969,0.00021709514840040356,0.0017833736492320895,True,36.5,0.37229785323143005
std_ub,0.11869458854198456,0.11582627892494202,0.027669763192534447,8.227186299336608e-06,0.0007738429121673107,True,59.5,0.1036621555685997
10q_ub,0.09880000352859497,0.11104464530944824,0.01782027631998062,0.00014993133663665503,0.0004674936644732952,True,20.0,0.6871187090873718
30q_ub,0.13840000331401825,0.15378844738006592,0.02600172907114029,0.0002368043060414493,0.0009128943202085793,True,26.512500762939453,0.5918239951133728
50q_ub,0.17800000309944153,0.19595201313495636,0.03587547689676285,0.0003222747764084488,0.0016093241283670068,True,29.762500762939453,0.5003979206085205
70q_ub,0.23520000278949738,0.2543356120586395,0.048679593950510025,0.0003661716473288834,0.0027358741499483585,True,34.76250076293945,0.393093079328537
90q_ub,0.35839998722076416,0.37227705121040344,0.07606609910726547,0.0001925725518958643,0.00597862433642149,True,45.5,0.1824341118335724
mean_lb,-0.20791223645210266,-0.21957840025424957,0.03368671238422394,0.0001360993046546355,0.0012708940776064992,True,64.5,0.3463134169578552
std_lb,0.11638535559177399,0.11437921226024628,0.024694979190826416,4.0246059143100865e-06,0.0006138666067272425,True,57.5,0.0812368392944336
10q_lb,0.09989999979734421,0.10874015092849731,0.015612716786563396,7.814826676622033e-05,0.00032190518686547875,True,27.262500762939453,0.5662147998809814
30q_lb,0.13729999959468842,0.14964529871940613,0.022190937772393227,0.0001524063991382718,0.0006448441999964416,True,28.762500762939453,0.5563216209411621
50q_lb,0.17800000309944153,0.19157949090003967,0.029955940321087837,0.0001844025682657957,0.0010817610891535878,True,32.76250076293945,0.45331546664237976
70q_lb,0.2329999953508377,0.2493707537651062,0.04199839383363724,0.00026800157502293587,0.002031866693869233,True,35.76250076293945,0.3897947669029236
90q_lb,0.3528999984264374,0.36405128240585327,0.06533947587013245,0.00012435109238140285,0.004393597599118948,True,45.0,0.17066684365272522
