,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.786157025607,0.00360764184453,0.779042304725,0.783737023473,0.78612507263,0.788567606687,0.793321054932,1.73016211089e-05
a_std,0.0471871193582,0.00288134642611,0.0418522047372,0.0451977422681,0.047067389647,0.0490769392064,0.0531350015484,1.42076169611e-05
a_subj.0,0.787160444534,0.0179147322733,0.753218786642,0.774926420154,0.786829752972,0.799054123902,0.82336502635,8.85071496729e-05
a_subj.1,0.828047615976,0.0174416535693,0.794432232493,0.816253104018,0.827880729021,0.839743552557,0.862947677812,8.44435347002e-05
a_subj.2,0.753620996591,0.016571437262,0.721422939922,0.742250682797,0.753593502219,0.764901820491,0.786125823936,9.11715064167e-05
a_subj.3,0.813238358542,0.0159347462401,0.782615424316,0.802379137409,0.813018763862,0.823859726589,0.844950277421,7.21080951041e-05
a_subj.4,0.759778003307,0.0164258151931,0.728267048407,0.748537365451,0.759538167782,0.770760684079,0.792739322298,6.85190293082e-05
a_subj.5,0.763040276653,0.015866507894,0.73263817687,0.752258875093,0.762827990569,0.773605046942,0.794755150242,7.48260285588e-05
a_subj.6,0.747244690812,0.0158291630641,0.716517638856,0.736517102845,0.747209645277,0.757936592262,0.778607191076,7.0246910376e-05
a_subj.7,0.821874579199,0.0197361320933,0.784197338736,0.808360958705,0.821556894948,0.834993375142,0.861501808333,8.65634429066e-05
a_subj.8,0.745935043063,0.015402327928,0.716262328914,0.735407697851,0.745636853369,0.756215306339,0.776898176488,8.42660211749e-05
a_subj.9,0.764543031734,0.018741118743,0.728468057137,0.751825784823,0.764270842255,0.777004814719,0.801814910519,9.0324142788e-05
a_subj.10,0.794087374666,0.0160883909202,0.76292475575,0.783206250554,0.79397049872,0.804814453087,0.825916391739,7.04240634775e-05
a_subj.11,0.71340839891,0.0148790044741,0.685208011102,0.703284367538,0.713055647453,0.723327456771,0.743272838771,6.53253484376e-05
a_subj.12,0.757437299638,0.0168211344339,0.725409394572,0.745977907384,0.757312671155,0.768590831176,0.790749877436,7.42953512127e-05
a_subj.13,0.869462728776,0.0202727996663,0.830996272744,0.855545454769,0.869048067715,0.882866938119,0.910164190497,9.46087638543e-05
