,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.639850131683,0.00198147156183,0.635997867829,0.638511688962,0.639849415423,0.641169897503,0.643760426582,9.72860049709e-06
a_std,0.0234316085032,0.00172948246798,0.0202131463875,0.0222414741881,0.023366023851,0.0245512036943,0.0270190404905,9.01944488827e-06
a_subj.0,0.658169480292,0.0118310821283,0.635326340964,0.650104918757,0.65802851402,0.666067799453,0.681657776854,5.73099550147e-05
a_subj.1,0.659144389032,0.0139736257447,0.631338927374,0.649858923921,0.65921293452,0.668644600508,0.686188656553,5.93675480144e-05
a_subj.2,0.650499822946,0.012104206054,0.627064798337,0.642267628469,0.650410816016,0.658560252768,0.67452898636,5.42203185717e-05
a_subj.3,0.638735504807,0.0125913414092,0.614362128806,0.630209151166,0.638585799737,0.647140303247,0.663632600368,5.37555021047e-05
a_subj.4,0.643264171727,0.014966505778,0.61503723181,0.632918726664,0.642817013865,0.653207964578,0.673616177434,6.8474198967e-05
a_subj.5,0.655496861363,0.0133025583016,0.630127753703,0.646367450284,0.655350755655,0.664372400412,0.682111914711,5.97218671978e-05
a_subj.6,0.662415131959,0.0134250424783,0.636438237294,0.653383003984,0.662328926974,0.671327363827,0.6891796265,6.59397205337e-05
a_subj.7,0.635933388576,0.0126330862934,0.61148875835,0.62730997727,0.635712835376,0.644455464491,0.661059078487,5.87071356119e-05
a_subj.8,0.629264573052,0.0117012668507,0.606498744193,0.621289331959,0.629228621854,0.637075246233,0.652438354497,5.75704147498e-05
a_subj.9,0.626670516518,0.0114651539739,0.60444223214,0.618914299997,0.626573485302,0.634301105035,0.649381139143,4.92822508271e-05
a_subj.10,0.677813493258,0.0144899902701,0.649984811515,0.66797470266,0.677595099247,0.687259469256,0.707060748619,6.50390126901e-05
a_subj.11,0.65214426843,0.0129022515476,0.627405237412,0.643330613055,0.651990455442,0.660742928867,0.677979490156,5.91694436654e-05
a_subj.12,0.64475301831,0.0140783606039,0.61694770174,0.63528454942,0.64488460564,0.654237867793,0.672240268962,6.8683658512e-05
a_subj.13,0.618324434339,0.011347501502,0.596409087831,0.610613917691,0.618193965288,0.625864943541,0.641028974161,4.91467912119e-05
a_subj.14,0.643882215357,0.0126243444894,0.619512117014,0.635292457234,0.643697511387,0.652312042235,0.669236307776,6.02273386809e-05
a_subj.15,0.642488669781,0.0115268965455,0.620089978096,0.634691600972,0.642354858596,0.650225185647,0.665328647076,5.82468218501e-05
a_subj.16,0.631184391254,0.0119505826227,0.607903172251,0.623094332424,0.631125958631,0.639168266894,0.654782269802,5.64872912193e-05
a_subj.17,0.662219340812,0.0123126713358,0.638645386884,0.653767260241,0.662134312735,0.670402496746,0.68678134702,5.39098577126e-05
a_subj.18,0.620088636861,0.0112553939116,0.598259876576,0.612475511426,0.620034359666,0.62754137289,0.642488381389,4.72968965688e-05
a_subj.19,0.64307631837,0.0119441214742,0.619956048218,0.635066968901,0.642920841421,0.651054428364,0.666756321733,5.48531782862e-05
a_subj.20,0.625409981527,0.0115572219716,0.603000656403,0.617600452122,0.625285322806,0.633156421687,0.648390691504,5.49591706921e-05
a_subj.21,0.664388690459,0.0137668597178,0.637780752914,0.655026271975,0.664150363258,0.673469628519,0.691997701912,5.74560337141e-05
a_subj.22,0.63207732375,0.0119470253392,0.609125114973,0.624005888741,0.631924976749,0.640092309968,0.655908472744,5.02761801867e-05
a_subj.23,0.637977948683,0.0121371690806,0.614478970059,0.62968842893,0.637897466188,0.646086160073,0.661947982167,5.54869400514e-05
a_subj.24,0.650040906838,0.0123599873025,0.626309298634,0.64168224347,0.64985748772,0.658340743078,0.674818608659,5.45759383112e-05
a_subj.25,0.636756807182,0.0122263227286,0.613072851342,0.628461250081,0.636568368804,0.644964583469,0.661257802089,5.4847340936e-05
a_subj.26,0.643287792131,0.0154458204248,0.613477334642,0.632674939639,0.64314867432,0.653620257765,0.673983967846,6.6947256596e-05
a_subj.27,0.651394913473,0.0120369053529,0.628323649834,0.643209565975,0.651183676972,0.659400573052,0.675514769408,5.67443187031e-05
a_subj.28,0.660113422868,0.0134527413178,0.634272418589,0.65088952755,0.659898608656,0.669045544859,0.687258084295,6.50597443854e-05
a_subj.29,0.652149359928,0.0117508622868,0.629589846583,0.644103243727,0.652001009188,0.660097232305,0.675357634956,5.33094517982e-05
a_subj.30,0.659850525696,0.0126237755683,0.635654789985,0.651225437304,0.659614684961,0.668165828991,0.685243015805,5.196832672e-05
a_subj.31,0.661033622478,0.0117791410471,0.638480538577,0.653038662833,0.66079611313,0.668883955653,0.68470424431,5.28265450188e-05
a_subj.32,0.624084914685,0.0120877674511,0.60118939699,0.615861266434,0.623834676829,0.63201978137,0.64886203727,6.09772628343e-05
a_subj.33,0.613253231998,0.012020547172,0.589835248567,0.60507204685,0.613248398894,0.62133286064,0.637007591473,5.09387085669e-05
a_subj.34,0.631554830539,0.0113331926873,0.609818111407,0.62390945908,0.631383382074,0.639064007376,0.654431659638,5.3944608286e-05
a_subj.35,0.681921955531,0.0145695145215,0.653122314726,0.672157306506,0.681902400124,0.691730030609,0.710595673835,6.85323453728e-05
a_subj.36,0.625312666051,0.0117447550653,0.602727516645,0.617328639606,0.625108057723,0.633140663056,0.648829740863,4.42377929254e-05
a_subj.37,0.648995002164,0.0125634045875,0.624832148098,0.640411421042,0.648791986178,0.657317612219,0.674393890159,5.92757643399e-05
a_subj.38,0.618370615021,0.0123714491129,0.59501114822,0.609926767667,0.61807234516,0.626426899986,0.643662704858,5.04202549717e-05
a_subj.39,0.619900482186,0.0120617456289,0.595674720678,0.611947526023,0.619945785411,0.628068736028,0.643479310762,5.72097416615e-05
a_subj.40,0.622563620925,0.0113639369656,0.600718658466,0.614815191722,0.622470922772,0.630165428929,0.645123555529,5.28203472633e-05
a_subj.41,0.649492387,0.0120749436812,0.626062606099,0.641312918441,0.649421276301,0.657506660444,0.673539176863,5.60031241057e-05
a_subj.42,0.63913735752,0.0136471715907,0.613756725398,0.629644640627,0.638711025247,0.648291691421,0.666828812769,6.29062285297e-05
a_subj.43,0.609052220006,0.012619241617,0.585164545585,0.600378841142,0.608700784168,0.617411538957,0.634495196838,6.13080690605e-05
a_subj.44,0.623703949741,0.0115996064376,0.601520892538,0.615792468664,0.623558196535,0.631397781269,0.646788960522,5.47563999835e-05
a_subj.45,0.620910445397,0.012289373032,0.59719340746,0.612533443101,0.620806079513,0.629124764542,0.645376850796,5.81397125575e-05
a_subj.46,0.629889756681,0.0114995266496,0.607739341472,0.622061542712,0.629753443009,0.637531929177,0.652885308167,4.91045151175e-05
a_subj.47,0.658730672901,0.0123756899308,0.634789966568,0.650364236425,0.658599711138,0.666970014603,0.683317445178,5.51902854143e-05
a_subj.48,0.674592162206,0.014944983898,0.646214754841,0.664341067182,0.674316864436,0.684414610945,0.704761445851,7.49743679485e-05
a_subj.49,0.664383761808,0.0125903946561,0.640330916582,0.655822492069,0.664200766561,0.672665912579,0.689941603956,5.56214594056e-05
a_subj.50,0.641742150301,0.0118436385069,0.618845482943,0.633679536914,0.641632303851,0.649698804642,0.665254617016,5.31526809887e-05
