,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.639854612228,0.00198767350231,0.635962049213,0.638511416656,0.639842797666,0.64117510541,0.643750311815,1.05050418525e-05
a_std,0.0234255235056,0.00171838941651,0.0202279399369,0.0222483322733,0.023368262512,0.0245398699081,0.0269598911446,8.72604603508e-06
a_subj.0,0.657978824279,0.0118927906894,0.635029328707,0.649971706798,0.657903616323,0.665926767139,0.681549073117,5.68782330642e-05
a_subj.1,0.659042026557,0.0139148911091,0.631452433117,0.649659851841,0.659218501554,0.668512617046,0.685847329372,5.98263858536e-05
a_subj.2,0.650560732425,0.0122406756487,0.626855001032,0.642268748361,0.650439610092,0.658719860371,0.674943286655,5.52222748145e-05
a_subj.3,0.638638829858,0.0125837800156,0.614089774247,0.630049185637,0.638576709404,0.647172263048,0.663444463702,5.74894111246e-05
a_subj.4,0.643138055502,0.014852627654,0.615171784949,0.632829213315,0.642738853022,0.653084368073,0.673093116494,7.63839763064e-05
a_subj.5,0.655298347686,0.0133184473294,0.629516640408,0.646193383496,0.65519643992,0.664264958887,0.681839432509,5.7960972718e-05
a_subj.6,0.662295409292,0.0134840986497,0.636272431601,0.653164198362,0.662215743037,0.671182045661,0.689332073502,6.9336035234e-05
a_subj.7,0.635824011239,0.012717008615,0.611373357769,0.627208281422,0.63567484805,0.64438122484,0.661123317785,6.22316583565e-05
a_subj.8,0.629096691226,0.0117175605654,0.606431120716,0.621121072001,0.628925560778,0.637007114432,0.65239835921,5.00762812191e-05
a_subj.9,0.626608179779,0.0114169850557,0.604624167739,0.618841861378,0.626439487763,0.634232027255,0.649594598412,4.97054141697e-05
a_subj.10,0.677850381397,0.0145369231488,0.650182341494,0.667961946799,0.677605319366,0.687473271822,0.707008573322,6.34209926294e-05
a_subj.11,0.652142637347,0.012874217142,0.627485172107,0.64332895054,0.651940530907,0.660685696946,0.677836377218,5.72300930727e-05
a_subj.12,0.644772293294,0.0140526783529,0.617147618771,0.635349455189,0.644887975649,0.654266493389,0.672097425009,5.98274388041e-05
a_subj.13,0.618391322043,0.0113820023744,0.596311842209,0.610699409839,0.618299088426,0.625950588846,0.641102786179,5.23580290699e-05
a_subj.14,0.644038832896,0.0126281241893,0.61979448444,0.635452642188,0.64387372974,0.652454191927,0.669404485058,5.75320873983e-05
a_subj.15,0.642568060997,0.0115420323552,0.620276537769,0.634679248566,0.642447198867,0.650278215182,0.66555611115,5.3543819705e-05
a_subj.16,0.631342059584,0.0118860358991,0.608113924787,0.62333846319,0.63134160453,0.639356493844,0.65463522546,5.17561579863e-05
a_subj.17,0.662222308705,0.0123543100679,0.638360066917,0.653839250912,0.66207362388,0.670471237866,0.686786697722,5.88801216245e-05
a_subj.18,0.620067656981,0.0111949952001,0.598393131013,0.612456744345,0.619969625911,0.627593598683,0.642393105387,5.37476104017e-05
a_subj.19,0.643227129746,0.0118787565271,0.620213778309,0.635112956269,0.643106787603,0.651156896684,0.667013813654,5.44313443021e-05
a_subj.20,0.62540288306,0.0115889916113,0.602845105873,0.617563490613,0.625281356096,0.633107779004,0.648603242362,5.01847608191e-05
a_subj.21,0.664331338942,0.0137549170983,0.637950325039,0.654974241543,0.6641565127,0.673485698671,0.691830951636,6.394577173e-05
a_subj.22,0.632047273476,0.0119031324172,0.609141122776,0.623892335826,0.631893499352,0.639991343712,0.655764621325,5.20466867416e-05
a_subj.23,0.637990679163,0.0121546906387,0.614514922398,0.629675179367,0.637895530621,0.646106141005,0.662246051875,4.95286453174e-05
a_subj.24,0.649976126699,0.0123492209754,0.626060339197,0.641568289214,0.649869359853,0.658293146317,0.674306572329,6.63048343117e-05
a_subj.25,0.636752172605,0.012157076439,0.613322003852,0.628523845634,0.636564081359,0.644830589108,0.660974541323,5.85381549767e-05
a_subj.26,0.64342493719,0.0154745316853,0.613618662405,0.632811133747,0.643387972395,0.653864627905,0.674174201605,6.69471699481e-05
a_subj.27,0.651430536348,0.0120947091657,0.628260866144,0.643187969921,0.651228688022,0.659390375246,0.675925742754,5.98272194673e-05
a_subj.28,0.660145818318,0.0134784547,0.634489235168,0.650911868234,0.659917872439,0.669160252164,0.687219881193,6.30797404242e-05
a_subj.29,0.652101372231,0.0117007747827,0.629449799254,0.644191484102,0.651994644338,0.65983515987,0.675416099344,5.07316525201e-05
a_subj.30,0.659775591477,0.0126071301784,0.635274309302,0.65126095642,0.659665641437,0.668190779317,0.684999285515,5.94010268915e-05
a_subj.31,0.661037575726,0.0117685434491,0.638398247818,0.653018719075,0.660957012336,0.668884517018,0.68457602788,5.33599667923e-05
a_subj.32,0.624097274809,0.0120810352723,0.601282562707,0.615810443535,0.623793022516,0.632052660355,0.64873060857,5.45253741875e-05
a_subj.33,0.613260906098,0.0120120236915,0.589877583174,0.60512046398,0.613222009875,0.621399707281,0.636918973606,5.78528915835e-05
a_subj.34,0.631542343267,0.0113128340911,0.609649087755,0.623845152509,0.631376297066,0.639083403889,0.654164915796,5.41386967409e-05
a_subj.35,0.681900943737,0.0146018410719,0.653232657453,0.672140227029,0.681924834822,0.691670268258,0.710572934668,6.71527077509e-05
a_subj.36,0.625363724059,0.0117561982453,0.602684316406,0.61735199485,0.62517114427,0.633261242954,0.6487854277,5.96908505359e-05
a_subj.37,0.649037285565,0.0126538099127,0.624793134624,0.640439572765,0.648848768003,0.657465682242,0.6743316254,5.74438567402e-05
a_subj.38,0.618246218585,0.0123451151474,0.594917932194,0.609848939372,0.617849285865,0.626440126555,0.643459961317,5.64751509247e-05
a_subj.39,0.619954434449,0.0120604150831,0.596149991453,0.611924183655,0.620105043889,0.62803726945,0.643694892048,5.42131876344e-05
a_subj.40,0.622487055809,0.0113136734391,0.600793479245,0.61479247306,0.622348430669,0.630040441202,0.644859494056,5.49177521274e-05
a_subj.41,0.649583706062,0.0121869346021,0.626233863033,0.641270346863,0.649478446232,0.657731956673,0.673891539408,5.13377382366e-05
a_subj.42,0.639195226851,0.013665697304,0.613618149738,0.629677381728,0.6387469207,0.648359843033,0.666603596731,6.79139265566e-05
a_subj.43,0.609063199682,0.0125786549787,0.585351898198,0.600409183526,0.60873766437,0.617398316956,0.634585524508,5.13449337776e-05
a_subj.44,0.623596968104,0.0115189599539,0.601446936834,0.6157769475,0.623433517695,0.631295445407,0.646424137894,5.1120127136e-05
a_subj.45,0.62098076644,0.0123136551929,0.597255928287,0.612634434149,0.620777138063,0.629168354034,0.64554364573,5.82419527861e-05
a_subj.46,0.62996235653,0.0114794787084,0.607827544705,0.622100928218,0.629813816101,0.637550255832,0.653053309639,5.32402476393e-05
a_subj.47,0.658861938871,0.0124606202578,0.634761821866,0.650469913639,0.658769067389,0.667094890386,0.683570385749,6.07457206879e-05
a_subj.48,0.674517067789,0.0149744260381,0.646153561368,0.664251598742,0.674234049146,0.684534019997,0.704482025967,6.70570413835e-05
a_subj.49,0.66423433095,0.0125172618608,0.640189945676,0.655655372552,0.664047693803,0.672594082445,0.689249826215,5.31980764677e-05
a_subj.50,0.641639054045,0.0119727194063,0.618593745658,0.633491415092,0.641430042939,0.649710145178,0.665401939495,5.64106616213e-05
a_subj.51,0.64365063371,0.0128325295023,0.618520403068,0.634826106593,0.643606075395,0.652356381173,0.668802464782,6.32728847666e-05
a_subj.52,0.648426069968,0.0124023757289,0.624718254964,0.639966033548,0.648224938733,0.656629115789,0.673369945762,5.57883329855e-05
a_subj.53,0.655014925177,0.0131711973845,0.629657331485,0.645978895676,0.654852306633,0.66384652342,0.681278702324,6.23581334654e-05
a_subj.54,0.624527481356,0.0114681891006,0.60233588197,0.616764467986,0.624408068362,0.632187060839,0.647373577436,5.27010040731e-05
a_subj.55,0.654891328984,0.0121480879017,0.631521180265,0.646589966251,0.654770604935,0.663022350062,0.679302790316,5.52740174681e-05
a_subj.56,0.643572278601,0.0118192704503,0.620708854713,0.635550058004,0.643414413808,0.651521587313,0.66707444429,5.18445333575e-05
a_subj.57,0.627557312514,0.0121023824768,0.604152090746,0.619332195593,0.627434978427,0.635625341687,0.651657872887,5.42904683101e-05
a_subj.58,0.64333733762,0.0119534566999,0.61990915196,0.635312373,0.643418346212,0.651343017855,0.666835133206,5.28955983384e-05
a_subj.59,0.60840713191,0.0126974577777,0.584413398412,0.59962912954,0.608051565289,0.616812822986,0.63426295018,5.6629988624e-05
a_subj.60,0.649481110877,0.0124920501238,0.625469603649,0.641056788353,0.649290826761,0.657800083762,0.674452039303,5.83047524459e-05
a_subj.61,0.679130483772,0.0187318337883,0.643799696505,0.666200529104,0.678689099972,0.691505530027,0.717273691314,9.81448200187e-05
a_subj.62,0.660189405338,0.0126435618929,0.63583094092,0.651601948184,0.660081985783,0.668654184256,0.685379241723,5.4848122356e-05
a_subj.63,0.59611112009,0.0115638432634,0.573979846949,0.588222502522,0.595902781417,0.60375515925,0.619398060641,5.14703455463e-05
a_subj.64,0.64231674969,0.0119588986613,0.619064462328,0.634233584355,0.642248085943,0.650313845304,0.665748593176,5.19060400463e-05
a_subj.65,0.603329340668,0.0114464505558,0.581437368976,0.595468632345,0.603140196595,0.610945540725,0.626244483552,4.58580186593e-05
a_subj.66,0.609431884673,0.0115428780087,0.587109119836,0.601564600734,0.609323757346,0.617119453764,0.632202153617,5.54424012395e-05
a_subj.67,0.648427035567,0.0118259715342,0.625830245095,0.640318458067,0.648264557708,0.656334374962,0.672023535512,4.63834287512e-05
a_subj.68,0.632278443685,0.0126147005268,0.607353489267,0.623754036602,0.632380065761,0.640952234241,0.656483794089,6.00454416006e-05
a_subj.69,0.643684180693,0.0126102590744,0.619554285711,0.6349945046,0.643519613841,0.652125043576,0.668814131093,6.42969370219e-05
a_subj.70,0.630435512115,0.0118552652215,0.607847101112,0.622379464277,0.630138347757,0.638208951109,0.654621899303,5.87285087994e-05
a_subj.71,0.617686019233,0.011689906369,0.595076072165,0.609729844376,0.617631502089,0.625487971738,0.64087978824,5.19919635248e-05
a_subj.72,0.666265922857,0.0121526460648,0.642934843288,0.65799168874,0.66613843584,0.674381757936,0.690524449744,6.4639737782e-05
a_subj.73,0.642687473856,0.0119818591721,0.619805195324,0.63452277047,0.642493320686,0.650661352267,0.666496474035,5.85130309787e-05
a_subj.74,0.625005614705,0.0173541675321,0.592270907359,0.612247077335,0.625329814804,0.637655725966,0.657441548009,9.58875063929e-05
a_subj.75,0.635254655007,0.0118375036966,0.612472301833,0.627217751779,0.635092221296,0.643245180523,0.658766950524,5.41633915224e-05
a_subj.76,0.647429182392,0.0125654877951,0.623135673199,0.63887207285,0.647297000141,0.65583818604,0.67241436854,5.46552236947e-05
a_subj.77,0.64352562422,0.0119805234476,0.620445011476,0.635357800829,0.643424768976,0.651574731301,0.667502854256,5.52698423202e-05
a_subj.78,0.621438968905,0.0115744155445,0.599026772102,0.613664006516,0.621377447087,0.62916596413,0.644403434004,5.86838222065e-05
a_subj.79,0.644780308507,0.0121087478404,0.621485111709,0.636606285826,0.644799705209,0.652910216889,0.668750760748,5.04241259569e-05
a_subj.80,0.666870425966,0.0121602141984,0.643597520003,0.658556809757,0.666736840882,0.674975081493,0.69085143869,5.19852378991e-05
a_subj.81,0.7007744384,0.0163119804025,0.669698530931,0.689589592096,0.7003389826,0.711589001219,0.733948267169,7.1467770975e-05
a_subj.82,0.6610285832,0.014945407542,0.631918113898,0.650898504365,0.660870070863,0.671015426538,0.690942231114,6.15050816612e-05
a_subj.83,0.612239296589,0.0119977338758,0.589053507109,0.604147913997,0.612207142356,0.620232327104,0.636199884293,5.76038183006e-05
a_subj.84,0.654711595967,0.0146293142227,0.62679955646,0.644671711493,0.654471575976,0.664464470476,0.683824608811,6.46889512239e-05
a_subj.85,0.622107041968,0.0126110105464,0.597698904998,0.613555825627,0.622034755107,0.630490346911,0.647349447308,6.29663132446e-05
a_subj.86,0.62965415793,0.0113972665364,0.60781042738,0.622006154107,0.629554884342,0.637179913651,0.652495388594,4.64287775941e-05
a_subj.87,0.626542793101,0.0122791978115,0.602453896472,0.618289652119,0.626497166426,0.634829175154,0.650752919542,5.73217188088e-05
a_subj.88,0.608388616647,0.0113783173679,0.586460969475,0.60062994362,0.608297217153,0.615950999061,0.631022683192,4.47589262952e-05
a_subj.89,0.626305653027,0.011555826304,0.604099367451,0.618426687308,0.62616735682,0.634026649274,0.649379277712,5.67419335998e-05
a_subj.90,0.649996525064,0.0125634156617,0.62576097891,0.641502888525,0.649799646868,0.658396244446,0.675170270795,4.95114017741e-05
a_subj.91,0.626394404844,0.0121476857639,0.602921655882,0.618231089276,0.626256447902,0.634487563561,0.650806911339,5.45984554478e-05
a_subj.92,0.633709302536,0.0114206569152,0.611521697547,0.626037112447,0.633497629419,0.641251300118,0.656596428468,5.12863347736e-05
a_subj.93,0.633685605776,0.0117613661837,0.610676160656,0.625668609,0.633637904092,0.641524476723,0.656949785343,5.72169071563e-05
a_subj.94,0.63480320074,0.0120394165658,0.611688422744,0.626604067258,0.634645707522,0.642878453428,0.658797297323,5.16697396778e-05
a_subj.95,0.614641231299,0.0114338624115,0.592648068735,0.606785233954,0.614495645358,0.622330669545,0.637430234072,5.20508711185e-05
a_subj.96,0.602093591814,0.0115150202506,0.579948781139,0.594241075414,0.601961933493,0.609821287809,0.624919531273,5.82609691961e-05
a_subj.97,0.585258786079,0.0132809419726,0.559550785971,0.576104078043,0.58534606755,0.594533843935,0.610770873308,6.29372222806e-05
a_subj.98,0.621515816051,0.0116118420503,0.599129348523,0.613679630835,0.621348703792,0.629253444627,0.644856922685,4.96476122385e-05
a_subj.99,0.625454879711,0.0121964346913,0.6022565136,0.61714597807,0.625184407915,0.633513779321,0.649960825803,5.03156993691e-05
a_subj.100,0.629504368818,0.01382002909,0.602720630769,0.619967437235,0.629508477997,0.639079971952,0.656338485834,6.78122039508e-05
a_subj.101,0.650409126104,0.0128483294788,0.625634458077,0.641653644806,0.650286442981,0.658935799635,0.676128453117,6.48594505498e-05
a_subj.102,0.633633152768,0.0122126440403,0.609958390019,0.625306625923,0.633516488047,0.641871269453,0.657607670459,5.14547842655e-05
a_subj.103,0.630014485307,0.0113319944582,0.608128323309,0.622325621776,0.629896045667,0.637607096183,0.652514002074,5.14799004865e-05
a_subj.104,0.628012633166,0.0123252326299,0.604062277165,0.61968164591,0.627925142967,0.636260771682,0.652467651002,5.14107994713e-05
a_subj.105,0.653735418108,0.0120471065396,0.630688108599,0.645534239976,0.653523160871,0.661702291841,0.677871963426,5.51190206447e-05
a_subj.106,0.653962974107,0.0150921054068,0.624314288276,0.64382375203,0.653951477834,0.664106260924,0.683620442306,7.48107592533e-05
a_subj.107,0.666695951863,0.0149602843511,0.638337484633,0.656452826102,0.666346905774,0.676628311246,0.697087206357,6.2559605067e-05
a_subj.108,0.646689054562,0.0119565792848,0.62356157866,0.638514952912,0.646571385574,0.654687777299,0.670505050385,5.11789109212e-05
a_subj.109,0.641832227571,0.0121810403508,0.618318171089,0.633528045768,0.641663644138,0.649963599086,0.666081639323,5.35134655706e-05
a_subj.110,0.634883439759,0.0115560212832,0.612639251502,0.626924144607,0.634772448213,0.642635698616,0.657927461074,5.12638756264e-05
a_subj.111,0.666136241561,0.0131644312824,0.640680489792,0.657192258087,0.665965714044,0.674965964111,0.692384892421,5.95771792347e-05
a_subj.112,0.608657430418,0.0124541758984,0.584231479442,0.600211929597,0.608696359382,0.617068570331,0.632879146426,5.65392179913e-05
a_subj.113,0.620796742647,0.0120202054651,0.597252328617,0.612708913798,0.620739465038,0.628828809321,0.644689753218,5.85511220501e-05
a_subj.114,0.641794514653,0.011790633199,0.618788590808,0.633718814568,0.641716148637,0.649686345104,0.665137382933,4.96395134414e-05
a_subj.115,0.646017966854,0.0120126901996,0.622774385242,0.63780612242,0.645863314823,0.654114456442,0.669787718512,6.03902600268e-05
a_subj.116,0.655325151119,0.0119890340907,0.632330724124,0.647140500896,0.65521818117,0.663271611616,0.679369507617,5.68989557967e-05
a_subj.117,0.621742725433,0.0123166047526,0.598041592985,0.613327854034,0.621585910397,0.629970204535,0.646319924911,5.45714331456e-05
a_subj.118,0.660201872663,0.0137536440401,0.634044813213,0.650632646387,0.659907366242,0.669489310044,0.68796804587,6.97947225249e-05
a_subj.119,0.613400517919,0.0116153617257,0.591086933633,0.605522959919,0.613190129794,0.621102276738,0.63667945181,5.40033561375e-05
a_subj.120,0.618676203082,0.0121186574464,0.595369644718,0.610433232248,0.618557979385,0.626780095233,0.642862165456,5.6110949717e-05
a_subj.121,0.668346475044,0.0132414771586,0.642966794258,0.659289071864,0.668185807727,0.677167248263,0.694764236469,6.34483784171e-05
a_subj.122,0.62856587196,0.0130959719116,0.60267115857,0.619803545003,0.628660040161,0.637402653237,0.65418779028,5.94568584064e-05
a_subj.123,0.633714475777,0.0119971430921,0.610743581629,0.62554627064,0.633546403617,0.641650495011,0.658010368064,5.57046775624e-05
a_subj.124,0.642421798366,0.0123902331048,0.618583591248,0.633968159496,0.642176840571,0.650710669706,0.667211560216,5.30472300313e-05
a_subj.125,0.6934793186,0.0126100780215,0.669346890512,0.684843555734,0.69334925692,0.701897344521,0.71876439943,5.96461278112e-05
a_subj.126,0.624610144758,0.0139722044178,0.598691257054,0.614849449745,0.624054590013,0.633786982103,0.65340807224,7.21317217699e-05
a_subj.127,0.62574674175,0.0116737461738,0.603180492955,0.617814313586,0.625562655056,0.633579098879,0.64896036498,5.24579327568e-05
a_subj.128,0.656549945083,0.0121921770751,0.632231384308,0.648388623507,0.656605298827,0.664805203332,0.680081740743,5.52174422718e-05
a_subj.129,0.642876121752,0.012554855452,0.618582674359,0.634309194234,0.642774137029,0.651255123362,0.667758577427,5.86670616215e-05
a_subj.130,0.646159285774,0.012054724042,0.623061634716,0.638016941254,0.645968110478,0.654229947092,0.670283709664,5.88543489689e-05
a_subj.131,0.648811108008,0.0117720184088,0.625907427849,0.640816597586,0.648718823664,0.656752387343,0.671986414395,5.17931487671e-05
a_subj.132,0.675273558364,0.0132375552627,0.649727228115,0.666336600015,0.675058880942,0.684119746594,0.701773396404,6.51795893049e-05
a_subj.133,0.628591036426,0.0114571229461,0.606541160849,0.620775294428,0.628439682593,0.636207534784,0.651385761217,4.83849453529e-05
