,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.611368990163,0.00232473936631,0.606803638823,0.609796248106,0.611364544572,0.612909162963,0.615962493842,1.06381334307e-05
a_std,0.0298328287443,0.00180802382787,0.0264911542949,0.0285855135855,0.0297757443581,0.0310104597166,0.033555757368,8.55650887572e-06
a_subj.0,0.648651424503,0.0126793513367,0.62341018551,0.640249927506,0.648695540584,0.657125502842,0.673495610932,5.44958379724e-05
a_subj.1,0.620698568523,0.0138098361221,0.594531260715,0.611163110301,0.620310197459,0.629952869176,0.648674591925,5.16138143632e-05
a_subj.2,0.624519229658,0.0118563760187,0.601478022928,0.616569580612,0.624479675472,0.632406397588,0.648025003658,5.61171048288e-05
a_subj.3,0.632273278572,0.0131243307219,0.60701017298,0.623252953482,0.632076191233,0.641133320651,0.658622472496,6.50080694772e-05
a_subj.4,0.572503119591,0.0111230722615,0.551332637957,0.564931753802,0.572284777193,0.579848710047,0.59484069211,5.16755099368e-05
a_subj.5,0.588422130133,0.0113386524737,0.566464355977,0.580792053186,0.588262762886,0.595973823795,0.610942041202,4.81057209299e-05
a_subj.6,0.599045531323,0.0116570020774,0.576538924605,0.591085506939,0.598993855144,0.60684844155,0.622090620074,4.74461242967e-05
a_subj.7,0.628623181305,0.0132517111682,0.603430751334,0.619535319339,0.628401003342,0.637462981871,0.655365174716,6.17128962464e-05
a_subj.8,0.613427136905,0.0120453051704,0.589844943828,0.60530474745,0.613397316642,0.621471169708,0.637327111603,5.51812298354e-05
a_subj.9,0.619387501876,0.0118203049508,0.596605915789,0.611369312935,0.619263673649,0.627293018494,0.642855162911,5.48269916932e-05
a_subj.10,0.592746141362,0.0112416630427,0.570966664527,0.58513044945,0.592622649082,0.600202247206,0.615363866152,5.04122962132e-05
a_subj.11,0.601866320476,0.0114839202314,0.580033938811,0.593964604547,0.601721097263,0.609519373046,0.624858204808,4.77333875237e-05
a_subj.12,0.604879612575,0.0136848095938,0.579533847375,0.595322791721,0.604313182972,0.613995696114,0.632730834946,6.91383167593e-05
a_subj.13,0.605780840135,0.0116045036239,0.583479233831,0.59788198837,0.605588648778,0.613551448349,0.628968872408,5.5645139675e-05
a_subj.14,0.620767247326,0.0122835139637,0.597348707297,0.612362046314,0.620511715912,0.628927836769,0.645521670838,5.70475929465e-05
a_subj.15,0.636669258844,0.0119743515656,0.613437723927,0.62857695789,0.63657246213,0.644692043327,0.66052189097,5.41609996998e-05
a_subj.16,0.623180868661,0.012668155395,0.59846768621,0.614599514139,0.623130654076,0.631771128729,0.647961275243,5.4112116211e-05
a_subj.17,0.639333030135,0.0120784495313,0.61610869978,0.631127987333,0.639180774473,0.647380478664,0.663324687816,5.30290818699e-05
a_subj.18,0.611877203535,0.0114899141582,0.589806825547,0.604052414907,0.611714396502,0.619529625098,0.634709905686,5.50411584064e-05
