,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.611355817454,0.00232766671386,0.606836375588,0.609803543854,0.611333663626,0.612923342419,0.615959108864,1.14733263713e-05
a_std,0.0298486641597,0.0018030278983,0.0264845574924,0.0286069670262,0.029785341065,0.0310300331009,0.0335705664799,7.90827058415e-06
a_subj.0,0.648551982276,0.0126337059998,0.623515062826,0.640182977792,0.64861719975,0.657036553289,0.673309794634,5.71327647958e-05
a_subj.1,0.620746704245,0.0138088528384,0.594602591182,0.611275063214,0.620396304504,0.63001689848,0.648505300899,6.24448477508e-05
a_subj.2,0.624477050363,0.0118464715092,0.601769021913,0.616362044446,0.624344909678,0.632369182555,0.648306899549,5.16135007149e-05
a_subj.3,0.632092583533,0.0130464262439,0.607140826341,0.623165282135,0.631889462477,0.640811168563,0.658145898261,6.30032134098e-05
a_subj.4,0.572684383065,0.0110285299292,0.55165169449,0.565158322956,0.572520722285,0.5800767797,0.594729373459,4.85639517374e-05
a_subj.5,0.588370971831,0.0112497456568,0.566753661393,0.580705913718,0.588281015012,0.595882231124,0.610665209185,4.8460539775e-05
a_subj.6,0.598954017561,0.0116994374976,0.576119332702,0.591041852987,0.598962639008,0.606772315827,0.621939662706,4.64549943561e-05
a_subj.7,0.628541044471,0.0132246121214,0.603170377058,0.619514505369,0.628424365813,0.637365506821,0.654935891551,5.87768918962e-05
a_subj.8,0.613418445704,0.0120023846969,0.590223036018,0.605252335866,0.613395667084,0.621475095916,0.637207808103,5.90597099719e-05
a_subj.9,0.619218355373,0.0117948571513,0.596493476722,0.611286432506,0.619015616874,0.627036000178,0.642946794994,4.988082611e-05
a_subj.10,0.592779322148,0.0112261218969,0.571293535526,0.585094709387,0.59259607751,0.60028403574,0.61519140869,4.85248936099e-05
a_subj.11,0.601895030739,0.0114798460703,0.579524810924,0.594157945445,0.601723300486,0.609541732957,0.624827044008,5.69940895087e-05
a_subj.12,0.60483315106,0.0136784918759,0.579355605484,0.595254875043,0.604376448558,0.613931769013,0.632731444325,6.5850333091e-05
a_subj.13,0.605781384658,0.0115785834454,0.583437446389,0.597882167021,0.605629221199,0.613498029631,0.628920010289,5.55117430232e-05
a_subj.14,0.620789057893,0.0123102125116,0.597066166647,0.612386793665,0.620648129287,0.628952992968,0.645429164565,5.43106852411e-05
a_subj.15,0.636687686511,0.0120302973756,0.613630702932,0.628479246361,0.636547117782,0.64463735388,0.66084588644,4.86322755654e-05
a_subj.16,0.623127272157,0.0127580606008,0.598113045754,0.614597727063,0.623151143876,0.631672602525,0.648125334927,5.95157887061e-05
a_subj.17,0.639360445405,0.0120394930472,0.616302040622,0.631146037856,0.639187276921,0.647352514699,0.663358524508,5.58359755721e-05
a_subj.18,0.611928188682,0.0114609472932,0.58980917503,0.604149828619,0.611753838888,0.619605693961,0.634799688706,5.14678584232e-05
a_subj.19,0.618776224305,0.0117672323346,0.595924446023,0.610817419447,0.618775869419,0.626700370792,0.642209700242,6.36300832704e-05
a_subj.20,0.609966076574,0.011667818006,0.587367178493,0.602062393041,0.609816612004,0.617842173651,0.633290123437,5.68973360461e-05
a_subj.21,0.592254986874,0.01126752327,0.570613914927,0.584564561834,0.592110553954,0.599685481113,0.614838072506,5.02223984479e-05
a_subj.22,0.611676554478,0.0118203784455,0.588867664386,0.603645205344,0.611607776442,0.619580113172,0.635135216111,5.4379875893e-05
a_subj.23,0.631630016706,0.0126240853795,0.607319674615,0.622997294252,0.631474100551,0.640084712142,0.656700056945,5.92785018524e-05
a_subj.24,0.622751314313,0.0122690405265,0.599004132412,0.614390681005,0.622587469517,0.630997121955,0.646980590551,5.3679416848e-05
a_subj.25,0.599739720745,0.0113771600909,0.577894135406,0.591984351199,0.599547895405,0.607273426086,0.622466898673,5.42838272141e-05
a_subj.26,0.542560996765,0.0107114245186,0.52218529563,0.535218387177,0.542439890674,0.549673150548,0.564084225843,5.10047979978e-05
a_subj.27,0.643982792562,0.0122101024791,0.620623489083,0.635653030947,0.643838024642,0.652049890822,0.668589346644,5.00309743814e-05
a_subj.28,0.62879665615,0.0128555182852,0.604093659347,0.62007441354,0.628653518666,0.637424485488,0.654372768981,6.44187675407e-05
a_subj.29,0.647763317478,0.012157521386,0.624206428134,0.639541999789,0.647657118681,0.655839391635,0.672098755375,5.61701183064e-05
a_subj.30,0.624878846074,0.0118666706125,0.602014927692,0.616800303394,0.624796583196,0.632833133583,0.648526383429,5.03452291478e-05
a_subj.31,0.657968295109,0.0123491389833,0.634315289178,0.649560202861,0.657770615085,0.666189111938,0.682684094264,5.59299387171e-05
a_subj.32,0.616022115573,0.0120336981575,0.593377743672,0.607769157889,0.615734151296,0.623928133164,0.640393800888,5.87352727044e-05
a_subj.33,0.593933106066,0.0120782250896,0.570459662223,0.585729270429,0.593958790342,0.602058382526,0.617707174089,4.95931810917e-05
a_subj.34,0.623982227651,0.0117553565439,0.601285407341,0.615945127877,0.62386057299,0.631785245057,0.647497964833,5.56337345863e-05
a_subj.35,0.630210936859,0.0144034717472,0.602921178032,0.620262386333,0.630048659261,0.639959769122,0.658704367973,6.39428838417e-05
a_subj.36,0.600960783128,0.0113832215728,0.579047111142,0.593223687423,0.600792806849,0.608499150133,0.623785538501,5.34780835359e-05
a_subj.37,0.614861124259,0.0117415915931,0.592264174702,0.606874596344,0.614678670421,0.622680637636,0.638257518819,5.28547751067e-05
a_subj.38,0.609976643013,0.0123601982435,0.586482820247,0.601616901348,0.609705669813,0.618045492702,0.634957579434,5.10150753426e-05
a_subj.39,0.597206876584,0.0131599375458,0.571598436638,0.588208509735,0.597259971575,0.606222249926,0.622720806185,5.94615033976e-05
a_subj.40,0.615183278969,0.0116528602219,0.592968695417,0.607234365373,0.615041904097,0.622904110845,0.638526399362,5.20846968252e-05
a_subj.41,0.624605292926,0.011696952697,0.602172258394,0.61663633634,0.624455864798,0.632471865437,0.648053592255,4.73417661096e-05
a_subj.42,0.629597734517,0.0135574747284,0.604526673933,0.62011742173,0.629139204422,0.63850076848,0.657525158046,6.30777044717e-05
a_subj.43,0.582490326572,0.011563084142,0.560277010391,0.574537758944,0.582370596461,0.590198627815,0.605713514158,5.76219128489e-05
a_subj.44,0.61299584866,0.0117384641955,0.590388299856,0.604950625529,0.612824415174,0.620833952649,0.636362270452,5.62741417795e-05
a_subj.45,0.577525854057,0.0115058439773,0.5550170317,0.569756327097,0.577505114781,0.585258531206,0.60021779538,4.96250612635e-05
a_subj.46,0.614100033979,0.0114925629528,0.592049205023,0.606270874689,0.613866696605,0.621797018168,0.637103162859,5.33770779238e-05
a_subj.47,0.628298283578,0.0121072402977,0.604593693443,0.620184528328,0.628237720778,0.636372718393,0.652195574407,5.59466031353e-05
a_subj.48,0.567632967627,0.0109689399862,0.546339110108,0.560219860044,0.567564090635,0.574953832438,0.58940102072,4.86830711034e-05
a_subj.49,0.629934368896,0.0118396207199,0.607171597846,0.621906384864,0.629760951615,0.637846438078,0.653659670563,5.19568397609e-05
a_subj.50,0.62778397786,0.0119927291452,0.604536880922,0.619597447018,0.627694096762,0.635779054298,0.651663586467,4.81866733507e-05
a_subj.51,0.635599526968,0.0132618097554,0.610233532731,0.626478700079,0.635331378958,0.644483675578,0.662199374209,5.70118987379e-05
a_subj.52,0.633913410736,0.0122878972451,0.610644232459,0.625543789072,0.633678129015,0.642067155289,0.658748497073,5.45416024375e-05
a_subj.53,0.630837423711,0.0127384575135,0.606447765678,0.62206701306,0.630589166527,0.639385502703,0.656376599143,5.7794948744e-05
a_subj.54,0.608920111936,0.0115483406427,0.586596471886,0.601072858527,0.608820445674,0.616589238708,0.63177971365,5.43571224608e-05
a_subj.55,0.63201912617,0.0119155712096,0.60910871827,0.62393525887,0.631813194562,0.63995647309,0.655899426401,5.42017443082e-05
a_subj.56,0.625944639287,0.0116890385058,0.603465603873,0.618006564997,0.625784665073,0.633652993373,0.649348900972,5.2945890598e-05
a_subj.57,0.586218448886,0.0111125125904,0.564699173618,0.578706486497,0.586106226188,0.593704941452,0.608200074543,5.01813365225e-05
a_subj.58,0.638203952481,0.0127015683408,0.613280737499,0.629613968238,0.63816865241,0.646724612524,0.663223864716,5.51323914958e-05
a_subj.59,0.583108468007,0.0115553843898,0.560961764726,0.575267750697,0.582905150669,0.59074319948,0.606430859054,5.07731766664e-05
a_subj.60,0.622234591218,0.0122464792217,0.59867556192,0.613894663819,0.622158327929,0.630493511497,0.646666277988,6.17694897968e-05
a_subj.61,0.476283969581,0.0102155288236,0.456394487794,0.46934533684,0.476209091831,0.483188393064,0.496447866127,4.28786279597e-05
a_subj.62,0.624149394292,0.01196728155,0.600996756888,0.616068238016,0.62407620455,0.632085558273,0.648124672488,5.16500998714e-05
a_subj.63,0.586128853156,0.0116050508357,0.564012103993,0.578176299106,0.585883418587,0.593813804951,0.609364287589,5.2859086113e-05
a_subj.64,0.636449795726,0.0125050572132,0.612199638985,0.627959436853,0.636289137811,0.644814559421,0.661385771529,6.47679997609e-05
a_subj.65,0.592996134559,0.0115196174988,0.570861558996,0.585152701955,0.592893880402,0.600635105008,0.616097549014,4.42068402248e-05
a_subj.66,0.590270137835,0.0113499064712,0.568331458029,0.582547999621,0.590150410805,0.597799815873,0.613098359072,5.05434639601e-05
a_subj.67,0.630263187754,0.0117352893793,0.60771216071,0.622279591495,0.630143114445,0.638119879004,0.65347818263,5.65048010247e-05
a_subj.68,0.624404530972,0.0134027213553,0.598449739779,0.615152724014,0.624377492184,0.63352450878,0.650796217879,6.25923429156e-05
a_subj.69,0.600771844326,0.0115096145225,0.578345940432,0.593009458209,0.600639617638,0.608392613537,0.62372106793,5.64396432425e-05
a_subj.70,0.61968317319,0.0119308683753,0.596667530728,0.611551570653,0.619541470845,0.627576306846,0.643595863407,5.60322307162e-05
a_subj.71,0.602347912903,0.0118480734789,0.579560366157,0.594336627519,0.602275677452,0.610198712551,0.62602741544,5.82650997344e-05
a_subj.72,0.657170634436,0.0123494122921,0.633226180071,0.648803308128,0.65700450907,0.665441835589,0.681891410354,5.94687004706e-05
a_subj.73,0.63694421998,0.0124252962871,0.61312585,0.628469570684,0.636723442972,0.645289758978,0.661702735422,5.21406098523e-05
a_subj.74,0.574478443849,0.012365882298,0.552119105516,0.566077845231,0.573840837243,0.582210812025,0.600780036091,5.40611900565e-05
a_subj.75,0.617685795228,0.0116861132159,0.595152906858,0.6097159485,0.617503101338,0.625538144813,0.641063353317,5.46887539452e-05
a_subj.76,0.622505769335,0.0123403253578,0.598985536972,0.614088021352,0.62225412857,0.630706577399,0.647454196509,5.68895983942e-05
a_subj.77,0.634961395191,0.0122694784292,0.611423302537,0.626533255856,0.634831486746,0.643147333317,0.659408685403,6.19267725951e-05
a_subj.78,0.6081331095,0.0117657841679,0.585290849428,0.600152427408,0.608008352621,0.615994964825,0.631780660649,5.05407234192e-05
a_subj.79,0.635300586124,0.0126302991444,0.610767617167,0.62681557143,0.635211474593,0.643795854634,0.660142761429,5.59239769181e-05
a_subj.80,0.658554638285,0.0123270291133,0.634765740345,0.650253922161,0.658354829715,0.666737109467,0.68326501193,5.70218936459e-05
a_subj.81,0.569285257322,0.0107582765343,0.548626618914,0.562012556466,0.569181275717,0.576439566286,0.590884619804,5.31067358956e-05
a_subj.82,0.549475517318,0.0120082449959,0.526692525679,0.541227997978,0.549129630575,0.557389790355,0.573985518924,5.51961063627e-05
a_subj.83,0.596820492121,0.0120786944678,0.573529766835,0.588575140623,0.596573587553,0.604798318262,0.621180095687,5.14513946402e-05
a_subj.84,0.545413230796,0.0106370256776,0.524954203761,0.538165270973,0.545288762461,0.552584045172,0.566491339856,4.7845108071e-05
a_subj.85,0.569618383431,0.0110756912296,0.54833757401,0.562089971236,0.569481808837,0.577009823732,0.59176584399,4.9255757032e-05
a_subj.86,0.619668788025,0.0116969223365,0.597137235219,0.61170011775,0.619519381897,0.627454383296,0.643057773231,5.40465601851e-05
a_subj.87,0.610057036709,0.0127026236697,0.585099112561,0.601375671103,0.61010483659,0.618706825946,0.634933866696,6.16523637739e-05
a_subj.88,0.600327691446,0.0116885723233,0.578048805132,0.59236385261,0.600179787936,0.608071760605,0.623902142598,5.19856821598e-05
a_subj.89,0.616753699202,0.0117509585035,0.594166119135,0.608718945566,0.616565000437,0.624601079818,0.640090896673,5.56588079391e-05
a_subj.90,0.619978842641,0.0119972733384,0.596859117577,0.611813642141,0.619739367885,0.627986764581,0.643963088355,5.49937435372e-05
a_subj.91,0.59359954397,0.0113964749854,0.571508907972,0.585848552472,0.593451210597,0.601269479401,0.616095448637,4.50532033359e-05
a_subj.92,0.626632559414,0.0117644519175,0.603948209349,0.618591227168,0.626558034223,0.63446062887,0.650133252136,5.64391759772e-05
a_subj.93,0.62621920776,0.0122456102248,0.602585829624,0.617909571565,0.62612549641,0.634390325114,0.650663253532,5.73868382439e-05
a_subj.94,0.608235141381,0.011677959016,0.585606354797,0.600350054043,0.608008645021,0.616005984163,0.63169790741,5.46517192135e-05
a_subj.95,0.603787543379,0.0116034726072,0.581527007014,0.595919083102,0.603575501843,0.61155995918,0.626925832001,5.00816470849e-05
a_subj.96,0.583059639913,0.0113116457117,0.561145014361,0.575368957353,0.582869622769,0.590580075624,0.605740121347,5.10636452577e-05
a_subj.97,0.561298314884,0.0121565040585,0.538969306025,0.552951268771,0.5608168364,0.569059386421,0.586547893584,5.36352667154e-05
a_subj.98,0.608612880992,0.0117364483569,0.585807872867,0.600652258555,0.608504885851,0.616395148331,0.632181592927,5.35951178501e-05
a_subj.99,0.615966492794,0.012442556596,0.592437635629,0.607346836426,0.615699744347,0.624252737924,0.641253815475,6.36934694766e-05
a_subj.100,0.61391065454,0.0131854490209,0.5894856244,0.604708757846,0.613407440574,0.622486559269,0.641116624287,6.11333884088e-05
a_subj.101,0.599551454172,0.0115197517192,0.577246229972,0.591697458693,0.599432324653,0.607325418243,0.622490776081,5.39229926071e-05
a_subj.102,0.616264809219,0.0122682266869,0.592700513235,0.6079153139,0.616059543302,0.62447734473,0.640901919611,5.70147447138e-05
a_subj.103,0.62357061096,0.0116821072451,0.601199890156,0.615610676337,0.623400893954,0.631361448336,0.646929237173,5.46118952153e-05
a_subj.104,0.606174576887,0.0123862750032,0.582250274985,0.597747350514,0.606043649525,0.614424357606,0.630852054891,5.68108161837e-05
a_subj.105,0.641915219566,0.0122912099719,0.618054321447,0.633646854003,0.641845120086,0.650175339149,0.666039216945,5.49514237745e-05
a_subj.106,0.544195946243,0.0121336218711,0.521571351063,0.535817002328,0.543746731157,0.552122199551,0.569211876243,6.14423448328e-05
a_subj.107,0.562473116136,0.0108489824077,0.541530347347,0.555076765369,0.562343649052,0.569716299016,0.584193000739,4.47111024817e-05
a_subj.108,0.638599123875,0.0123741508477,0.614781587159,0.630180400935,0.638451271064,0.6468527805,0.663278957261,5.60316808485e-05
a_subj.109,0.613986937407,0.0119237902742,0.591074675839,0.605921664648,0.613876093415,0.621933808007,0.637834586034,5.46314346095e-05
a_subj.110,0.628905377703,0.0120717459482,0.605837810037,0.620647659877,0.628717013074,0.636983556813,0.653099013433,5.05032229596e-05
a_subj.111,0.615269376763,0.0116670499596,0.592556202737,0.607360525084,0.615224940452,0.623073213468,0.638199350601,5.40009533307e-05
a_subj.112,0.591131772275,0.0126118336667,0.567303277628,0.582425601608,0.590877580683,0.599501483556,0.616472885923,6.20986521063e-05
a_subj.113,0.584151174587,0.0115996318541,0.561365333509,0.576310301821,0.584174899521,0.591902615216,0.607005267067,5.02783062482e-05
a_subj.114,0.637027079615,0.0123047236675,0.613224559244,0.628651509557,0.636974949001,0.645229406273,0.661652995974,4.75920315315e-05
a_subj.115,0.628953590591,0.0121367493995,0.605467969982,0.620725954899,0.628901298449,0.637053971312,0.653139341876,5.45154027282e-05
a_subj.116,0.64158520387,0.0120758479869,0.618211113748,0.633422753407,0.641459883746,0.649636097034,0.665699813352,5.54942972312e-05
a_subj.117,0.60839310923,0.01238451352,0.584771702528,0.599913847738,0.60820818697,0.616648087075,0.633229187635,6.17855305582e-05
a_subj.118,0.628680778309,0.0126953721622,0.604663980526,0.619949073283,0.628374790525,0.637138070212,0.654376955101,6.06783418227e-05
a_subj.119,0.597467509479,0.0114739688891,0.575470478199,0.5896339609,0.597270958623,0.605170758057,0.620377219437,5.47310280307e-05
a_subj.120,0.607776645987,0.0122976773464,0.58409021968,0.599361948961,0.607610825818,0.615996698121,0.632299291155,5.21174880632e-05
a_subj.121,0.616031859899,0.0116682815674,0.59346697533,0.608126241819,0.615944905517,0.62378455693,0.63939676126,5.40682727143e-05
a_subj.122,0.602699729439,0.013002853084,0.578214599553,0.593684292361,0.602397808122,0.611341876137,0.628985939735,6.0826761205e-05
a_subj.123,0.627610880551,0.012123992783,0.604442311836,0.619331516259,0.627402644332,0.635626145109,0.652166500612,5.62115208405e-05
a_subj.124,0.606719522345,0.0117689902983,0.583948254419,0.598707421659,0.606590814766,0.614607988554,0.630024473916,5.43777299584e-05
a_subj.125,0.694308766107,0.0132430924147,0.668776744271,0.685286167563,0.694085835449,0.703125379972,0.720611679691,6.11337912889e-05
a_subj.126,0.606083357711,0.013147219646,0.581850592212,0.597060920404,0.605471573484,0.614452729638,0.633932850769,6.08414493752e-05
a_subj.127,0.616771356234,0.0120208220054,0.593702992836,0.608617149898,0.616558542146,0.624745516047,0.640724620638,5.77324045398e-05
a_subj.128,0.649997415146,0.0134750105329,0.622696736721,0.641212754037,0.65036416154,0.659084698601,0.675663352689,6.2526279581e-05
a_subj.129,0.596363658162,0.0113925112507,0.574367875776,0.588576401014,0.596209075657,0.604031791456,0.618887012761,5.41122685825e-05
a_subj.130,0.618687147693,0.0115976878126,0.596336068533,0.610739162375,0.618546439987,0.626488840184,0.641806429448,5.67695456643e-05
a_subj.131,0.644250606306,0.012448627818,0.620134570712,0.635848202508,0.644215258569,0.65260764574,0.668811028991,5.43362688925e-05
a_subj.132,0.632551510041,0.0120518759966,0.609307625055,0.624342574137,0.632434518207,0.640626598407,0.65673452717,5.40394920127e-05
a_subj.133,0.622939403698,0.0119255383875,0.600005754527,0.614829594562,0.622794491206,0.630946194751,0.646677798504,4.49510491837e-05
a_subj.134,0.605520468059,0.0116210186407,0.583171676408,0.597716770073,0.605356833439,0.613283930354,0.628725505409,5.88976951278e-05
a_subj.135,0.657922332109,0.0122864531371,0.634447408665,0.649557276611,0.657761656675,0.66611349923,0.682551462211,6.03787211232e-05
a_subj.136,0.648347963688,0.0123273215231,0.624505202482,0.639938050005,0.64823725775,0.656584711896,0.672869021394,5.79460279069e-05
a_subj.137,0.606214031688,0.0116865817015,0.583930010778,0.598287317879,0.605999616701,0.614037317283,0.629773221618,5.06939111719e-05
a_subj.138,0.618725699824,0.0127374404623,0.59405724868,0.609979270161,0.618616133931,0.627276366454,0.643956795324,5.95681644547e-05
a_subj.139,0.621849256959,0.0124009526654,0.598059175105,0.613371828599,0.621679087884,0.630147962379,0.64653259427,5.59691442202e-05
a_subj.140,0.606592287085,0.0117964615086,0.583846604739,0.598570764889,0.606529881447,0.614383398461,0.630122475693,5.6612447547e-05
a_subj.141,0.548732567122,0.0108700066246,0.527912057009,0.541316276001,0.548511265734,0.55592311278,0.57051551395,4.89848553158e-05
a_subj.142,0.627469727226,0.0119220209565,0.604575621408,0.619318849403,0.627368257514,0.635454502322,0.651213111979,5.23768925949e-05
a_subj.143,0.605380685551,0.011528320376,0.582998782036,0.597580239324,0.605272476319,0.613134297464,0.628199821526,5.4025395843e-05
a_subj.144,0.634136241944,0.0121017610214,0.610901870567,0.625938234051,0.634029052646,0.642195962129,0.658328315327,6.05750293099e-05
a_subj.145,0.616979768008,0.0122511383773,0.59370561623,0.608624022916,0.616657000263,0.625080631801,0.641767721662,5.95301981006e-05
a_subj.146,0.57492681706,0.0118242876791,0.552078280147,0.566881849482,0.574822316897,0.582866935959,0.598496955321,5.83569608902e-05
a_subj.147,0.575584483582,0.0113128108906,0.553948803669,0.567846613692,0.575472891548,0.583155103339,0.59818737744,4.8319005337e-05
a_subj.148,0.611207527339,0.0132632717241,0.585438007722,0.602131590787,0.611116482608,0.620119840436,0.637329181989,5.77547173234e-05
a_subj.149,0.568768244081,0.0109328667186,0.547691982366,0.561324281662,0.56862049586,0.575997169159,0.590547085445,4.7304028105e-05
a_subj.150,0.645300694027,0.0121558162155,0.621821110878,0.636993340541,0.645249583755,0.653438537233,0.669315135727,6.06515051602e-05
a_subj.151,0.645208413162,0.0121213614726,0.62168693995,0.636990442936,0.64510878419,0.653294748286,0.669427472108,5.27548232937e-05
a_subj.152,0.653105603705,0.013992215865,0.625119525372,0.643846553229,0.653259325148,0.662604802961,0.680164323578,6.49089452788e-05
a_subj.153,0.601897126299,0.0122252365523,0.578232758002,0.593549333139,0.601758354835,0.610177222143,0.625877436246,5.52644161153e-05
a_subj.154,0.583779669807,0.0121424087757,0.559354668082,0.575757045072,0.583937810952,0.591992686214,0.607336629065,5.47357111582e-05
a_subj.155,0.607688184316,0.0113893807769,0.585819578141,0.600009336766,0.607560780254,0.615304710845,0.630346555184,4.87158541865e-05
a_subj.156,0.630339326947,0.012123415128,0.607062988803,0.622073481863,0.630127640306,0.638447478414,0.654499450744,5.32106091247e-05
a_subj.157,0.619051689237,0.0124741721484,0.595103751936,0.610498056602,0.618920769094,0.627489544833,0.643866197674,4.95399909246e-05
a_subj.158,0.610419073675,0.0114559431777,0.588158528961,0.602664150554,0.610280720886,0.618157281689,0.633249179145,4.81924104255e-05
a_subj.159,0.569421735315,0.0111658926607,0.547798372762,0.561838625694,0.569314732904,0.57686112778,0.591807989531,5.07897821349e-05
