,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.55218538661,0.0537927178342,1.45132854128,1.51590357014,1.54969357341,1.58740633182,1.66160430408,0.000989682119361
a_std,0.0557218505868,0.0439725450091,0.00168625841046,0.0217433908795,0.0462032234032,0.0792639780977,0.16340648979,0.000914923998036
a_subj.0,1.52856712816,0.0807866180463,1.35127139046,1.48291395025,1.53251013958,1.57961665779,1.67685048598,0.00112015020557
a_subj.1,1.53277185462,0.0805162289483,1.3575891027,1.48696960803,1.53512335942,1.58268591311,1.68229482182,0.00107354774935
a_subj.2,1.5570720166,0.0840081827253,1.40321401693,1.50616620555,1.55162148069,1.60334085325,1.74012670225,0.00109241427347
a_subj.3,1.56167397006,0.0786860449158,1.41965253262,1.51218665378,1.55611840125,1.60647074586,1.73709761413,0.0010091639541
a_subj.4,1.5546935577,0.083439282924,1.39851070438,1.50441613148,1.55008409227,1.60094050987,1.73511709791,0.00104329606493
a_subj.5,1.57463411188,0.0869164551809,1.4334769837,1.51939587673,1.56445028567,1.61789562721,1.78058751339,0.00113950623719
a_subj.6,1.54895786855,0.0857102692607,1.38056524768,1.49916166324,1.54618829496,1.59703484925,1.7279838703,0.0010388830694
a_subj.7,1.55252218846,0.0784953804542,1.40431842572,1.50422956529,1.54888565591,1.59853046807,1.71758586702,0.00100600262275
a_subj.8,1.55886657911,0.080022806648,1.41348623443,1.50896764842,1.55350733499,1.60366753677,1.73380331017,0.00104823167082
a_subj.9,1.54523911079,0.0808150527516,1.38296962345,1.49676841714,1.54376943481,1.5929201817,1.70968722998,0.000997413485002
a_subj.10,1.55788823983,0.0795542270001,1.4119750756,1.50844040139,1.552668921,1.60286039055,1.73092841539,0.00100623841461
a_subj.11,1.55956092025,0.0853469303865,1.40786806871,1.50754273714,1.55280751272,1.60524498653,1.75101478361,0.00101175157218
a_subj.12,1.56651629474,0.0780803640453,1.42849174813,1.51620972788,1.5596092897,1.61070433409,1.74282273308,0.00104280036079
a_subj.13,1.54946945066,0.0766108978493,1.39992314677,1.50215323291,1.54724275031,1.59555190354,1.70805009188,0.00100104161939
a_subj.14,1.54516310845,0.0763098954536,1.3925615175,1.49886952846,1.54369724151,1.59138838754,1.70017090129,0.0010411823837
a_subj.15,1.55937825392,0.0801709574094,1.41440499221,1.50958072331,1.55362465688,1.6043058036,1.73595597604,0.00101925463376
a_subj.16,1.53777730561,0.0790942037918,1.37233493063,1.49158619881,1.53818495506,1.58612415938,1.69138908336,0.00109579642378
a_subj.17,1.54873087652,0.0851261878885,1.3802273454,1.49886381273,1.54585121197,1.59672653362,1.72734084179,0.00100181195912
a_subj.18,1.5545683209,0.0823303131651,1.40157277219,1.50505937132,1.54964521794,1.60057385461,1.73230843461,0.00108702937715
a_subj.19,1.54419029482,0.074775957564,1.39616295233,1.49786882939,1.54302746044,1.58975913337,1.69537923235,0.000981459701901
t,0.732179961601,0.0312023136479,0.671141197028,0.711796305324,0.731875942463,0.75221647029,0.795038627396,0.000165168201162
t_std,0.128300046245,0.0257217562616,0.0879541283493,0.110083851511,0.12485353615,0.142709000992,0.188280374152,0.000135036748442
t_subj.0,0.62712109632,0.031426261027,0.555563245569,0.609350534394,0.630942616668,0.648998257799,0.675165267807,0.000182040891085
t_subj.1,0.80222981232,0.0411383591866,0.708490436693,0.785804388554,0.810709995051,0.828931280215,0.851082366756,0.000275490251906
t_subj.2,0.890966614807,0.0275461810989,0.82081426278,0.877960756328,0.896997748195,0.910573393429,0.926320217927,0.000133015215798
t_subj.3,0.67548405543,0.0413897649393,0.589208128086,0.651731180998,0.677721218985,0.699851844426,0.75776898672,0.000242686132804
t_subj.4,0.727363283017,0.0416001873998,0.652764417038,0.708635500497,0.729377822202,0.74498077805,0.769330961386,0.000605879387047
t_subj.5,0.846188252624,0.0382625899778,0.758658665826,0.826702687939,0.852220607411,0.871750640322,0.896700043039,0.000226528718367
t_subj.6,0.890093772131,0.025497140246,0.823401610277,0.879501281155,0.896298034924,0.907804395436,0.920201347909,0.000122916747505
t_subj.7,0.760440575952,0.0375523399752,0.671635043506,0.739749584249,0.766071281829,0.787293694151,0.816246480994,0.000187130128065
t_subj.8,0.671532924437,0.0639265721394,0.542216508297,0.603776228225,0.698998381769,0.721543269852,0.742900993766,0.000586708792691
t_subj.9,0.688052955278,0.0267194321856,0.624770942747,0.674171657112,0.692242720344,0.706348549706,0.725270600455,0.000137922327411
t_subj.10,0.593107598357,0.0526498139725,0.507861574572,0.55344897913,0.574531264471,0.645493582719,0.676554686436,0.000459305052828
t_subj.11,0.886500102658,0.0257744625081,0.820872710459,0.874769840081,0.89230303036,0.904720983362,0.918509336368,0.000122932589832
t_subj.12,0.514449811841,0.0259797829217,0.458644286809,0.500947525161,0.517156864135,0.529557931907,0.557461845474,0.000133958177572
t_subj.13,0.597414607784,0.0628833852942,0.496932636597,0.550721603418,0.578358600111,0.65460934568,0.713737839765,0.000510608101002
t_subj.14,0.664145894324,0.0356972292213,0.582202212865,0.64329817702,0.668528213835,0.689718073135,0.721137728028,0.0002016173842
t_subj.15,0.780656266864,0.033256445716,0.70428879456,0.763420659681,0.785348048733,0.801974623213,0.835836093896,0.000141231099383
t_subj.16,0.870544076548,0.0581795788519,0.749963477909,0.841509058967,0.87452582252,0.902848936837,0.987608883768,0.000374011629203
t_subj.17,0.794516316895,0.0374308244612,0.648583205859,0.787109622272,0.803890103649,0.815262414157,0.828693123008,0.000348044287331
t_subj.18,0.732633148364,0.0623931428508,0.624321920567,0.67700618815,0.749452571255,0.791974132023,0.814614066571,0.000655761079418
t_subj.19,0.662359026629,0.032953490621,0.585434029036,0.64411894737,0.667129530681,0.685594443872,0.712460794396,0.000204423642909
z,0.531666959709,0.0444062789515,0.444608670234,0.502624443014,0.531880899169,0.560568130341,0.619920642406,0.000772472364048
z_std,0.777378081672,0.162771439216,0.513376345847,0.662144379168,0.75877421627,0.871274820723,1.14700178722,0.000972468684948
z_subj.0,0.407210380169,0.0612116508753,0.286997055131,0.367080118343,0.406971171618,0.44928148915,0.52818369227,0.00102077865576
z_subj.1,0.651751818241,0.0635897410541,0.520058299447,0.61086769003,0.653514637661,0.696675269032,0.766615221747,0.00104648778363
z_subj.2,0.269647697138,0.0609862385791,0.161264882193,0.227340778443,0.265845877984,0.307298581134,0.403474273419,0.0011232276051
z_subj.3,0.5380999042,0.0693488686254,0.408984453631,0.49105247932,0.536446864674,0.581702870217,0.683177061312,0.001125455319
z_subj.4,0.671370357846,0.0655046922786,0.537235740589,0.627126415974,0.67333944124,0.718315404694,0.793036560091,0.00127495998869
z_subj.5,0.640284165434,0.0666446010864,0.504717635217,0.596214275808,0.643248027567,0.687479162771,0.761962445658,0.000980202826537
z_subj.6,0.23258463564,0.0610471754556,0.130571383016,0.188756455936,0.226129397899,0.270817675702,0.370228936604,0.0013010315035
z_subj.7,0.586932650274,0.0628241722991,0.458604661225,0.547123046583,0.58868453128,0.629859187634,0.707738087942,0.000966830331083
z_subj.8,0.671386889108,0.0636374965045,0.537704845568,0.631064901284,0.674060042605,0.715762805115,0.786018811935,0.00114757472584
z_subj.9,0.341542493499,0.0616908277691,0.228188270903,0.29885693161,0.338802631669,0.382154509277,0.467931435572,0.00095398924632
z_subj.10,0.674735689161,0.0613876226238,0.545989420617,0.633776378981,0.677449205781,0.71740372261,0.787992328501,0.00115605694757
z_subj.11,0.279526086303,0.0575288007403,0.177970137852,0.237905479097,0.27642040273,0.31596275711,0.403227616023,0.00104451447011
