,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.81391000284,0.116591733651,1.61055480075,1.73457739448,1.80486175832,1.88376241596,2.07091979985,0.000665751863354
a_std,0.38678457288,0.118437918508,0.194959280232,0.304707445811,0.372978012076,0.453584519347,0.662509041533,0.000877919295356
a_subj.0,2.00906044683,0.315335781083,1.49932593761,1.78862465567,1.97015302249,2.18739121491,2.73446592846,0.00174691880206
a_subj.1,1.8265332687,0.197698493538,1.47125868632,1.69024617142,1.81626542089,1.94920374282,2.25214136736,0.00104097977687
a_subj.2,2.16106139049,0.280543151439,1.70628155109,1.96402350406,2.12876793237,2.32255975884,2.80542955115,0.00144697483084
a_subj.3,1.74493764811,0.232787939674,1.3471398381,1.58257394989,1.7266408915,1.88305184947,2.25907416307,0.00104099275813
a_subj.4,1.44659630243,0.185484337413,1.1158644152,1.31420874951,1.43649931229,1.56814448322,1.83823012446,0.000994941669081
a_subj.5,1.93790424703,0.208390275089,1.56850817188,1.79257950441,1.92467620247,2.06836471848,2.38431407329,0.00100049866615
a_subj.6,2.25839489607,0.293505216656,1.7800046338,2.05165134152,2.22585274361,2.42735731766,2.92817584451,0.00151735562955
a_subj.7,2.01931588932,0.335110667221,1.49310359532,1.78431027014,1.97360707401,2.20291184686,2.80934790398,0.00199911992202
a_subj.8,1.58894178434,0.181206762315,1.24525731796,1.46503786534,1.58489359091,1.70860232134,1.95757358498,0.00096958016394
a_subj.9,1.67009837375,0.241105306839,1.27805978463,1.50292576667,1.6452007823,1.80495494613,2.21663432504,0.00118427292295
a_subj.10,1.70517116156,0.193242669119,1.36330235979,1.57111582752,1.69244873504,1.82342890004,2.12336746069,0.000830883921713
a_subj.11,2.16942123254,0.323149603345,1.66478721406,1.94097701222,2.12571529437,2.35349283144,2.91768855198,0.0019964756753
a_subj.12,1.49781872039,0.152422151718,1.22227901793,1.39187654638,1.48968267667,1.59558265799,1.82080934933,0.000693995537921
a_subj.13,2.09696574218,0.27059060319,1.65084988338,1.90485998012,2.06890417898,2.25792303066,2.70252161888,0.00149863449285
a_subj.14,2.08744969045,0.30046521027,1.5994165329,1.87480704629,2.05184451035,2.26218527064,2.77363575339,0.00170744644844
a_subj.15,1.45824224904,0.168445931668,1.15827474545,1.33899448002,1.44794920625,1.56688519842,1.81239874223,0.00084269174852
a_subj.16,1.84071616593,0.180232449152,1.51863366005,1.71549802544,1.82985720046,1.95402154434,2.2282432655,0.000768856099078
a_subj.17,1.20138810779,0.170183007328,0.911789724735,1.08020202888,1.18565399985,1.30809224669,1.5751243313,0.00126838625762
a_subj.18,1.68950783534,0.184755336286,1.35869110873,1.56023334828,1.67952997154,1.80617939579,2.08371731196,0.000863774272826
a_subj.19,1.78326696226,0.263744265619,1.35218091173,1.60217798135,1.7544892688,1.93033144156,2.38000034865,0.00139868696332
v,-0.909154439132,0.228124127336,-1.3617242446,-1.05647230289,-0.906680762463,-0.759780485149,-0.459902123059,0.00103375860045
v_std,0.929830765718,0.191575511686,0.624981993765,0.795235337421,0.905376534913,1.03857979537,1.37026056016,0.000829353113517
v_subj.0,-2.07904235181,0.444383774825,-3.02874616094,-2.35656798717,-2.05398821166,-1.7763807807,-1.27173017351,0.00208268353348
v_subj.1,-0.613326609036,0.283495413092,-1.17292370728,-0.803339868978,-0.611868636652,-0.421653854828,-0.0589021723354,0.00127943066738
v_subj.2,-1.21273585769,0.283543663092,-1.78496010502,-1.39811070877,-1.20768659008,-1.01987561399,-0.669533798114,0.0012918362155
v_subj.3,-1.42183848529,0.348889675484,-2.12972099499,-1.65100951346,-1.41558395027,-1.18567582892,-0.754874056105,0.00155106507952
v_subj.4,-0.0538001936189,0.35579149091,-0.752994121213,-0.293017600882,-0.0542918821834,0.185003682615,0.646363881368,0.0013970458828
v_subj.5,0.28852831119,0.261308723711,-0.221971722961,0.113723446639,0.287169584565,0.462092865449,0.804453194573,0.00105732320639
v_subj.6,-1.20511494881,0.259714805485,-1.72035140026,-1.37713526341,-1.20105961559,-1.02973448125,-0.703345187476,0.00115582033591
v_subj.7,-2.00969579291,0.453250855179,-2.92535284649,-2.30698714876,-2.00429761239,-1.70223434464,-1.14686784083,0.00240673579542
v_subj.8,0.0218448474142,0.3013712411,-0.564175458586,-0.181177840436,0.0209424225385,0.223268893327,0.617305981587,0.0016121661928
v_subj.9,-1.65070669715,0.444447541415,-2.62732759799,-1.91550979618,-1.62301322819,-1.34923595217,-0.860124402097,0.00192556662405
v_subj.10,-1.1088059691,0.315169422038,-1.73544372088,-1.3183905589,-1.10676480789,-0.895365556668,-0.502993186957,0.00141939878033
v_subj.11,-1.53022771832,0.317942927707,-2.16835696959,-1.74182837922,-1.52495894748,-1.31192082516,-0.924775496311,0.00162622884487
v_subj.12,0.15991416657,0.306381521905,-0.442137308519,-0.0475167430303,0.160157481733,0.366289598588,0.757071349838,0.00137413171678
v_subj.13,-1.44423164403,0.305205268907,-2.05642665515,-1.64680461406,-1.43982254185,-1.23662662302,-0.857394681622,0.00149336223297
v_subj.14,-1.69102747994,0.352876406454,-2.41234523511,-1.91972312737,-1.68232496337,-1.45133731496,-1.02520139,0.0017706969026
v_subj.15,0.329582488479,0.337022962819,-0.33082067687,0.102350178568,0.327327961884,0.555237246084,0.995381090023,0.0015674425669
v_subj.16,0.0366631448259,0.249901461995,-0.455874611675,-0.130815024345,0.0376867979773,0.205543852269,0.52320217906,0.0010700973155
v_subj.17,-0.45349708681,0.403042167474,-1.25111678517,-0.724570654249,-0.453124970682,-0.182496177405,0.338936064058,0.00202663908212
v_subj.18,-0.885092012805,0.307495777571,-1.49632976684,-1.08800084961,-0.883031201029,-0.676647418714,-0.296802380837,0.00130989270909
