,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.48337709004,0.0502752213928,1.38821931882,1.44939860655,1.4822958,1.51551428023,1.58587181071,0.000449668258448
a_std,0.114968370581,0.061904880041,0.00973434393745,0.0697326121094,0.112316952777,0.155265381129,0.245285293038,0.00111527539478
a_subj.0,1.39545834736,0.110444400556,1.15903112256,1.32443651723,1.40768775284,1.47304938947,1.58761332968,0.00100471366516
a_subj.1,1.53266122222,0.107865446557,1.34788894414,1.46019808865,1.51962398093,1.59302085516,1.77883848452,0.000874545979232
a_subj.2,1.44757988157,0.101045835509,1.23793976251,1.38517624783,1.45066958773,1.51067698374,1.6471411685,0.000611786629283
a_subj.3,1.46276624544,0.102873702302,1.25417883925,1.40074926946,1.46292781602,1.52409555318,1.67551966705,0.000568244538349
a_subj.4,1.52091878949,0.111804510489,1.32599696782,1.44780311117,1.50877687576,1.58212571758,1.77817065862,0.000839310677391
a_subj.5,1.56309662299,0.119704638433,1.37465922314,1.47944111335,1.54461902147,1.63026474488,1.84346242133,0.0011558019919
a_subj.6,1.61384632768,0.132819171768,1.41541075348,1.51538433955,1.59348774458,1.6930032054,1.91998131668,0.00169161715597
a_subj.7,1.46703381827,0.099277830758,1.26796669992,1.40651335227,1.46677103824,1.52701635833,1.67225679751,0.000631406624912
a_subj.8,1.45673618222,0.0993580067498,1.25789230137,1.39582519609,1.45809151636,1.51713474586,1.65939220862,0.000597180944923
a_subj.9,1.46805152996,0.102974147622,1.26274962018,1.40624029028,1.4669736796,1.52937407028,1.68350194317,0.000613901395542
a_subj.10,1.53309155848,0.110551268189,1.33970491224,1.45933814224,1.52169787305,1.5957565979,1.78523852365,0.000957596893819
a_subj.11,1.54219122034,0.107577156011,1.3626131516,1.46871698503,1.52801292929,1.60311121481,1.79294702347,0.000967482317255
a_subj.12,1.45580216728,0.0970114279978,1.25677953339,1.39701084379,1.45764619975,1.51591284307,1.64988589754,0.000568446022836
a_subj.13,1.34684703805,0.124533142477,1.0853536643,1.26151248789,1.35934694113,1.44162120949,1.55266936403,0.00152516635444
