node,sample,,rt_sampled,response_sampled,index,subj_idx,rt,response
wfpt.0,0,0,2.3383904970275573,1.0,0,0,1.22,1
wfpt.0,0,1,-0.6703904970077044,0.0,1,0,-0.98,0
wfpt.0,0,2,-1.135990497008687,0.0,2,0,1.21,1
wfpt.0,0,3,0.6734904970240445,1.0,3,0,-1.12,0
wfpt.0,0,4,-0.7645904970079032,0.0,4,0,-1.01,0
wfpt.0,0,5,-0.7229904970078154,0.0,5,0,-1.09,0
wfpt.0,0,6,-0.9571904970083096,0.0,6,0,-2.2,0
wfpt.0,0,7,0.9929904970247192,1.0,7,0,-1.01,0
wfpt.0,0,8,-0.9254904970082427,0.0,8,0,0.69,1
wfpt.0,0,9,-1.427490497009302,0.0,9,0,-0.79,0
wfpt.0,0,10,-0.7460904970078641,0.0,10,0,-0.6799999999999999,0
wfpt.0,0,11,1.1477904970250459,1.0,11,0,-0.99,0
wfpt.0,0,12,-1.0375904970084793,0.0,12,0,-1.09,0
wfpt.0,0,13,-0.852190497008088,0.0,13,0,0.98,1
wfpt.0,0,14,-1.5126904970094819,0.0,14,0,1.0,1
wfpt.0,0,15,2.4344904970277605,1.0,15,0,-0.8300000000000001,0
wfpt.0,0,16,2.138490497027136,1.0,16,0,0.6699999999999999,1
wfpt.0,0,17,0.9947904970247221,1.0,17,0,-1.12,0
wfpt.0,0,18,0.8249904970243647,1.0,18,0,1.02,1
wfpt.0,0,19,1.1116904970249692,1.0,19,0,-0.71,0
wfpt.0,1,0,1.1964716613326365,1.0,0,0,1.22,1
wfpt.0,1,1,0.8629716613319324,1.0,1,0,-0.98,0
wfpt.0,1,2,0.8938716613319971,1.0,2,0,1.21,1
wfpt.0,1,3,-0.8223716613155131,0.0,3,0,-1.12,0
wfpt.0,1,4,-1.095371661316089,0.0,4,0,-1.01,0
wfpt.0,1,5,-1.6228716613172023,0.0,5,0,-1.09,0
wfpt.0,1,6,-1.5661716613170826,0.0,6,0,-2.2,0
wfpt.0,1,7,-0.6886716613152309,0.0,7,0,-1.01,0
wfpt.0,1,8,0.7320716613316566,1.0,8,0,0.69,1
wfpt.0,1,9,0.9356716613320862,1.0,9,0,-0.79,0
wfpt.0,1,10,-0.7508716613153622,0.0,10,0,-0.6799999999999999,0
wfpt.0,1,11,-1.0992716613160973,0.0,11,0,-0.99,0
wfpt.0,1,12,0.6979716613315842,1.0,12,0,-1.09,0
wfpt.0,1,13,0.8220716613318465,1.0,13,0,0.98,1
wfpt.0,1,14,-0.6953716613152451,0.0,14,0,1.0,1
wfpt.0,1,15,-0.7349716613153287,0.0,15,0,-0.8300000000000001,0
wfpt.0,1,16,2.213071661334781,1.0,16,0,0.6699999999999999,1
wfpt.0,1,17,1.2373716613327224,1.0,17,0,-1.12,0
wfpt.0,1,18,0.7359716613316644,1.0,18,0,1.02,1
wfpt.0,1,19,1.7785716613338645,1.0,19,0,-0.71,0
wfpt.0,2,0,-0.77968224611666,0.0,0,0,1.22,1
wfpt.0,2,1,0.8127822461330635,1.0,1,0,-0.98,0
wfpt.0,2,2,0.7379822461329056,1.0,2,0,1.21,1
wfpt.0,2,3,-1.0982822461173325,0.0,3,0,-1.12,0
wfpt.0,2,4,1.1376822461337497,1.0,4,0,-1.01,0
wfpt.0,2,5,0.8379822461331167,1.0,5,0,-1.09,0
wfpt.0,2,6,0.9595822461333733,1.0,6,0,-2.2,0
wfpt.0,2,7,-1.339282246117841,0.0,7,0,-1.01,0
wfpt.0,2,8,0.9736822461334035,1.0,8,0,0.69,1
wfpt.0,2,9,-0.849782246116808,0.0,9,0,-0.79,0
wfpt.0,2,10,-1.2936822461177448,0.0,10,0,-0.6799999999999999,0
wfpt.0,2,11,-1.5573822461183013,0.0,11,0,-0.99,0
wfpt.0,2,12,-0.72278224611654,0.0,12,0,-1.09,0
wfpt.0,2,13,0.7300822461328894,1.0,13,0,0.98,1
wfpt.0,2,14,1.0594822461335838,1.0,14,0,1.0,1
wfpt.0,2,15,0.8754822461331954,1.0,15,0,-0.8300000000000001,0
wfpt.0,2,16,-1.2314822461176136,0.0,16,0,0.6699999999999999,1
wfpt.0,2,17,0.7530822461329371,1.0,17,0,-1.12,0
wfpt.0,2,18,-0.8678822461168462,0.0,18,0,1.02,1
wfpt.0,2,19,-2.40488224612009,0.0,19,0,-0.71,0
wfpt.0,3,0,-0.7850567950930598,0.0,0,0,1.22,1
wfpt.0,3,1,-0.7450567950929754,0.0,1,0,-0.98,0
wfpt.0,3,2,0.7830567951093887,1.0,2,0,1.21,1
wfpt.0,3,3,-0.7021567950928849,0.0,3,0,-1.12,0
wfpt.0,3,4,1.5381567951109827,1.0,4,0,-1.01,0
wfpt.0,3,5,1.4876567951108766,1.0,5,0,-1.09,0
wfpt.0,3,6,-1.0929567950937096,0.0,6,0,-2.2,0
wfpt.0,3,7,0.8861567951096068,1.0,7,0,-1.01,0
wfpt.0,3,8,-0.9701567950934504,0.0,8,0,0.69,1
wfpt.0,3,9,-0.8529567950932031,0.0,9,0,-0.79,0
wfpt.0,3,10,-1.7310567950950562,0.0,10,0,-0.6799999999999999,0
wfpt.0,3,11,1.8016567951115392,1.0,11,0,-0.99,0
wfpt.0,3,12,0.9311567951097017,1.0,12,0,-1.09,0
wfpt.0,3,13,-1.1726567950938778,0.0,13,0,0.98,1
wfpt.0,3,14,0.8174567951094613,1.0,14,0,1.0,1
wfpt.0,3,15,1.2565567951103884,1.0,15,0,-0.8300000000000001,0
wfpt.0,3,16,-0.7604567950930079,0.0,16,0,0.6699999999999999,1
wfpt.0,3,17,0.6613567951091324,1.0,17,0,-1.12,0
wfpt.0,3,18,1.117256795110095,1.0,18,0,1.02,1
wfpt.0,3,19,-0.6454567950927652,0.0,19,0,-0.71,0
wfpt.0,4,0,1.1450997255026845,1.0,0,0,1.22,1
