stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.544987142086029,0.545341432094574,0.3293609023094177,1.2551825534501404e-07,0.10847874730825424,True,50.0,0.0010756758274510503
mean_ub,1.1695282459259033,1.2093029022216797,0.20234282314777374,0.0015820187982171774,0.042524635791778564,True,55.0,0.19657035171985626
std_ub,0.36122140288352966,0.27611926198005676,0.1440439671278,0.007242375984787941,0.02799104154109955,True,70.0,0.590806782245636
10q_ub,0.7710000276565552,0.9284999966621399,0.22443941235542297,0.024806248024106026,0.07517929375171661,True,15.0,0.7017483711242676
30q_ub,0.9700000286102295,1.0527499914169312,0.20332089066505432,0.0068475608713924885,0.048186950385570526,True,30.0,0.4069920778274536
50q_ub,1.100000023841858,1.1752500534057617,0.21502602100372314,0.005662570707499981,0.051898758858442307,True,45.0,0.3499578833580017
70q_ub,1.309999942779541,1.2832999229431152,0.24192602932453156,0.0007128941360861063,0.05924108624458313,True,60.0,0.110364630818367
90q_ub,1.5789999961853027,1.5257000923156738,0.3040940761566162,0.0028408800717443228,0.09531410038471222,True,75.0,0.17527440190315247
mean_lb,-1.2105649709701538,-1.1839954853057861,0.1621398776769638,0.000705937622115016,0.026995282620191574,True,43.75,0.16386768221855164
std_lb,0.4102661609649658,0.3376787602901459,0.1547427624464035,0.005268930923193693,0.02921425737440586,True,56.25,0.46908432245254517
10q_lb,0.8220000267028809,0.883687436580658,0.11492156237363815,0.003805339802056551,0.01701231114566326,True,18.75,0.5367786288261414
30q_lb,0.9779999852180481,0.9921875,0.12962457537651062,0.00020128516189288348,0.01700381562113762,True,50.0,0.10945069789886475
50q_lb,1.100000023841858,1.1065624952316284,0.15765586495399475,4.30663421866484e-05,0.024898435920476913,True,50.0,0.04162544384598732
70q_lb,1.2799999713897705,1.2582499980926514,0.19289325177669525,0.00047306259511969984,0.03768087550997734,True,56.25,0.11275667697191238
90q_lb,1.7079999446868896,1.5282500982284546,0.3422603905200958,0.03231002762913704,0.14945222437381744,True,68.75,0.5251846313476562
